country,sector,eval_year,observation_year_last,period,top_k,n_regions,n_possible_pairs,n_edges_valid,density,mean_weight,median_weight,std_weight,p10_weight,p25_weight,p75_weight,p90_weight,frac_positive,frac_negative,frac_near_zero,mean_abs_weight,turnover,jaccard_consecutive,pair_resample_mean_weight_p025,pair_resample_mean_weight_p975,pair_resample_density_p025,pair_resample_density_p975,pair_resample_n,pair_resample_frac,pair_resample_seed,mean_weight_abs_change,mean_weight_rel_change,median_weight_abs_change,median_weight_rel_change,density_abs_change,density_rel_change,mean_abs_weight_abs_change,mean_abs_weight_rel_change
FR,OQ,2018,2017,pre-2020,5,280,39060,871,0.022299027137736814,0.9349920915835157,0.9410674376324477,0.041055402650702774,0.8776840456929366,0.9128681472303735,0.9654968337714056,0.9816892971063531,1.0,0.0,0.0,0.9349920915835157,0.7274074074074074,0.2725925925925926,0.9322967273697907,0.938153981120905,0.020634920634920634,0.02429115463389657,200,0.8,42,-0.04135622893378099,-0.04235806839086823,-0.0393405564695638,-0.04012671939256996,0.0006144393241167417,0.02833530106257371,-0.04135622893378099,-0.04235806839086823
FR,OQ,2019,2018,pre-2020,5,280,39060,871,0.022299027137736814,0.9302719052966852,0.9389121497832286,0.04292433190104606,0.8714112625045184,0.9065353849670175,0.9609402905387219,0.9786470541215457,1.0,0.0,0.0,0.9302719052966852,0.7877522616562282,0.21224773834377175,0.9270596878576639,0.9331406109647017,0.02064132104454685,0.024323956733230928,200,0.8,42,-0.004720186286830463,-0.005048370279620537,-0.002155287849219145,-0.002290258660571077,0.0,0.0,-0.004720186286830463,-0.005048370279620537
FR,OQ,2020,2019,pre-2020,5,280,39060,873,0.022350230414746545,0.9356545834948502,0.9437076824707694,0.04336110875365467,0.8819146230737401,0.9142822525035648,0.9650915877735855,0.9816346005311941,1.0,0.0,0.0,0.9356545834948502,0.8224172856178258,0.1775827143821742,0.9321421022292584,0.9387845846547026,0.020768529185867895,0.024354358678955454,200,0.8,42,0.0053826781981649585,0.00578613431999572,0.004795532687540849,0.005107541412312129,5.120327700973079e-05,0.0022962112514352292,0.0053826781981649585,0.00578613431999572
FR,OQ,2021,2020,2020,5,280,39060,872,0.02232462877624168,0.9375538592726967,0.9508818998864814,0.04733859171359745,0.8723072213930233,0.9167543809559036,0.9698849030725606,0.9839977592685473,1.0,0.0,0.0,0.9375538592726967,0.7965517241379311,0.20344827586206896,0.9339537180126346,0.9412451130988067,0.02070292498719918,0.02409834229390681,200,0.8,42,0.001899275777846543,0.0020298898881597758,0.007174217415712003,0.007602160657343402,-2.560163850486366e-05,-0.0011454753722794668,0.001899275777846543,0.0020298898881597758
FR,OQ,2022,2021,post-2020,5,280,39060,885,0.022657450076804916,0.944159822049848,0.9683711201497361,0.06224940930839626,0.8526409135215144,0.9311242982096967,0.9824691977611425,0.9908737999811524,1.0,0.0,0.0,0.944159822049848,0.7932692307692308,0.20673076923076922,0.9396683478232564,0.9478378522716878,0.020961341525857654,0.02441916282642089,200,0.8,42,0.0066059627771513085,0.007045955506253108,0.017489220263254723,0.018392631372353002,0.00033282130056323453,0.014908256880733876,0.0066059627771513085,0.007045955506253108
FR,OQ,2023,2022,post-2020,5,280,39060,900,0.02304147465437788,0.944389443029744,0.9709653122578354,0.06583622915200407,0.858036087972462,0.9308333719688133,0.9854300257882348,0.9922778841198115,1.0,0.0,0.0,0.944389443029744,0.7939189189189189,0.20608108108108109,0.9400265039713572,0.9485772636174943,0.021594982078853048,0.02470558115719406,200,0.8,42,0.00022962097989598362,0.0002432013887198226,0.0025941921080993025,0.002678923456224274,0.0003840245775729653,0.01694915254237291,0.00022962097989598362,0.0002432013887198226
FR,OQ,2024,2023,post-2020,5,280,39060,918,0.023502304147465437,0.946458064694402,0.9709289578272,0.06427012096188105,0.8676418687850147,0.9349098585258092,0.9858326498806884,0.9930812691220144,1.0,0.0,0.0,0.946458064694402,0.7960264900662252,0.20397350993377483,0.9423924900055596,0.9506789374147618,0.021951804915514593,0.025346422171018946,200,0.8,42,0.0020686216646579325,0.002190432855773442,-3.635443063543242e-05,-3.7441533880232655e-05,0.0004608294930875563,0.01999999999999994,0.0020686216646579325,0.002190432855773442
FR,OQ,2025,2024,post-2020,5,280,39060,915,0.023425499231950846,0.9438404314042484,0.9691175182279649,0.067887362811552,0.8589447399622343,0.9336801841400926,0.9848360972482925,0.9919766765639944,1.0,0.0,0.0,0.9438404314042484,0.8361904761904762,0.16380952380952382,0.9397561662464203,0.9486801615121407,0.021632584485407065,0.02528321812596006,200,0.8,42,-0.0026176332901535204,-0.00276571502510121,-0.0018114395992351318,-0.0018656767672156718,-7.680491551459098e-05,-0.003267973856209067,-0.0026176332901535204,-0.00276571502510121
FR,OQ,2026,2025,post-2020,5,280,39060,906,0.023195084485407066,0.9444248134573241,0.9647210808055258,0.06912445212614707,0.8809398266206754,0.933012971551831,0.9823966220640648,0.9897745997742452,1.0,0.0,0.0,0.9444248134573241,0.7695945945945946,0.2304054054054054,0.9388621891912999,0.9490865867244118,0.021690988223246287,0.024738383256528416,200,0.8,42,0.0005843820530756494,0.0006191534433486857,-0.0043964374224391145,-0.004536536941854088,-0.00023041474654377989,-0.009836065573770538,0.0005843820530756494,0.0006191534433486857
FR,RU,2017,2016,pre-2020,5,280,39060,860,0.022017409114183307,0.9757643949977425,0.986081477052658,0.02764081904503359,0.942896005751641,0.9667759565544356,0.9942907022857344,0.9976077528425704,1.0,0.0,0.0,0.9757643949977425,,,0.9738950880432399,0.9779982927793909,0.0203821044546851,0.0235871095750128,200,0.8,42,,,,,,,,
