country,sector,eval_year,density_k3,mean_weight_k3,n_edges_k3,density_k5,mean_weight_k5,n_edges_k5,density_k10,mean_weight_k10,n_edges_k10
NL,JZ,2022,0.10128205128205128,0.8304233697125447,79,0.16923076923076924,0.7701108096060669,132,0.3076923076923077,0.6606318710426443,240
NL,JZ,2023,0.11282051282051282,0.8152573716078814,88,0.17307692307692307,0.7811617743641865,135,0.3153846153846154,0.6979904259596224,246
NL,JZ,2024,0.10897435897435898,0.8252147538314675,85,0.16923076923076924,0.7979812931747688,132,0.32564102564102565,0.70649557930024,254
NL,JZ,2025,0.11025641025641025,0.8254976749457756,86,0.17307692307692307,0.7979967007812004,135,0.3243589743589744,0.7531034954014963,253
NL,JZ,2026,0.10897435897435898,0.8434658933712618,85,0.18333333333333332,0.8022626413494114,143,0.3564102564102564,0.7483857435331037,278
NL,KZ,2012,0.10256410256410256,0.9474285092308765,80,0.1782051282051282,0.9296717697390185,139,0.3487179487179487,0.8832157031219575,272
NL,KZ,2013,0.10897435897435898,0.9315153969520724,85,0.1782051282051282,0.9014818243405724,139,0.35384615384615387,0.8435385238527802,276
NL,KZ,2014,0.1064102564102564,0.9021731205451358,83,0.18076923076923077,0.8735387662268121,141,0.3474358974358974,0.809080564635359,271
NL,KZ,2015,0.1076923076923077,0.8977464694148457,84,0.17692307692307693,0.8724524388317508,138,0.35,0.8172840737520218,273
NL,KZ,2016,0.07307692307692308,0.8903867645392398,57,0.13205128205128205,0.8420702996653001,103,0.28717948717948716,0.7558721651192484,224
NL,KZ,2017,0.09871794871794871,0.8599314491014093,77,0.1576923076923077,0.8174021961862981,123,0.31153846153846154,0.7301500808494941,243
NL,KZ,2018,0.10512820512820513,0.8509663520948998,82,0.16923076923076924,0.8080061415846446,132,0.3192307692307692,0.7153147471239915,249
NL,KZ,2019,0.09871794871794871,0.8648814945909795,77,0.16025641025641027,0.8184549914295598,125,0.31025641025641026,0.7284454189145172,242
NL,KZ,2020,0.10128205128205128,0.8649826835419178,79,0.16282051282051282,0.8237808830291029,127,0.308974358974359,0.7236261378857494,241
NL,KZ,2021,0.09743589743589744,0.8416008862112178,76,0.15128205128205127,0.793284832743544,118,0.3076923076923077,0.6632350139486143,240
NL,KZ,2022,0.09871794871794871,0.809262820603148,77,0.15897435897435896,0.7465332946913057,124,0.2923076923076923,0.6282339733748877,228
NL,KZ,2023,0.09871794871794871,0.8374777455665772,77,0.15897435897435896,0.7715804219940924,124,0.32051282051282054,0.6374871889254942,250
NL,KZ,2024,0.11282051282051282,0.9374014203192396,88,0.18205128205128204,0.9178901578639912,142,0.3576923076923077,0.8860921077056214,279
NL,KZ,2025,0.11282051282051282,0.9545933691371544,88,0.1858974358974359,0.9429461170823116,145,0.367948717948718,0.9280155631999264,287
NL,KZ,2026,0.11282051282051282,0.9577994968132567,88,0.18076923076923077,0.9529974455435815,141,0.3435897435897436,0.9484117127673491,268
NL,LZ,2012,0.06666666666666667,0.9588139601310686,52,0.12435897435897436,0.9440395867174641,97,0.26282051282051283,0.911439973617636,205
NL,LZ,2013,0.06794871794871794,0.9284041600535117,53,0.12692307692307692,0.8965232944175743,99,0.28846153846153844,0.8146103363432848,225
NL,LZ,2014,0.06794871794871794,0.9261472260171218,53,0.13205128205128205,0.8853537800344581,103,0.28076923076923077,0.804497313817327,219
NL,LZ,2015,0.07179487179487179,0.9185760831726884,56,0.13076923076923078,0.8827558315741209,102,0.28076923076923077,0.7754551926533949,219
NL,LZ,2016,0.10256410256410256,0.8454471645812273,80,0.16153846153846155,0.7932029442899502,126,0.3076923076923077,0.6719905493756984,240
NL,LZ,2017,0.10897435897435898,0.8379334040425849,85,0.16666666666666666,0.7842350147449996,130,0.3,0.6671322134025996,234
