period,n_years,density_mean,density_min,density_max,mean_weight_mean,mean_weight_min,mean_weight_max,median_weight_mean,median_weight_min,median_weight_max,std_weight_mean,std_weight_min,std_weight_max,mean_abs_weight_mean,mean_abs_weight_min,mean_abs_weight_max,frac_positive_mean,frac_positive_min,frac_positive_max,frac_negative_mean,frac_negative_min,frac_negative_max,frac_near_zero_mean,frac_near_zero_min,frac_near_zero_max,n_edges_valid_mean,n_edges_valid_min,n_edges_valid_max,country,sector,top_k
pre-2020,9,0.17136752136752137,0.1564102564102564,0.18461538461538463,0.8645531926139495,0.7636421692161438,0.9631329627283041,0.9016795587732204,0.7968801596839804,0.9793042303245967,0.11565463812713411,0.04986997351629489,0.19242709882855766,0.8645531926139495,0.7636421692161438,0.9631329627283041,1.0,1.0,1.0,0.0,0.0,0.0,0.001739934208737732,0.0,0.00819672131147541,133.66666666666666,122.0,144.0,NL,MN,5
2020,1,0.1717948717948718,0.1717948717948718,0.1717948717948718,0.7992120905102507,0.7992120905102507,0.7992120905102507,0.8618921922072512,0.8618921922072512,0.8618921922072512,0.16049717483296363,0.16049717483296363,0.16049717483296363,0.7992120905102507,0.7992120905102507,0.7992120905102507,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,134.0,134.0,NL,MN,5
post-2020,5,0.17923076923076922,0.17307692307692307,0.18461538461538463,0.8502678530320015,0.7850203624500232,0.9226361697338936,0.8995099249752819,0.8461758544502508,0.9558752878179619,0.14299191907738004,0.08163721117079273,0.20611083564023094,0.8502678530320015,0.7850203624500232,0.9226361697338936,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,139.8,135.0,144.0,NL,MN,5
pre-2020,1,0.16538461538461538,0.16538461538461538,0.16538461538461538,0.8851469689252252,0.8851469689252252,0.8851469689252252,0.9326952722388886,0.9326952722388886,0.9326952722388886,0.12127697346875625,0.12127697346875625,0.12127697346875625,0.8851469689252252,0.8851469689252252,0.8851469689252252,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,129.0,129.0,NL,OQ,5
2020,1,0.17307692307692307,0.17307692307692307,0.17307692307692307,0.8486252467730654,0.8486252467730654,0.8486252467730654,0.8801981302676876,0.8801981302676876,0.8801981302676876,0.10056842302243914,0.10056842302243914,0.10056842302243914,0.8486252467730654,0.8486252467730654,0.8486252467730654,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,135.0,135.0,NL,OQ,5
post-2020,5,0.18076923076923077,0.17564102564102563,0.1858974358974359,0.8768377699212113,0.8194613976871173,0.9396122306750834,0.9193991998851555,0.8799337217068148,0.9692282237527873,0.12231902844897338,0.06697314875685843,0.1766213648344954,0.8768377699212113,0.8194613976871173,0.9396122306750834,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,137.0,145.0,NL,OQ,5
pre-2020,9,0.1683760683760684,0.16025641025641027,0.1782051282051282,0.8494159201001614,0.7678641226738402,0.9686943450627937,0.8833712229634932,0.8097204639302326,0.9881318361782805,0.12701284299909538,0.050692797730606004,0.18890487579287712,0.8494159201001614,0.7678641226738402,0.9686943450627937,1.0,1.0,1.0,0.0,0.0,0.0,0.0008417508417508418,0.0,0.007575757575757576,131.33333333333334,125.0,139.0,NL,RU,5
2020,1,0.15512820512820513,0.15512820512820513,0.15512820512820513,0.7679409764843622,0.7679409764843622,0.7679409764843622,0.8010171204746813,0.8010171204746813,0.8010171204746813,0.1431794462267742,0.1431794462267742,0.1431794462267742,0.7679409764843622,0.7679409764843622,0.7679409764843622,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,121.0,121.0,NL,RU,5
post-2020,5,0.17230769230769233,0.1641025641025641,0.18076923076923077,0.8255112495203191,0.7559621655768438,0.865882525546711,0.8530573176983749,0.770134825854404,0.9051946746694557,0.13442078694893453,0.12233323157014218,0.15395784215071123,0.8255112495203191,0.7559621655768438,0.865882525546711,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,134.4,128.0,141.0,NL,RU,5
pre-2020,8,0.27875,0.2633333333333333,0.29333333333333333,0.8706919557006324,0.8289432954591711,0.9300349382520787,0.9149333137164266,0.8683064444483972,0.9516015588396596,0.1261936943053516,0.06629857003474056,0.1925558365022861,0.8706919557006324,0.8289432954591711,0.9300349382520787,1.0,1.0,1.0,0.0,0.0,0.0,0.0014367816091954023,0.0,0.011494252873563218,83.625,79.0,88.0,PT,BE,5
2020,1,0.29333333333333333,0.29333333333333333,0.29333333333333333,0.8594861964020428,0.8594861964020428,0.8594861964020428,0.9309148057910956,0.9309148057910956,0.9309148057910956,0.17063405829300557,0.17063405829300557,0.17063405829300557,0.8594861964020428,0.8594861964020428,0.8594861964020428,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,88.0,88.0,PT,BE,5
