codgeo,ze2020,year,bpe_evolution_presence_type_count,source_geography_year,measure_definition
01169,8434,2019,6,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01169,8434,2024,10,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01170,8425,2019,12,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01170,8425,2024,14,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01171,8425,2019,9,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01171,8425,2024,9,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01173,8416,2019,71,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01173,8416,2024,72,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01174,8416,2019,9,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01174,8416,2024,10,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01175,0059,2019,15,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01175,0059,2024,13,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01177,8405,2019,2,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01177,8405,2024,3,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01179,0059,2019,26,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01179,0059,2024,28,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01180,8416,2019,11,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01180,8416,2024,14,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01181,8425,2019,14,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01181,8425,2024,18,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01183,8434,2019,25,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01183,8434,2024,22,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01184,8405,2019,17,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01184,8405,2024,16,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01185,8404,2019,75,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01185,8404,2024,71,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01187,8404,2019,20,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01187,8404,2024,22,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01188,8434,2019,11,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01188,8434,2024,11,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01189,8416,2019,16,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01189,8416,2024,18,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01190,8404,2019,3,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01190,8404,2024,3,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01191,8425,2019,3,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01191,8425,2024,3,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01192,8425,2019,33,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01192,8425,2024,28,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01193,8404,2019,4,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01193,8404,2024,5,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01194,8434,2019,49,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01194,8434,2024,54,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01195,8405,2019,28,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01195,8405,2024,33,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01196,8405,2019,22,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01196,8405,2024,25,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01197,8405,2019,6,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01197,8405,2024,10,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01198,8405,2019,5,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01198,8405,2024,7,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01199,8405,2019,32,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01199,8405,2024,35,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01200,8405,2019,7,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01200,8405,2024,7,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01202,8405,2019,64,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01202,8405,2024,69,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01203,0059,2019,21,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01203,0059,2024,19,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01204,8425,2019,15,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01204,8425,2024,15,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01206,8425,2019,4,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01206,8425,2024,2,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01207,8405,2019,11,2025,count of facility types present in commune; OBS_VALUE=1 rows only
