codgeo,ze2020,filosofi_measure,obs_value
11370,7617,S_DIR_TAX_DI,-14.1
13053,9313,S_DIR_TAX_DI,-16.9
11304,7608,S_HH_TAX,32
12102,7621,S_HH_TAX,57
11370,7617,S_HH_TAX,49
11099,7608,S_HH_TAX,48
13067,9306,S_DIR_TAX_DI,-14.8
13101,9301,S_HH_TAX,67
12096,7621,S_HH_TAX,46
13115,9313,S_DIR_TAX_DI,-16.1
13108,0052,S_HH_TAX,38
13080,9301,S_DIR_TAX_DI,-18.6
13002,9312,S_DIR_TAX_DI,-20.1
13084,9301,S_DIR_TAX_DI,-14.8
13014,9313,S_DIR_TAX_DI,-13.1
13070,9312,S_HH_TAX,58
13023,9312,S_DIR_TAX_DI,-20.6
12090,7621,S_HH_TAX,63
13065,0052,S_DIR_TAX_DI,-16.9
13062,9301,S_HH_TAX,71
13103,9313,S_DIR_TAX_DI,-16
13050,9301,S_DIR_TAX_DI,-18.6
13049,9313,S_HH_TAX,64
13026,9313,S_DIR_TAX_DI,-14.8
12056,7621,S_HH_TAX,47
11076,7608,S_DIR_TAX_DI,-12.7
14027,2804,S_DIR_TAX_DI,-12.4
13055,9312,S_HH_TAX,48
13038,0052,S_HH_TAX,58
13041,9301,S_HH_TAX,53
13067,9306,S_HH_TAX,46
11258,7617,S_DIR_TAX_DI,-14.9
13104,9313,S_HH_TAX,68
12013,7611,S_DIR_TAX_DI,-11.2
12120,7621,S_DIR_TAX_DI,-13.5
13112,9301,S_HH_TAX,68
14020,2804,S_DIR_TAX_DI,-13.1
13110,9301,S_DIR_TAX_DI,-17.5
13119,9312,S_HH_TAX,62
13043,9312,S_DIR_TAX_DI,-15.6
13007,9312,S_HH_TAX,60
13086,9312,S_DIR_TAX_DI,-19.7
11279,7608,S_DIR_TAX_DI,-14.1
13118,9301,S_HH_TAX,73
11116,7617,S_HH_TAX,43
13003,9313,S_DIR_TAX_DI,-18.3
12270,7614,S_DIR_TAX_DI,-12.5
13053,9313,S_HH_TAX,56
13098,9313,S_HH_TAX,63
13097,0052,S_HH_TAX,52
13106,9312,S_HH_TAX,53
13081,9312,S_DIR_TAX_DI,-15.5
13002,9312,S_HH_TAX,67
13100,0052,S_DIR_TAX_DI,-19.3
12056,7621,S_DIR_TAX_DI,-13.3
13040,9301,S_DIR_TAX_DI,-19.4
13105,9313,S_DIR_TAX_DI,-14.9
11145,7617,S_DIR_TAX_DI,-13.1
13068,0052,S_DIR_TAX_DI,-20.8
13039,9313,S_DIR_TAX_DI,-14.3
13059,9301,S_DIR_TAX_DI,-18.1
12270,7614,S_HH_TAX,45
