ZE2020,year,stock
2414,2023,4639.0
2415,2017,1306.0
2415,2018,1280.0
2415,2019,1314.0
2415,2020,1301.0
2415,2021,1351.0
2415,2022,2893.0
2415,2023,2907.0
2701,2017,1329.0
2701,2018,1303.0
2701,2019,1308.0
2701,2020,1289.0
2701,2021,1350.0
2701,2022,3097.0
2701,2023,3094.0
2702,2017,6086.0
2702,2018,6019.0
2702,2019,6100.0
2702,2020,6073.0
2702,2021,6240.0
2702,2022,12967.0
2702,2023,13237.0
2703,2017,1925.0
2703,2018,1927.0
2703,2019,1952.0
2703,2020,1933.0
2703,2021,1986.0
2703,2022,3941.0
2703,2023,3973.0
2704,2017,3701.0
2704,2018,3719.0
2704,2019,3848.0
2704,2020,3793.0
2704,2021,3886.0
2704,2022,8654.0
2704,2023,8778.0
2705,2017,4885.0
2705,2018,4816.0
2705,2019,4955.0
2705,2020,4910.0
2705,2021,5002.0
2705,2022,11753.0
2705,2023,12017.0
2706,2017,10214.0
2706,2018,10028.0
2706,2019,10238.0
2706,2020,10301.0
2706,2021,10542.0
2706,2022,24953.0
2706,2023,25389.0
2707,2017,5126.0
2707,2018,5053.0
2707,2019,5135.0
2707,2020,5091.0
2707,2021,5233.0
2707,2022,12258.0
2707,2023,12561.0
2708,2017,2908.0
2708,2018,2868.0
2708,2019,2889.0
2708,2020,2869.0
2708,2021,2930.0
2708,2022,6489.0
2708,2023,6436.0
2709,2017,2271.0
2709,2018,2299.0
2709,2019,2284.0
2709,2020,2269.0
2709,2021,2327.0
2709,2022,4807.0
2709,2023,4760.0
2710,2017,2525.0
2710,2018,2481.0
2710,2019,2481.0
2710,2020,2471.0
2710,2021,2529.0
2710,2022,5757.0
2710,2023,5791.0
2711,2017,12119.0
2711,2018,12006.0
2711,2019,12325.0
2711,2020,12352.0
2711,2021,12766.0
2711,2022,33691.0
2711,2023,34463.0
2712,2017,2391.0
2712,2018,2377.0
2712,2019,2452.0
2712,2020,2456.0
2712,2021,2525.0
2712,2022,5810.0
2712,2023,5920.0
2713,2017,6098.0
2713,2018,6067.0
2713,2019,6164.0
2713,2020,6165.0
2713,2021,6310.0
2713,2022,13214.0
2713,2023,13452.0
2714,2017,4003.0
2714,2018,3979.0
2714,2019,4059.0
2714,2020,4023.0
2714,2021,4128.0
2714,2022,9283.0
2714,2023,9316.0
2715,2017,3851.0
2715,2018,3801.0
2715,2019,3912.0
2715,2020,3911.0
2715,2021,4024.0
2715,2022,8882.0
2715,2023,8961.0
2716,2017,1724.0
2716,2018,1756.0
2716,2019,1741.0
2716,2020,1729.0
2716,2021,1748.0
2716,2022,4128.0
2716,2023,4119.0
2717,2017,3022.0
2717,2018,2968.0
2717,2019,3030.0
2717,2020,3067.0
2717,2021,3171.0
2717,2022,7732.0
2717,2023,7893.0
2718,2017,3991.0
2718,2018,3965.0
2718,2019,3983.0
2718,2020,4016.0
2718,2021,4052.0
2718,2022,8230.0
2718,2023,8281.0
2801,2017,1348.0
2801,2018,1360.0
2801,2019,1411.0
2801,2020,1409.0
2801,2021,1455.0
2801,2022,2680.0
2801,2023,2636.0
2802,2017,3063.0
2802,2018,3198.0
2802,2019,3296.0
2802,2020,3248.0
2802,2021,3334.0
2802,2022,6551.0
2802,2023,6506.0
2803,2017,2209.0
2803,2018,2238.0
2803,2019,2287.0
2803,2020,2279.0
2803,2021,2344.0
2803,2022,4927.0
2803,2023,4950.0
2804,2017,16932.0
2804,2018,16909.0
2804,2019,17394.0
2804,2020,17383.0
2804,2021,17898.0
2804,2022,44324.0
2804,2023,46065.0
2805,2017,5067.0
2805,2018,5106.0
2805,2019,5191.0
2805,2020,5143.0
2805,2021,5191.0
2805,2022,10758.0
2805,2023,10931.0
2806,2017,2227.0
2806,2018,2286.0
2806,2019,2283.0
2806,2020,2280.0
2806,2021,2389.0
2806,2022,4649.0
2806,2023,4684.0
2807,2017,4615.0
2807,2018,4571.0
2807,2019,4634.0
2807,2020,4635.0
2807,2021,4779.0
2807,2022,9206.0
2807,2023,9206.0
2808,2017,5077.0
2808,2018,5135.0
2808,2019,5298.0
2808,2020,5307.0
2808,2021,5395.0
2808,2022,12653.0
2808,2023,12777.0
2809,2017,2836.0
2809,2018,2839.0
2809,2019,2892.0
2809,2020,2889.0
2809,2021,2956.0
2809,2022,5342.0
2809,2023,5287.0
2810,2017,1880.0
2810,2018,1925.0
2810,2019,1968.0
2810,2020,1962.0
2810,2021,2012.0
2810,2022,4845.0
2810,2023,4943.0
2811,2017,4059.0
2811,2018,4069.0
2811,2019,4205.0
2811,2020,4229.0
2811,2021,4386.0
2811,2022,10268.0
2811,2023,10411.0
2812,2017,1477.0
2812,2018,1492.0
2812,2019,1494.0
2812,2020,1497.0
