codgeo,ze2020,jobs_lt_2022_total
25381,2706,1009.14984
25031,2714,4864.71789
18240,0060,224.01939
29198,5302,304.44783
29272,5313,523.55808
15154,8403,188.10245
26338,8422,377.95464
72245,5208,68.70681
59392,3217,15405.02499
49217,5221,130.19391
94076,1109,23686.27517
95257,1101,504.69286
27616,2815,298.00248
35037,5315,1852.07083
69199,8421,7955.97903
10049,4425,37.89548
06037,9304,85.45254
78442,1115,572.70944
11098,7617,100.66078
23061,7511,323.09239
11311,7617,135.94716
39326,2713,34.48611
38487,8421,574.76429
34172,7616,177614.72461
77495,1104,3305.8762
34111,7603,1974.22705
86111,7508,1550.61987
37196,2406,777.73313
33282,7516,83.70402
61238,2801,21.33478
86207,7508,941.92538
36172,2405,112.68862
64273,7503,289.11025
38471,8409,146.38599
38401,8406,1246.67759
31151,7625,91.27506
64545,7503,2857.60425
27022,2817,1997.56985
76410,2815,3582.32799
44070,5216,1634.73358
97308,0301,767.31568
95039,1101,909.40508
83099,9309,5454.47145
50218,2810,8671.1186
78383,1115,6166.25488
83148,9308,2355.64109
35080,5315,214.18902
31065,7625,365.88627
25041,2715,190.43216
97217,0205,3019.12797
27082,2808,218.51346
17018,7512,59.49247
28024,2403,1260.56173
18085,2415,16.89235
84019,0055,5606.90291
28116,2403,1606.39933
17347,7528,5201.98409
2B042,9402,4427.01116
48140,7613,2746.34636
38015,8406,189.91749
33492,7505,345.56338
32162,7604,221.55385
34146,7616,1147.70651
34084,7606,237.90739
86062,7524,10348.37923
31036,7625,148.9903
43124,8419,272.13616
39404,2713,49.2785
41189,2401,181.21704
11262,7617,29783.51473
49308,5202,347.51201
13026,9313,4905.55419
85293,5206,542.58171
74076,8401,227.18529
69271,8421,9653.2731
35360,5319,14944.49668
95476,1101,8690.95784
49183,5202,878.22353
44152,5219,313.07018
12264,7621,1038.46425
44124,5201,121.88021
07227,8433,244.75087
83054,9318,5935.61461
06112,9304,780.22293
06035,9314,86.66033
10006,4425,1418.36581
91226,1103,1515.50743
09202,7612,164.71543
80150,3220,197.63871
91135,1104,1101.09626
38341,8406,778.97706
56262,5318,354.22799
40269,7510,337.20911
33290,7516,674.61085
