codgeo,ze2020,empsta_enq,obs_value
03146,8424,1T2,78.26667
01250,8434,1T2,942.79784
01434,8405,1T2,327.49854
03188,8432,1T2,96.46154
03190,8424,1T2,8329.56429
01342,8421,1T2,244.85022
02516,3214,1T2,32.30769
02422,3220,1T2,370.55785
02359,3220,1T2,574.40724
02051,3209,1T2,215.01396
01332,0059,1T2,425.92547
01260,8421,1T2,189.6919
01378,8421,1T2,1559.81621
01207,8405,1T2,183.54377
01160,8416,1T2,6434.22001
02137,3209,1T2,74.85714
02699,3209,1T2,133.67925
02559,3214,1T2,218.33981
02105,3209,1T2,70.64444
01065,8405,1T2,950.62112
03203,8424,1T2,192.28343
02259,3221,1T2,205.02341
02786,3221,1T2,41.84615
03075,8432,1T2,73.73333
03115,8432,1T2,177.51222
01102,0059,1T2,524.41113
01425,8405,1T2,129.14609
01280,8404,1T2,65.44828
02521,3209,1T2,642.19312
04090,9315,1T2,104.28298
02449,3221,1T2,20.33333
02463,3214,1T2,32.8
02213,3209,1T2,175.02007
02578,3214,1T2,25.23077
02007,3214,1T2,68.65385
04077,9311,1T2,60.66667
01090,8405,1T2,138.92808
02582,3214,1T2,60.41176
02425,3217,1T2,80.86486
02378,3217,1T2,53.01507
01202,8405,1T2,3463.56875
02502,3214,1T2,525.42739
01010,8416,1T2,518.06349
01405,8405,1T2,675.49425
02543,3209,1T2,913.83044
02527,3221,1T2,275.16791
02388,3214,1T2,93.19149
03009,8424,1T2,78.00755
02355,3220,1T2,474.08909
01357,8416,1T2,271.88215
02643,3221,1T2,368.45642
01130,8405,1T2,1183.95807
01107,8405,1T2,64.55172
01456,8404,1T2,21.84615
01108,8405,1T2,625.36914
02381,3217,1T2,3145.24388
02666,3214,1T2,374.27746
01376,8421,1T2,2048.0511
02778,3214,1T2,54.45
02681,3217,1T2,110.41493
02610,3221,1T2,312.1103
02177,3214,1T2,59.48148
01431,8405,1T2,682.94916
02005,3214,1T2,202.60031
02659,3220,1T2,229.125
02805,3221,1T2,1261.01234
01275,8421,1T2,1252.58569
04031,9307,1T2,245.46859
02691,3220,1T2,21470.69668
01422,8405,1T2,689.83838
02244,3220,1T2,24
02678,3214,1T2,32.30769
02758,3221,1T2,908.13094
01175,0059,1T2,353.53641
02157,3214,1T2,343.58753
03257,8432,1T2,352.83313
02625,3220,1T2,78.96774
03210,8424,1T2,166.30263
02292,3209,1T2,574.53561
03201,8432,1T2,116.27254
01165,8434,1T2,746.21154
03131,8432,1T2,241.57916
03315,8423,1T2,644.06089
02501,3214,1T2,32.375
02612,3221,1T2,53.63636
02089,3221,1T2,566.54566
04069,9307,1T2,53.28
02647,3220,1T2,23.1
02823,3214,1T2,35.46667
02727,3214,1T2,106.02439
01069,8405,1T2,810.08281
01264,8405,1T2,556.07671
02467,3221,1T2,14
02232,3221,1T2,145.37589
03048,8424,1T2,499.17171
01273,8405,1T2,897
03109,8432,1T2,338.37662
02766,3221,1T2,111.71429
03145,8423,1T2,350.63946
01105,8434,1T2,1082.68388
02485,3221,1T2,53.45455
03073,8424,1T2,269.5
02353,3214,1T2,123.53933
02033,3214,1T2,47.84211
01143,8416,1T2,5099.66249
03012,8424,1T2,182.89339
01334,0059,1T2,371.71521
02031,3217,1T2,289.37993
01123,0059,1T2,602.24576
01046,0059,1T2,533.76164
02293,3220,1T2,252.17016
02468,3214,1T2,880.72891
03019,8424,1T2,701.11054
02363,3221,1T2,190.16351
02803,3214,1T2,80.72727
02735,3221,1T2,9.6
03134,8432,1T2,99.81818
02138,3221,1T2,61
02288,3220,1T2,194.95791
01254,8405,1T2,1098.85777
01110,8404,1T2,82
02103,3220,1T2,491.63774
02186,3209,1T2,552.27273
02801,3214,1T2,79.18791
03151,8423,1T2,60
01443,8405,1T2,2381.08125
02034,3221,1T2,57.89474
03227,8432,1T2,214.60307
01421,8405,1T2,369.43754
01255,8405,1T2,301.41211
01410,8425,1T2,185.08343
02819,3214,1T2,39.2381
02731,3220,1T2,92.22222
03291,8432,1T2,173.53247
02104,3214,1T2,42.75
02009,3220,1T2,252.12522
02533,3221,1T2,57.91304
03251,8424,1T2,151.44444
03311,8432,1T2,128.88088
02190,3221,1T2,286.07547
02284,3217,1T2,47.82609
02102,3214,1T2,74.59459
02057,3220,1T2,508.5657
03057,8424,1T2,134.78947
04058,9310,1T2,88.2807
02575,3220,1T2,630.45479
