ZE2020,year,sitadel_surface_autorisee,sitadel_surface_commencee
1107,2014,38392.0,90519.0
1107,2015,112028.0,34719.0
1107,2016,20991.0,17073.0
1107,2017,29736.0,28190.0
1107,2018,12913.0,19788.0
1107,2019,34695.0,34337.0
1107,2020,27093.0,94383.0
1107,2021,21514.0,68624.0
1107,2022,46268.0,114588.0
1107,2023,52066.0,31438.0
1107,2024,24615.0,0.0
1108,2013,16055.0,17437.0
1108,2014,13614.0,121350.0
1108,2015,21880.0,28982.0
1108,2016,63298.0,21492.0
1108,2017,111648.0,40644.0
1108,2018,59655.0,20713.0
1108,2019,25441.0,148908.0
1108,2020,29784.0,21454.0
1108,2021,32086.0,40831.0
1108,2022,31609.0,168026.0
1108,2023,33927.0,32088.0
1108,2024,23071.0,0.0
1109,2013,464192.0,1295588.0
1109,2014,363642.0,1219614.0
1109,2015,442806.0,1202287.0
1109,2016,347307.0,1505012.0
1109,2017,424953.0,1916365.0
1109,2018,423958.0,1868622.0
1109,2019,527734.0,1758223.0
1109,2020,514830.0,1091905.0
1109,2021,394125.0,1790916.0
1109,2022,637404.0,1327524.0
1109,2023,691110.0,1105611.0
1109,2024,890589.0,0.0
1110,2013,1602.0,13860.0
1110,2014,7070.0,10209.0
1110,2015,1588.0,17782.0
1110,2016,13555.0,11990.0
1110,2017,10930.0,11048.0
1110,2018,12368.0,12299.0
1110,2019,18411.0,18698.0
1110,2020,9504.0,16151.0
1110,2021,27370.0,19845.0
1110,2022,14345.0,22690.0
1110,2023,4444.0,25152.0
1110,2024,11047.0,0.0
1111,2013,4031.0,32866.0
1111,2014,6121.0,26191.0
1111,2015,2115.0,11265.0
1111,2016,5447.0,19247.0
1111,2017,7080.0,8828.0
1111,2018,4423.0,16381.0
1111,2019,8647.0,16893.0
1111,2020,8724.0,44210.0
1111,2021,4520.0,14562.0
1111,2022,17482.0,92549.0
1111,2023,7045.0,14270.0
1111,2024,5334.0,0.0
1112,2013,87014.0,415323.0
1112,2014,77258.0,240765.0
1112,2015,136381.0,195592.0
1112,2016,226980.0,176193.0
1112,2017,142584.0,535243.0
1112,2018,160230.0,292706.0
1112,2019,212409.0,448060.0
1112,2020,156776.0,211917.0
1112,2021,88817.0,292231.0
1112,2022,361273.0,221249.0
1112,2023,224087.0,244160.0
1112,2024,219690.0,0.0
1113,2013,103924.0,254770.0
1113,2014,61326.0,149107.0
1113,2015,99759.0,276441.0
1113,2016,311764.0,230947.0
1113,2017,64460.0,321549.0
1113,2018,96197.0,199483.0
1113,2019,49362.0,311517.0
1113,2020,33217.0,180877.0
1113,2021,48529.0,246420.0
1113,2022,75735.0,227975.0
1113,2023,137504.0,92746.0
1113,2024,150618.0,0.0
1114,2013,74615.0,138897.0
1114,2014,52178.0,90567.0
1114,2015,33901.0,81509.0
1114,2016,37958.0,112823.0
1114,2017,52720.0,110423.0
1114,2018,76053.0,211096.0
1114,2019,59816.0,95613.0
1114,2020,29520.0,171719.0
1114,2021,45800.0,107997.0
1114,2022,117032.0,155279.0
1114,2023,113627.0,197688.0
1114,2024,135456.0,0.0
1115,2013,66540.0,151940.0
1115,2014,39442.0,70969.0
1115,2015,35696.0,132926.0
1115,2016,76190.0,156819.0
1115,2017,57448.0,205518.0
1115,2018,60325.0,97273.0
1115,2019,162711.0,115935.0
1115,2020,62202.0,92561.0
1115,2021,69720.0,122387.0
1115,2022,88466.0,111983.0
1115,2023,81021.0,175979.0
1115,2024,101375.0,0.0
2401,2013,10884.0,49318.0
2401,2014,18192.0,54353.0
2401,2015,9133.0,65360.0
2401,2016,19401.0,90286.0
2401,2017,71572.0,102577.0
2401,2018,16977.0,106115.0
2401,2019,19971.0,116298.0
2401,2020,26367.0,48438.0
2401,2021,158565.0,126343.0
2401,2022,105935.0,115231.0
2401,2023,39375.0,43728.0
2401,2024,41204.0,0.0
2402,2013,22235.0,79039.0
2402,2014,12634.0,43675.0
2402,2015,14524.0,124795.0
2402,2016,20180.0,76522.0
2402,2017,15711.0,112485.0
2402,2018,18016.0,72396.0
2402,2019,21235.0,81943.0
2402,2020,22933.0,55429.0
2402,2021,111296.0,66925.0
2402,2022,27252.0,78988.0
2402,2023,38384.0,44839.0
2402,2024,108324.0,0.0
2403,2013,19170.0,123110.0
2403,2014,31435.0,77527.0
2403,2015,37370.0,48075.0
2403,2016,42212.0,63792.0
2403,2017,24357.0,43578.0
2403,2018,44617.0,35249.0
2403,2019,22939.0,79465.0
2403,2020,22484.0,110275.0
2403,2021,126894.0,81257.0
2403,2022,43899.0,358470.0
2403,2023,59452.0,44035.0
2403,2024,196459.0,0.0
2404,2013,8999.0,21599.0
2404,2014,9610.0,23790.0
2404,2015,12144.0,26246.0
2404,2016,12792.0,12391.0
2404,2017,15286.0,18940.0
2404,2018,5808.0,14526.0
2404,2019,9640.0,21766.0
2404,2020,8577.0,9005.0
2404,2021,7109.0,16710.0
2404,2022,8593.0,46748.0
2404,2023,55731.0,8589.0
2404,2024,13474.0,0.0
2405,2013,35811.0,84420.0
2405,2014,23967.0,106065.0
2405,2015,146396.0,85850.0
2405,2016,24009.0,70246.0
2405,2017,27397.0,63497.0
2405,2018,16385.0,59069.0
2405,2019,35174.0,79382.0
2405,2020,39290.0,125468.0
2405,2021,56100.0,36680.0
2405,2022,24920.0,47605.0
2405,2023,222450.0,53706.0
2405,2024,49389.0,0.0
2406,2013,14177.0,18573.0
2406,2014,10193.0,10672.0
2406,2015,17678.0,30348.0
2406,2016,34213.0,63778.0
2406,2017,4678.0,42177.0
2406,2018,2841.0,52177.0
2406,2019,19235.0,23126.0
2406,2020,3778.0,21233.0
2406,2021,9968.0,7288.0
2406,2022,8650.0,24730.0
2406,2023,15302.0,6737.0
2406,2024,32114.0,0.0
2407,2013,15754.0,31736.0
2407,2014,27139.0,11245.0
2407,2015,7920.0,14749.0
2407,2016,5675.0,30620.0
2407,2017,12678.0,74885.0
2407,2018,21436.0,15583.0
2407,2019,5398.0,11928.0
2407,2020,9359.0,9384.0
2407,2021,28534.0,35886.0
2407,2022,25388.0,38836.0
2407,2023,26150.0,16563.0
2407,2024,14230.0,0.0
2408,2013,19690.0,26236.0
2408,2014,7222.0,37010.0
2408,2015,14549.0,27094.0
2408,2016,19148.0,9814.0
2408,2017,19495.0,34671.0
2408,2018,12708.0,28889.0
2408,2019,15507.0,30272.0
2408,2020,18746.0,26467.0
2408,2021,15440.0,22297.0
2408,2022,13942.0,21675.0
2408,2023,27230.0,18947.0
2408,2024,32782.0,0.0
2409,2013,8845.0,39842.0
2409,2014,12542.0,34159.0
2409,2015,9457.0,38539.0
2409,2016,10723.0,22654.0
2409,2017,13583.0,35966.0
2409,2018,13159.0,38401.0
2409,2019,14823.0,35127.0
2409,2020,12345.0,30982.0
2409,2021,18696.0,43783.0
2409,2022,20374.0,20344.0
2409,2023,135387.0,158588.0
2409,2024,31634.0,0.0
2410,2013,49352.0,234061.0
2410,2014,35866.0,164303.0
2410,2015,53101.0,148712.0
2410,2016,83894.0,355924.0
2410,2017,126003.0,127753.0
2410,2018,50009.0,140503.0
2410,2019,83178.0,278729.0
2410,2020,43649.0,380606.0
2410,2021,54701.0,151359.0
