ZE2020,weight_a17_AZ,weight_a17_C1,weight_a17_C2,weight_a17_C3,weight_a17_C4,weight_a17_C5,weight_a17_DE,weight_a17_FZ,weight_a17_GZ,weight_a17_HZ,weight_a17_IZ,weight_a17_JZ,weight_a17_KZ,weight_a17_LZ,weight_a17_MN,weight_a17_OQ,weight_a17_RU,total_establishments
2412,0.12217043941411451,0.03262316910785619,0.0,0.002330226364846871,0.0013315579227696406,0.03794940079893475,0.008322237017310254,0.1321571238348868,0.16311584553928096,0.021970705725699067,0.08422103861517977,0.007989347536617843,0.03362183754993342,0.02829560585885486,0.09154460719041278,0.14913448735019974,0.08322237017310254,3004.0
2413,0.042987097924965814,0.020096319638504074,0.0,0.0038646768535584757,0.0013080444735120995,0.03198763303406861,0.007194244604316547,0.10077888102740948,0.18693144657827457,0.028241869314465783,0.0924549616505143,0.02378262679112908,0.05588917295915334,0.020869255009215767,0.14442000118913134,0.1319935786907664,0.10720019026101434,16819.0
2414,0.11623779946761313,0.022182786157941437,0.0,0.008429458740017746,0.0008873114463176575,0.044365572315882874,0.011978704525288377,0.145075421472937,0.1543921916592724,0.018633540372670808,0.06255545696539486,0.013753327417923691,0.048802129547471165,0.013753327417923691,0.10514640638864241,0.1557231588287489,0.07808340727595386,2254.0
2415,0.07614213197969544,0.021754894851341553,0.0,0.009427121102248005,0.0014503263234227702,0.05221174764321972,0.012327773749093546,0.12400290065264685,0.1798404641044235,0.02973168963016679,0.0877447425670776,0.01305293691080493,0.03625815808556925,0.014503263234227702,0.09862218999274837,0.14865844815083393,0.09427121102248005,1379.0
2701,0.11828737300435414,0.023222060957910014,0.0,0.000725689404934688,0.0,0.034107402031930335,0.0043541364296081275,0.10014513788098693,0.18214804063860668,0.023222060957910014,0.08780841799709724,0.007982583454281567,0.031204644412191583,0.01451378809869376,0.10304789550072568,0.18577648766328012,0.08345428156748912,1378.0
2702,0.1237442194227396,0.022484452240472012,0.0,0.0038271408068888536,0.001116249402009249,0.03444426726199968,0.00829213841492585,0.09982458937968426,0.17604847711688726,0.026311593047360866,0.076223887737203,0.01291660022324988,0.039706585871471856,0.014351778025833201,0.1026949449848509,0.16568330409822996,0.09232977196619359,6271.0
2703,0.12542703757930698,0.027818448023426062,0.0,0.0019521717911176184,0.0004880429477794046,0.021473889702293802,0.014641288433382138,0.09468033186920449,0.15617374328940947,0.029282576866764276,0.1059053196681308,0.013177159590043924,0.023914104441190825,0.01268911664226452,0.07906295754026355,0.20839433870180576,0.0849194729136164,2049.0
2704,0.1860920666013712,0.030362389813907934,0.0,0.0053868756121449556,0.0004897159647404506,0.031341821743388835,0.007100881488736533,0.08129285014691479,0.2100881488736533,0.019833496571988248,0.09255631733594515,0.007835455435847209,0.034769833496571985,0.018854064642507346,0.10651322233104799,0.11092066601371205,0.056562193927522035,4084.0
2705,0.02315914489311164,0.02315914489311164,0.0,0.004948535233570863,0.0027711797307996833,0.04117181314330958,0.00613618368962787,0.10946159936658749,0.19635787806809185,0.02672209026128266,0.07878068091844814,0.013460015835312747,0.040380047505938245,0.019992082343626285,0.1254948535233571,0.19378463974663498,0.09422011084718923,5052.0
2706,0.05535665106031396,0.022491508308087764,0.0,0.006793353529789773,0.0017442394198108877,0.04498301661617553,0.00862939502432755,0.0944643348939686,0.18553199302304232,0.02487836225098687,0.0673827228495364,0.01652437345083999,0.04727806848434775,0.01881942531901221,0.12439181125493436,0.17635178555035344,0.10437895896447259,10893.0
2707,0.06757754800590841,0.026403249630723782,0.0,0.004062038404726735,0.00018463810930576072,0.04062038404726736,0.009047267355982274,0.10745937961595273,0.20180945347119644,0.033973412112259974,0.07625553914327918,0.009785819793205317,0.03840472673559823,0.014771048744460856,0.12869276218611522,0.1484490398818316,0.09250369276218612,5416.0
2708,0.08959731543624161,0.025838926174496644,0.0,0.00436241610738255,0.0030201342281879194,0.0412751677852349,0.008053691275167786,0.10906040268456375,0.1906040268456376,0.02919463087248322,0.07483221476510067,0.011073825503355705,0.04261744966442953,0.01174496644295302,0.10369127516778523,0.1657718120805369,0.08926174496644296,2980.0
2709,0.13803169307756463,0.02043369474562135,0.0,0.0029190992493744786,0.0008340283569641367,0.045037531276063386,0.01292743953294412,0.11509591326105087,0.14011676396997497,0.029608006672226857,0.06380316930775647,0.007089241034195163,0.029190992493744787,0.012510425354462052,0.08507089241034195,0.2285237698081735,0.06880733944954129,2398.0
