codgeo,ze2020,side_stocks_et_2023_total
01337,0059,78
05109,9302,54
05136,9302,123
05011,9310,36
05171,9310,28
05099,9310,9
05013,9310,9
05158,9310,11
05104,9310,33
05114,9310,56
05097,9310,33
05126,9310,45
04237,9307,18
05090,9310,17
05173,9310,41
05152,9310,11
05139,9310,388
05116,9302,26
05049,9310,4
05101,9302,243
05004,9310,214
05093,9302,105
05052,9302,150
05050,9310,44
05103,9307,54
05096,9310,315
05031,9302,31
05010,9310,63
05118,9307,118
05110,9302,243
05014,9307,11
05128,9310,82
05077,9302,75
05055,9310,23
05149,9310,98
05094,9310,0
05112,9310,19
05017,9310,243
05157,9302,50
05060,9310,7
05106,9310,47
02065,3220,19
05046,9310,977
05119,9302,270
05053,9310,61
05073,9310,42
05144,9310,7
05012,9310,129
05089,9310,7
05026,9302,72
05092,9310,92
05174,9302,73
05045,9310,169
02049,3220,38
05054,9310,58
05154,9310,12
05122,9302,106
05032,9310,17
05022,9310,17
05111,9310,51
05145,9310,165
05019,9310,7
04244,9307,146
05029,9310,133
05036,9310,141
05129,9310,22
05172,9310,27
05155,9307,4
05167,9310,5
05008,9310,28
05113,9310,39
05072,9310,42
05068,9310,48
05168,9310,81
05058,9302,34
05059,9310,111
05098,9310,283
05001,9302,94
05160,9307,6
05163,9310,18
05151,9302,158
05085,9302,257
05057,9310,30
05035,9310,1
05132,9310,313
05023,9302,1823
05162,9310,127
05140,9310,21
05009,9310,17
05071,9310,49
05065,9302,438
05039,9310,60
05038,9302,68
05064,9310,21
05003,9302,65
05169,9310,3
05027,9302,42
05016,9310,34
05124,9310,49
05130,9310,18
05134,9302,49
05087,9310,56
05108,9310,29
05148,9310,77
05024,9310,20
05095,9310,23
05100,9310,93
05102,9310,8
05121,9310,18
05070,9310,337
05076,9310,8
05063,9302,158
05142,9310,75
05123,9310,172
05037,9310,86
05075,9310,48
05021,9310,11
05131,9310,9
05159,9310,8
05007,9302,91
05165,9310,24
05147,9310,46
05028,9310,26
05078,9310,22
05079,9302,281
05153,9310,74
05084,9310,42
05127,9310,26
05086,9310,11
05161,9302,365
34151,7616,580
34111,7603,557
34257,7606,4
34145,7616,2861
34243,7616,174
34123,7616,1274
34204,7616,139
34220,7616,32
34186,7616,50
34212,7616,14
34201,7606,21
34127,7616,340
26247,8433,24
19065,0063,7
26190,0064,5
26301,8427,479
11325,7608,33
11324,7617,44
11271,7617,5
11350,7608,3
11305,7617,1
11345,7617,24
11252,7625,27
11266,7617,504
11317,7608,5
11282,7612,6
11304,7608,374
11327,7608,38
11289,7608,68
11302,7608,26
11370,7617,237
11363,7617,22
11264,7617,102
11341,7608,15
11241,7617,25
11355,7608,35
11358,7608,4
11218,7625,6
11295,7617,96
11224,7617,3
11263,7608,19
11318,7608,9
11328,7608,17
11351,7617,82
11253,7608,114
11278,7608,8
11239,7608,1
11262,7617,6850
11338,7608,1
11220,7608,48
11307,7617,19
11354,7617,2
11352,7608,5
11268,7612,6
05107,9302,70
11361,7608,68
11284,7608,21
11279,7608,146
11348,7608,6
11222,7608,14
11291,7612,7
11219,7608,0
11294,7608,2
11245,7617,2
11280,7608,91
11334,7608,11
06004,9304,11882
11267,7617,87
11286,7608,109
06032,9314,411
11217,7617,89
11243,7608,50
11229,7608,1
11300,7608,7
11248,7608,5
11322,7617,100
11257,7608,13
11339,7608,46
11344,7608,46
11306,7608,7
11301,7608,82
11216,7608,21
11371,7608,82
11256,7617,65
11293,7608,51
11273,7617,58
11311,7617,19
11319,7608,4
11373,7608,5
11333,7608,14
11347,7608,6
11315,7608,170
11249,7612,6
06017,9315,24
06049,9304,17
11223,7608,1
11292,7610,18
11265,7608,1
11342,7608,11
11337,7608,24
06072,9315,5
11272,7608,171
11377,7608,9
11330,7608,32
11251,7608,59
26176,8422,125
11275,7608,14
11276,7617,37
26305,8422,101
11227,7608,4
26310,8427,16
26272,8422,33
19094,7507,73
11360,7617,150
26309,8427,31
26298,8427,26
26211,0055,117
26225,8427,52
19076,7531,19
26303,0064,15
26304,0064,31
26160,8433,115
26293,8433,17
34143,7623,212
26165,8431,756
34168,7606,5
06030,9304,5258
34147,7606,331
34102,7616,25
34160,7606,78
34208,7616,33
34235,7606,21
34182,7601,148
34171,7616,21
34205,7616,30
34223,7606,127
34224,7606,107
34125,7616,12
34192,7616,1040
34139,7606,120
34158,7617,23
34150,7601,1165
34167,7606,17
34239,7616,610
34189,7617,185
34156,7616,4
34198,7616,1608
34169,7616,632
34137,7616,15
06097,9315,29
34159,7616,284
34218,7606,42
06059,9314,389
34237,7606,243
06034,9315,216
06031,9315,132
06048,9315,801
