codgeo,ze2020,filosofi_measure,weight_households_2020,obs_value
07010,8433,S_HH_TAX,8120.0,60.8
07010,8433,S_DIR_TAX_DI,8120.0,-12.8
07019,8402,S_HH_TAX,5608.0,55.3
07019,8402,S_DIR_TAX_DI,5608.0,-13.8
07041,8433,S_HH_TAX,1015.0,66.9
07041,8433,S_DIR_TAX_DI,1015.0,-13.9
07042,0055,S_HH_TAX,3157.0,62.0
07042,0055,S_DIR_TAX_DI,3157.0,-13.8
07055,8431,S_HH_TAX,1226.0,78.0
07055,8431,S_DIR_TAX_DI,1226.0,-16.5
07064,8420,S_HH_TAX,1411.0,53.0
07064,8420,S_DIR_TAX_DI,1411.0,-12.9
07066,8402,S_HH_TAX,1345.0,69.4
07066,8402,S_DIR_TAX_DI,1345.0,-14.6
07070,8431,S_HH_TAX,990.0,73.7
07070,8431,S_DIR_TAX_DI,990.0,-14.8
07076,8422,S_HH_TAX,1174.0,73.9
07076,8422,S_DIR_TAX_DI,1174.0,-13.0
07078,8433,S_HH_TAX,1429.0,57.9
07078,8433,S_DIR_TAX_DI,1429.0,-14.4
07102,8431,S_HH_TAX,5647.0,64.5
07102,8431,S_DIR_TAX_DI,5647.0,-16.2
07129,8420,S_HH_TAX,1067.0,53.1
07129,8420,S_DIR_TAX_DI,1067.0,-11.9
07138,8402,S_HH_TAX,920.0,64.0
07138,8402,S_DIR_TAX_DI,920.0,-12.9
07172,8433,S_HH_TAX,936.0,74.5
07172,8433,S_DIR_TAX_DI,936.0,-16.8
07181,8402,S_HH_TAX,1193.0,63.4
07181,8402,S_DIR_TAX_DI,1193.0,-11.2
07186,8402,S_HH_TAX,4015.0,57.5
07186,8402,S_DIR_TAX_DI,4015.0,-13.5
07191,8422,S_HH_TAX,935.0,69.9
07191,8422,S_DIR_TAX_DI,935.0,-15.0
07197,8433,S_HH_TAX,1156.0,65.1
07197,8433,S_DIR_TAX_DI,1156.0,-14.9
07201,8402,S_HH_TAX,1072.0,45.7
07201,8402,S_DIR_TAX_DI,1072.0,-12.4
07204,8420,S_HH_TAX,1073.0,59.1
07204,8420,S_DIR_TAX_DI,1073.0,-12.2
07231,8402,S_HH_TAX,1196.0,61.2
07231,8402,S_DIR_TAX_DI,1196.0,-16.5
07240,8431,S_HH_TAX,932.0,75.9
07240,8431,S_DIR_TAX_DI,932.0,-16.6
07245,8431,S_HH_TAX,1064.0,61.3
07245,8431,S_DIR_TAX_DI,1064.0,-15.3
07281,8431,S_HH_TAX,3371.0,71.3
07281,8431,S_DIR_TAX_DI,3371.0,-18.2
07308,8433,S_HH_TAX,984.0,68.7
07308,8433,S_DIR_TAX_DI,984.0,-12.3
07316,8431,S_HH_TAX,990.0,75.1
07316,8431,S_DIR_TAX_DI,990.0,-17.3
07319,8422,S_HH_TAX,3488.0,61.5
07319,8422,S_DIR_TAX_DI,3488.0,-12.3
07324,8431,S_HH_TAX,5056.0,67.7
07324,8431,S_DIR_TAX_DI,5056.0,-14.6
07330,8402,S_HH_TAX,1102.0,50.8
07330,8402,S_DIR_TAX_DI,1102.0,-14.1
07331,8402,S_HH_TAX,1929.0,47.5
07331,8402,S_DIR_TAX_DI,1929.0,-12.5
07334,8402,S_HH_TAX,1314.0,43.4
07334,8402,S_DIR_TAX_DI,1314.0,-13.5
07337,8433,S_HH_TAX,1090.0,73.9
07337,8433,S_DIR_TAX_DI,1090.0,-13.9
07341,8402,S_HH_TAX,1131.0,62.2
07341,8402,S_DIR_TAX_DI,1131.0,-12.2
07346,8422,S_HH_TAX,1535.0,66.5
07346,8422,S_DIR_TAX_DI,1535.0,-13.3
07349,8431,S_HH_TAX,2251.0,61.5
07349,8431,S_DIR_TAX_DI,2251.0,-11.5
08053,4421,S_HH_TAX,951.0,68.6
08053,4421,S_DIR_TAX_DI,951.0,-13.3
08081,4403,S_HH_TAX,2129.0,60.6
08081,4403,S_DIR_TAX_DI,2129.0,-10.5
08090,4421,S_HH_TAX,1245.0,58.0
08090,4421,S_DIR_TAX_DI,1245.0,-11.4
08105,4403,S_HH_TAX,22154.0,60.4
08105,4403,S_DIR_TAX_DI,22154.0,-13.6
08145,4421,S_HH_TAX,877.0,70.8
08145,4421,S_DIR_TAX_DI,877.0,-11.8
08174,4421,S_HH_TAX,1012.0,65.4
08174,4421,S_DIR_TAX_DI,1012.0,-14.3
08185,4403,S_HH_TAX,1445.0,52.9
08185,4403,S_DIR_TAX_DI,1445.0,-10.4
08190,4403,S_HH_TAX,2793.0,61.4
08190,4403,S_DIR_TAX_DI,2793.0,-12.0
08302,4403,S_HH_TAX,987.0,59.3
08302,4403,S_DIR_TAX_DI,987.0,-10.9
08311,4421,S_HH_TAX,1048.0,60.6
08311,4421,S_DIR_TAX_DI,1048.0,-11.9
08327,4403,S_HH_TAX,964.0,65.0
08327,4403,S_DIR_TAX_DI,964.0,-11.3
08328,4403,S_HH_TAX,2456.0,61.9
08328,4403,S_DIR_TAX_DI,2456.0,-11.1
08362,4413,S_HH_TAX,3687.0,61.7
