codgeo,ze2020,libze2020,population_2022_total
59578,3219,Saint-Omer,1626
80172,3202,Amiens,548
68238,4418,Saint-Louis,977
08142,4421,Sedan,1989
57638,4408,Forbach,2442
67436,4423,Strasbourg,505
44192,5217,Pornic,2846
62735,3205,Béthune,2535
28396,2404,Châteaudun,318
08211,4421,Sedan,706
10146,4415,Romilly-sur-Seine,84
18201,2402,Bourges,757
25449,2714,Montbéliard,136
17112,7528,Saintes,744
19191,7507,Brive-la-Gaillarde,678
24095,7523,Périgueux,404
59266,3216,Lille,4099
01051,8425,Oyonnax,99
28062,0057,Dreux,859
76069,2815,Rouen,2257
16249,7527,Saint-Junien,341
24470,7529,Sarlat-la-Canéda,301
28072,0061,Nogent-le-Rotrou,389
22234,5316,Saint-Brieuc,1149
18047,2407,Gien,610
25039,2715,Pontarlier,954
85121,5207,Fontenay-le-Comte,1050
68321,4411,Mulhouse,4070
67378,4423,Strasbourg,4471
68169,4418,Saint-Louis,499
80466,3202,Amiens,131
76295,2807,Dieppe-Caux maritime,1161
31144,7622,Saint-Gaudens,696
11295,7617,Narbonne,1288
28298,2403,Chartres,2792
21517,2704,Beaune,499
01449,8405,Bourg-en-Bresse,763
02383,3220,Saint-Quentin,1425
64400,7522,Pau,1121
53096,5211,Laval,5511
85141,5207,Fontenay-le-Comte,681
25615,2714,Montbéliard,467
28175,0061,Nogent-le-Rotrou,179
15258,8403,Aurillac,1908
26046,0064,Valréas,73
64079,7522,Pau,108
08315,4403,Charleville-Mézières,68
27641,2808,Évreux,265
52428,4404,Chaumont,65
39423,2713,Lons-le-Saunier,99
09101,7612,Foix-Pamiers,278
33179,7516,Libourne,3109
43068,8419,Le Puy-en-Velay,32
80158,3220,Saint-Quentin,45
82183,7609,Castelsarrasin-Moissac,221
22198,5308,Lannion,3828
91405,1104,Évry-Courcouronnes,4582
36187,2405,Châteauroux,138
88519,4417,Saint-Dié-des-Vosges,656
71007,0059,Mâcon,168
16336,7502,Angoulême,350
19283,0063,Ussel,82
74079,8401,Annecy,704
60529,3211,Creil,75
39322,2713,Lons-le-Saunier,74
35296,5315,Rennes,1350
87128,7517,Limoges,1364
74057,8415,Le Chablais,1181
52087,4404,Chaumont,219
70243,2718,Vesoul,317
51417,4427,Vitry-le-François Saint-Dizier,366
54189,4412,Nancy,581
59021,3217,Maubeuge,1782
65197,7624,Tarbes-Lourdes,158
71311,2713,Lons-le-Saunier,251
46101,7611,Figeac-Villefranche,467
58284,0056,Cosne-Cours-sur-Loire,40
59626,3222,Valenciennes,1230
47237,7532,Villeneuve-sur-Lot,498
80337,3202,Amiens,211
70012,2718,Vesoul,668
50207,2805,Cherbourg-en-Cotentin,165
25354,2706,Besançon,156
57592,4419,Sarrebourg,334
61240,0051,Alençon,443
76135,2815,Rouen,1029
39409,2712,Dole,134
31204,7622,Saint-Gaudens,71
22052,5303,Carhaix-Plouguer,388
59395,3217,Maubeuge,279
76529,2813,Le Havre,314
52370,4427,Vitry-le-François Saint-Dizier,256
57483,4416,Saint-Avold,3347
64112,7522,Pau,423
47051,7501,Agen,2383
63005,8410,Issoire,416
77180,1106,Marne-la-Vallée,1251
72131,5212,Le Mans,577
59447,3222,Valenciennes,8567
61460,2812,L'Aigle,942
38242,8409,Grenoble,1463
60009,0054,Beauvais,1737
58212,0060,Nevers,329
68071,4411,Mulhouse,301
89453,2702,Auxerre,1101
76449,2815,Rouen,490
81032,7610,Castres-Mazamet,1101
56258,5301,Auray,1837
74124,8416,Le Genevois Français,1842
62839,3203,Arras,1096
12110,7621,Rodez,370
23140,7511,Guéret,433
21118,2711,Dijon,33
21079,2711,Dijon,125
74302,8401,Annecy,1121
80183,3201,Abbeville,277
19140,7531,Tulle,630
11207,7608,Carcassonne-Limoux,253
02256,3214,Laon,125
65145,7624,Tarbes-Lourdes,49
32345,7604,Auch,547
62502,3205,Béthune,5041
07249,8420,Les Sources de la Loire,101
07230,8402,Aubenas,404
31487,7622,Saint-Gaudens,222
30101,7603,Alès-Le Vigan,644
10190,4425,Troyes,559
82108,7615,Montauban,1464
85293,5206,Cholet,1556
51110,4406,Épernay,60
21428,2704,Beaune,146
03303,8423,Montluçon,224
90009,2714,Montbéliard,4985
41254,2414,Vendôme,173
81062,7610,Castres-Mazamet,954
80003,3202,Amiens,584
19110,0063,Ussel,114
25607,2714,Montbéliard,51
43027,8419,Le Puy-en-Velay,44
17369,7512,La Rochelle,2309
25369,2714,Montbéliard,150
76563,2813,Le Havre,1972
01362,8434,Villefranche-sur-Saône,850
02404,3217,Maubeuge,168
24418,7523,Périgueux,906
09094,7622,Saint-Gaudens,140
25519,2714,Montbéliard,965
02153,3214,Laon,796
32247,7604,Auch,302
23219,7511,Guéret,1126
01372,8404,Belley,431
25204,2715,Pontarlier,3309
25012,2715,Pontarlier,171
02744,3209,Château-Thierry,77
15091,8429,Saint-Flour,86
33444,7514,Langon,563
11024,7617,Narbonne,750
61327,0051,Alençon,342
54241,4412,Nancy,70
24520,7529,Sarlat-la-Canéda,8786
01321,8405,Bourg-en-Bresse,905
89035,2702,Auxerre,437
35032,5315,Rennes,4692
80558,3202,Amiens,217
46074,7619,Nord-du-Lot,399
60556,3211,Creil,211
37007,2406,Chinon,173
66217,7620,Perpignan,2291
76559,2819,Yvetot-Vallée du Commerce,518
62007,3203,Arras,790
71068,2710,Creusot-Montceau,58
55169,4421,Sedan,534
31067,7622,Saint-Gaudens,44
57030,4410,Metz,532
57668,4416,Saint-Avold,1260
64292,7522,Pau,258
52069,4404,Chaumont,126
76129,2807,Dieppe-Caux maritime,220
60461,0054,Beauvais,211
76336,2807,Dieppe-Caux maritime,364
72190,5208,La Ferté-Bernard,287
85142,5213,Les Herbiers-Montaigu,1010
63434,8417,Le Livradois,538
71521,0059,Mâcon,105
08048,4413,Reims,388
60555,0054,Beauvais,70
43035,8419,Le Puy-en-Velay,91
88309,4407,Épinal,174
19082,7531,Tulle,1121
85264,5207,Fontenay-le-Comte,1340
60598,0054,Beauvais,1066
84068,9301,Aix-en-Provence,1031
25403,2715,Pontarlier,2227
80160,3202,Amiens,1198
2B311,9402,Bastia,798
