ZE2020,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
2817,125522.0,127000.0,128555.0,130146.0,130794.0,130872.0,130519.0,130600.0,130705.0,131160.0,131165.0,130890.0,130802.0,130688.0,131150.0,131343.0,132054.0,132110.0
2818,44824.0,45144.0,45315.0,45452.0,45388.0,45372.0,45044.0,45192.0,45117.0,44942.0,44726.0,44367.0,43965.0,43564.0,43721.0,43686.0,43756.0,43745.0
2819,111434.0,111843.0,112627.0,113477.0,114059.0,114660.0,115497.0,115989.0,116778.0,117185.0,117350.0,117693.0,117820.0,117722.0,117393.0,117612.0,117688.0,117570.0
3201,94782.0,95482.0,96028.0,96467.0,96516.0,96348.0,96288.0,95802.0,95429.0,94961.0,94764.0,94268.0,93931.0,93839.0,93496.0,92870.0,92321.0,91931.0
3202,374948.0,375688.0,377278.0,378755.0,379906.0,380804.0,381109.0,382251.0,382707.0,383748.0,385379.0,386113.0,385434.0,386146.0,385491.0,384189.0,384611.0,385267.0
3203,174096.0,175547.0,176631.0,176824.0,177334.0,177878.0,178748.0,179009.0,179849.0,179744.0,180060.0,180008.0,180360.0,180681.0,181586.0,181722.0,181801.0,182121.0
3204,130629.0,131179.0,131110.0,131316.0,130979.0,130708.0,130479.0,130670.0,130458.0,130410.0,129978.0,129551.0,129027.0,128638.0,128172.0,127883.0,126986.0,126769.0
3205,275239.0,275099.0,276037.0,276612.0,276568.0,276954.0,277491.0,278376.0,278967.0,278288.0,278020.0,276745.0,276371.0,275729.0,275734.0,274725.0,275053.0,274266.0
3206,168037.0,168041.0,168633.0,168531.0,168451.0,168293.0,168977.0,168782.0,168467.0,168082.0,167045.0,165844.0,165604.0,164938.0,164978.0,165154.0,165320.0,164573.0
3207,143723.0,144764.0,144933.0,145241.0,145534.0,145913.0,146169.0,146944.0,151361.0,151228.0,150468.0,149629.0,148835.0,148515.0,143682.0,143461.0,143503.0,143437.0
3208,154393.0,154584.0,155300.0,156134.0,157033.0,157856.0,157994.0,158271.0,158625.0,158456.0,157595.0,157263.0,156760.0,155854.0,154798.0,154286.0,153787.0,152951.0
3209,69523.0,70205.0,70796.0,71331.0,71388.0,71369.0,71329.0,71371.0,71952.0,72134.0,72407.0,72624.0,72869.0,72680.0,72629.0,72302.0,71928.0,71745.0
3210,197035.0,197659.0,198349.0,198617.0,198409.0,197276.0,198538.0,199602.0,200326.0,200468.0,200755.0,200705.0,200896.0,201030.0,200792.0,200121.0,200394.0,200477.0
3211,287920.0,289812.0,291039.0,290615.0,290515.0,292370.0,293747.0,294882.0,296401.0,297565.0,297397.0,297579.0,299588.0,300726.0,301790.0,302057.0,303955.0,303462.0
3212,247813.0,247727.0,247812.0,248135.0,248347.0,247801.0,247436.0,246546.0,245725.0,244687.0,244251.0,244568.0,244488.0,244020.0,244079.0,243616.0,243824.0,243792.0
3213,281338.0,280701.0,279951.0,279714.0,279246.0,278639.0,278576.0,278213.0,279269.0,279114.0,277680.0,276428.0,275709.0,274611.0,272570.0,272372.0,272414.0,271211.0
