ZE2020,year,month,sitadel_monthly_surface_autorisee,sitadel_monthly_surface_commencee
4412,2013,3,34221,11437
4413,2013,3,18112,10781
4414,2013,3,2571,4954
4415,2013,3,2551,1401
4416,2013,3,2279,8129
4417,2013,3,2436,262
4418,2013,3,1508,1714
4419,2013,3,2959,4047
4420,2013,3,13028,6083
4421,2013,3,7497,4380
4422,2013,3,888,6477
4423,2013,3,18380,29109
4424,2013,3,11552,3735
4425,2013,3,16099,8063
4426,2013,3,5121,3407
4427,2013,3,6826,5400
5201,2013,3,967,1621
5202,2013,3,12781,8462
5203,2013,3,3408,5096
5204,2013,3,2364,5161
5205,2013,3,3978,1085
5206,2013,3,8297,4271
5207,2013,3,7877,25450
5208,2013,3,2760,3448
5209,2013,3,512,527
5210,2013,3,6531,5188
5211,2013,3,9686,28141
5212,2013,3,27795,20082
5213,2013,3,6726,1985
5214,2013,3,9552,1903
5215,2013,3,12357,4146
5216,2013,3,28597,45232
5217,2013,3,3388,2126
5218,2013,3,2530,3562
5219,2013,3,5904,7224
5220,2013,3,1661,2318
5221,2013,3,2903,2760
5301,2013,3,7670,3029
5302,2013,3,30313,12334
5303,2013,3,16185,10433
5304,2013,3,1344,7234
5305,2013,3,5090,2710
5306,2013,3,10242,2459
5307,2013,3,10001,4203
5308,2013,3,4552,10048
5309,2013,3,12372,4384
5310,2013,3,15219,7166
5311,2013,3,10956,12812
5312,2013,3,6150,5538
5313,2013,3,10821,5273
5314,2013,3,2278,5484
5315,2013,3,34746,29843
5316,2013,3,4827,6797
5317,2013,3,8595,5606
5318,2013,3,15804,3387
5319,2013,3,14043,8930
7501,2013,3,6731,21928
7502,2013,3,21074,7153
7503,2013,3,50880,69214
7504,2013,3,3740,1152
7505,2013,3,81387,82164
7506,2013,3,8411,4940
7507,2013,3,4873,1049
7508,2013,3,406,3875
7509,2013,3,11925,15603
7510,2013,3,10275,3237
7511,2013,3,20007,1467
7512,2013,3,19780,11592
7513,2013,3,6050,4301
7514,2013,3,7628,6427
7515,2013,3,8768,5328
7516,2013,3,8964,1830
7517,2013,3,5575,1845
7518,2013,3,35988,2818
7519,2013,3,19673,17451
7520,2013,3,14374,15200
7521,2013,3,3166,1789
7522,2013,3,80464,22442
7523,2013,3,8475,7974
7524,2013,3,12858,6295
7525,2013,3,2015,373
7526,2013,3,6392,742
7527,2013,3,5522,1338
7528,2013,3,3431,4686
7529,2013,3,2959,862
7530,2013,3,11,0
7531,2013,3,8537,1268
7532,2013,3,22377,5644
7601,2013,3,974,0
7602,2013,3,9616,5117
7603,2013,3,4330,3136
7604,2013,3,17443,19961
7605,2013,3,1467,499
7606,2013,3,7974,6997
7607,2013,3,6307,6975
7608,2013,3,14679,10256
7609,2013,3,342,2474
7610,2013,3,6355,3599
7611,2013,3,9985,7888
7612,2013,3,7693,1585
7613,2013,3,13210,7224
7614,2013,3,6416,9321
7615,2013,3,6407,4729
7616,2013,3,28656,19135
7617,2013,3,18261,3111
7618,2013,3,9537,12593
7619,2013,3,6557,2504
7620,2013,3,41610,6950
7621,2013,3,16052,7559
7622,2013,3,2749,3282
7623,2013,3,1125,3123
7624,2013,3,13531,17300
7625,2013,3,32075,44422
8401,2013,3,12207,5135
8402,2013,3,9972,7784
8403,2013,3,13002,1146
8404,2013,3,4909,576
8405,2013,3,25741,17671
8406,2013,3,15808,16978
8407,2013,3,9815,3770
8408,2013,3,64995,6650
8409,2013,3,26148,5319
8410,2013,3,7653,951
8411,2013,3,462,86
8412,2013,3,8312,5647
8413,2013,3,7585,3720
8414,2013,3,8046,5293
8415,2013,3,1195,1357
8416,2013,3,12854,8708
8417,2013,3,6954,835
8418,2013,3,2423,193
8419,2013,3,7095,3652
8420,2013,3,18821,2016
8421,2013,3,53784,67952
8422,2013,3,7911,1105
8423,2013,3,7246,5157
8424,2013,3,7381,5019
8425,2013,3,718,712
8426,2013,3,5789,3806
8427,2013,3,3782,7848
8428,2013,3,14391,7265
8429,2013,3,21981,1816
8430,2013,3,168,1303
8431,2013,3,21534,11196
8432,2013,3,2019,917
8433,2013,3,6958,6635
8434,2013,3,28990,16352
8435,2013,3,10060,1210
9301,2013,3,21774,9417
9302,2013,3,1460,62
9303,2013,3,5546,1729
9304,2013,3,4462,41405
9305,2013,3,4108,4637
9306,2013,3,11381,1926
9307,2013,3,1325,31
9308,2013,3,1593,7003
9309,2013,3,4802,6614
9310,2013,3,7988,1936
9311,2013,3,3914,8989
9312,2013,3,34573,44196
9313,2013,3,8008,8714
9314,2013,3,0,9492
9315,2013,3,14816,115
9316,2013,3,730,0
9317,2013,3,101,0
9318,2013,3,7063,4181
9401,2013,3,6112,373
9402,2013,3,1923,680
9403,2013,3,979,47
9404,2013,3,119,0
