codgeo,ze2020,bpe_facilities_2023_total
01401,8416,25.0
01402,0059,18.0
01403,8405,71.0
01404,8405,5.0
01405,8405,38.0
01406,8405,3.0
01407,8416,46.0
01408,8405,25.0
01410,8425,9.0
01411,8405,9.0
01412,8405,18.0
01415,8404,13.0
01416,8405,50.0
01418,8421,32.0
01419,8416,220.0
01420,8434,100.0
01421,8405,27.0
01422,8405,51.0
01423,8434,30.0
01424,8421,67.0
01425,8405,15.0
01426,8405,102.0
01427,8434,329.0
01428,8434,3.0
01429,8405,20.0
01430,8405,19.0
01431,8405,36.0
01432,8405,10.0
01433,8405,4.0
01434,8405,14.0
01435,8416,51.0
01436,8416,13.0
01437,8405,1.0
01439,0059,3.0
01441,8425,27.0
01443,8405,236.0
01444,8405,36.0
01445,8405,18.0
01446,8434,56.0
01447,8405,61.0
01448,8416,8.0
01449,8405,33.0
01450,8405,130.0
01451,8405,319.0
01452,8404,57.0
01453,8404,35.0
01454,8404,49.0
01456,8404,3.0
01457,0059,136.0
02001,3220,12.0
02002,3220,16.0
02003,3221,24.0
02004,3214,3.0
02005,3214,5.0
02006,3220,7.0
02007,3214,3.0
02008,3221,5.0
02009,3220,17.0
02010,3221,11.0
02011,3221,45.0
02012,3221,3.0
02013,3214,19.0
02014,3220,15.0
02015,3221,5.0
02016,3220,5.0
02017,3220,7.0
02018,3214,89.0
02019,3220,2.0
02020,3217,15.0
02021,3214,3.0
02022,3209,9.0
02023,3209,7.0
02024,3214,3.0
02025,3220,13.0
02027,3214,6.0
02028,3214,64.0
02029,3220,2.0
02030,3220,4.0
02031,3217,31.0
02032,3220,10.0
02033,3214,1.0
02034,3221,2.0
02035,3220,7.0
02036,3221,1.0
02037,3214,29.0
02038,3214,6.0
02039,3214,2.0
02040,3217,3.0
02041,3220,21.0
02042,3209,11.0
02043,3221,2.0
02044,3214,2.0
02046,3214,11.0
02047,3214,3.0
02048,3214,4.0
02049,3220,15.0
02050,3217,2.0
02051,3209,8.0
02052,3221,2.0
02053,3209,12.0
02054,3221,10.0
02055,3217,4.0
02056,3220,3.0
02057,3220,40.0
02058,3214,51.0
02059,3220,59.0
02060,3220,8.0
02061,3220,7.0
02062,3209,2.0
02063,3220,12.0
02064,3221,98.0
02065,3220,18.0
02066,3220,4.0
02067,3217,4.0
02068,3214,2.0
02069,3214,3.0
02070,3220,8.0
02071,3221,29.0
02072,3214,3.0
02073,3214,12.0
02074,3214,13.0
02075,3220,5.0
02076,3214,4.0
02078,3221,2.0
02079,3217,5.0
02080,3214,6.0
02081,3220,6.0
02082,3209,3.0
02083,3209,30.0
02084,3209,6.0
02085,3209,23.0
02086,3220,18.0
02087,3221,2.0
02088,3214,1.0
02089,3221,31.0
02090,3209,8.0
02091,3221,4.0
02093,3221,55.0
02094,3209,16.0
02095,3220,196.0
02096,3214,3.0
02097,3214,12.0
02098,3209,5.0
02099,3209,6.0
02100,3220,5.0
02101,3214,4.0
02102,3214,5.0
02103,3220,50.0
02104,3214,3.0
02105,3209,5.0
02106,3214,38.0
02107,3221,2.0
02108,3214,4.0
02109,3217,12.0
02110,3221,95.0
02111,3214,24.0
02112,3220,18.0
02114,3209,50.0
02115,3221,1.0
02116,3217,1.0
02117,3220,2.0
02118,3221,3.0
02119,3209,8.0
02120,3221,4.0
02121,3209,3.0
02122,3214,4.0
02123,3220,8.0
02124,3220,11.0
02125,3209,7.0
02126,3214,26.0
02127,3209,5.0
02128,3214,57.0
02129,3221,1.0
02130,3217,7.0
02131,3221,55.0
02132,3214,5.0
02133,3214,8.0
02134,3217,30.0
02135,3217,31.0
02136,3217,5.0
02137,3209,4.0
02138,3221,8.0
02139,3220,13.0
02140,3221,12.0
02141,3217,92.0
02142,3220,6.0
02143,3220,17.0
02144,3220,1.0
02145,3220,19.0
02146,3209,3.0
02148,3221,3.0
02149,3220,4.0
02150,3214,4.0
02151,3214,8.0
02152,3221,2.0
02153,3214,18.0
02154,3221,13.0
02155,3214,5.0
02156,3214,4.0
02157,3214,62.0
02158,3214,28.0
02159,3221,4.0
02160,3214,12.0
02162,3209,8.0
02163,3209,125.0
02164,3209,12.0
02165,3220,44.0
02166,3209,6.0
02167,3221,19.0
02168,3209,699.0
02169,3214,1.0
02170,3220,4.0
02171,3214,3.0
02172,3221,12.0
02173,3220,518.0
02174,3214,23.0
02175,3221,3.0
02176,3221,6.0
02177,3214,1.0
02178,3214,2.0
02179,3221,8.0
02180,3214,13.0
02181,3214,4.0
02182,3214,3.0
02183,3214,5.0
02184,3214,6.0
02185,3209,18.0
02186,3209,51.0
02187,3209,31.0
02188,3220,3.0
02189,3214,12.0
02190,3221,13.0
02191,3214,11.0
02192,3221,14.0
02193,3209,1.0
02194,3214,4.0
02195,3221,26.0
02196,3214,14.0
02197,3217,14.0
02198,3221,2.0
02199,3220,16.0
02200,3214,2.0
02201,3221,15.0
02203,3209,34.0
02204,3217,2.0
02205,3214,3.0
02206,3220,1.0
02207,3220,2.0
02208,3214,3.0
02209,3209,47.0
02210,3221,2.0
02211,3214,18.0
02212,3220,27.0
02213,3209,11.0
02214,3220,1.0
02215,3214,32.0
02216,3221,6.0
02217,3221,48.0
02218,3214,15.0
02219,3221,6.0
02220,3209,19.0
02221,3209,3.0
02222,3214,2.0
02223,3209,8.0
02224,3221,12.0
02225,3209,1.0
02226,3221,29.0
02227,3209,3.0
02228,3209,13.0
02229,3214,3.0
02230,3221,10.0
02231,3214,19.0
02232,3221,17.0
02233,3209,3.0
02234,3214,4.0
02235,3214,1.0
