codgeo,ze2020,active_15_64_2022_total,employed_15_64_2022_total,unemployed_15_64_2022_est,unemployment_rate_est_2022
02071,3221,309.13953,289.51163,19.6279,0.063492
02072,3214,91.02857,85.97143,5.05714,0.055556
02073,3214,358.0,322.13846,35.86154,0.100172
02074,3214,266.89202,237.60453,29.28749,0.109735
02075,3220,101.30233,96.69767,4.60466,0.045455
02076,3214,91.4375,91.4375,0.0,0.0
02078,3221,85.37143,61.65714,23.71429,0.277778
02079,3217,65.96296,65.96296,0.0,0.0
02080,3214,137.36696,128.34219,9.02477,0.065698
02081,3220,209.38152,185.47183,23.90969,0.114192
02082,3209,74.88,56.16,18.72,0.25
02083,3209,384.77256,355.0204,29.75216,0.077324
02084,3209,132.38181,112.50588,19.87593,0.150141
02085,3209,473.85702,416.82212,57.0349,0.120363
02086,3220,477.53505,423.00786,54.52719,0.114185
02087,3221,15.11111,11.33333,3.77778,0.25
02088,3214,48.0,42.66667,5.33333,0.111111
02089,3221,566.54566,541.23695,25.30871,0.044672
02090,3209,82.875,82.875,0.0,0.0
02091,3221,40.44444,40.44444,0.0,0.0
02093,3221,438.66503,396.4467,42.21833,0.096243
02094,3209,193.82447,188.74405,5.08042,0.026211
02095,3220,2098.0659,1376.56461,721.50129,0.343889
02096,3214,86.37838,81.2973,5.08108,0.058824
02097,3214,117.16981,106.98113,10.18868,0.086957
02098,3209,190.4321,174.90491,15.52719,0.081537
02099,3209,132.12766,114.51064,17.61702,0.133333
02100,3220,69.5,64.86667,4.63333,0.066667
02101,3214,63.75,63.75,0.0,0.0
02102,3214,74.59459,69.62162,4.97297,0.066667
02103,3220,491.63774,432.04528,59.59246,0.121212
02104,3214,42.75,38.0,4.75,0.111111
02105,3209,70.64444,66.48889,4.15555,0.058823
02106,3214,390.41765,355.11311,35.30454,0.090428
02107,3221,24.47059,18.35294,6.11765,0.25
02108,3214,87.6,75.92,11.68,0.133333
02109,3217,181.57365,156.80732,24.76633,0.136398
02110,3221,894.44394,745.4218,149.02214,0.166609
02111,3214,301.03277,275.34254,25.69023,0.08534
02112,3220,311.67568,281.51351,30.16217,0.096774
02114,3209,683.79448,589.28315,94.51133,0.138216
02115,3221,111.46154,92.07692,19.38462,0.173913
02116,3217,34.69565,28.91304,5.78261,0.166667
02117,3220,34.41176,34.41176,0.0,0.0
02118,3221,65.0,60.0,5.0,0.076923
02119,3209,162.69748,148.12533,14.57215,0.089566
02120,3221,67.67442,58.65116,9.02326,0.133333
02121,3209,109.5,93.85714,15.64286,0.142857
02122,3214,21.6,21.6,0.0,0.0
02123,3220,158.06528,139.15814,18.90714,0.119616
02124,3220,244.17676,203.32228,40.85448,0.167315
02125,3209,109.24423,98.821,10.42323,0.095412
02126,3214,211.72546,172.34252,39.38294,0.186009
02127,3209,90.0,85.0,5.0,0.055556
02128,3214,625.52495,550.20712,75.31783,0.120407
02129,3221,6.33333,6.33333,0.0,0.0
02130,3217,79.86047,61.06977,18.7907,0.235294
02131,3221,938.39829,812.25976,126.13853,0.134419
02132,3214,84.10526,84.10526,0.0,0.0
02133,3214,165.70537,155.64421,10.06116,0.060717
02134,3217,338.60017,287.34648,51.25369,0.151369
02135,3217,530.4,453.9,76.5,0.144231
02136,3217,67.86207,55.13793,12.72414,0.1875
02137,3209,74.85714,70.17857,4.67857,0.0625
02138,3221,61.0,61.0,0.0,0.0
02139,3220,184.59783,164.6413,19.95653,0.108108
02140,3221,182.32398,145.84263,36.48135,0.200091
02141,3217,713.04195,580.1509,132.89105,0.186372
02142,3220,121.16981,97.86792,23.30189,0.192308
02143,3220,60.0,55.0,5.0,0.083333
