ZE2020,rei_cfe_commune_base,rei_cfe_commune_product,rei_cfe_commune_articles,rei_cfe_epci_base,rei_cfe_epci_product,rei_cfe_epci_articles,rei_cfe_microentrepreneurs,rei_cfe_microentrepreneurs_created_n_1,year
7619,523829.0,68538.0,101.0,19751567.0,5407842.0,3133.0,1799.0,0.0,2018
7620,0.0,0.0,0.0,155674705.0,53492313.0,37616.0,19362.0,0.0,2018
7621,3226467.0,603136.0,742.0,73494673.0,21872580.0,10466.0,4412.0,0.0,2018
7622,1049559.0,250144.0,395.0,39379304.0,13552047.0,8614.0,5042.0,0.0,2018
7623,0.0,0.0,0.0,30375356.0,12105835.0,8718.0,4849.0,0.0,2018
7624,12753421.0,4302113.0,2877.0,83180997.0,26082919.0,17551.0,9425.0,0.0,2018
7625,3983447.0,942692.0,1765.0,641115987.0,229389215.0,98829.0,52382.0,0.0,2018
8401,1594377.0,340236.0,285.0,145726167.0,36629113.0,28170.0,12342.0,0.0,2018
8402,0.0,0.0,0.0,42980500.0,12152968.0,10130.0,5158.0,0.0,2018
8403,0.0,0.0,0.0,21376133.0,6433170.0,4648.0,1738.0,0.0,2018
8404,0.0,0.0,0.0,20229642.0,5112956.0,2628.0,1458.0,0.0,2018
8405,0.0,0.0,0.0,143416317.0,31536861.0,14986.0,7513.0,0.0,2018
8406,0.0,0.0,0.0,121581788.0,31358303.0,15176.0,8378.0,0.0,2018
8407,0.0,0.0,0.0,98106280.0,26787221.0,18973.0,8075.0,0.0,2018
8408,0.0,0.0,0.0,206543191.0,52638532.0,29360.0,14182.0,0.0,2018
8409,23089041.0,7755770.0,1995.0,308047198.0,86267850.0,44956.0,21256.0,0.0,2018
8410,0.0,0.0,0.0,28815117.0,7392651.0,5317.0,2578.0,0.0,2018
8411,43857719.0,9997607.0,2037.0,77803372.0,15877718.0,4203.0,1308.0,0.0,2018
8412,179177.0,28834.0,56.0,28462175.0,7222394.0,5654.0,2393.0,0.0,2018
8413,121523012.0,36656652.0,13017.0,158301959.0,16538202.0,17756.0,5719.0,0.0,2018
8414,0.0,0.0,0.0,67989724.0,15040103.0,7425.0,2970.0,0.0,2018
8415,0.0,0.0,0.0,59131130.0,15279747.0,11640.0,5225.0,0.0,2018
8416,5881576.0,1136553.0,597.0,109093019.0,24722207.0,19719.0,9753.0,0.0,2018
8417,72960.0,14936.0,33.0,28923778.0,7333000.0,5070.0,2636.0,0.0,2018
