codgeo,ze2020,side_stocks_ul_2023_total
24554,7523,59
24486,7523,47
25033,2714,19
25039,2715,60
25044,2706,4
24494,7504,55
25038,2706,16
24559,7529,49
25046,2715,2
24569,7502,20
24576,7523,27
24525,7523,20
24537,7523,29
24570,7504,2
25029,2715,13
24501,7504,37
24536,7504,20
25047,2706,436
25053,2714,7
25030,2706,23
25032,2706,54
24544,7529,44
24541,7523,14
24551,7523,304
24580,7507,15
25022,2714,80
25056,2706,8533
24558,7504,45
24502,7523,3
24498,7523,83
25057,2714,167
24572,7532,23
24545,7507,4
24521,7523,62
24478,7529,4
24476,7523,6
24483,7504,11
25014,2706,45
32443,7624,16
32339,7625,15
32419,7604,9
32405,7604,11
32404,7604,72
32432,7625,25
32305,7604,37
02535,3217,0
32409,7604,5
32308,7625,7
32437,7604,15
32444,7604,18
32350,7604,6
32343,7604,18
32360,7604,12
32371,7604,9
32422,7604,2
32333,7624,8
32366,7604,8
32318,7604,5
32440,7624,13
32330,7624,16
32414,7624,16
32362,7624,14
32342,7604,7
32375,7604,14
02530,3214,2
02571,3220,20
02564,3221,39
02674,3214,1
32329,7604,13
02592,3220,6
02567,3217,11
02627,3214,10
02623,3217,0
02643,3221,48
02594,3221,6
02632,3214,2
02652,3214,7
02554,3209,40
02596,3209,29
02561,3214,9
02678,3214,2
02670,3217,8
02651,3214,3
02576,3221,8
02687,3221,32
02537,3221,13
02545,3214,12
02645,3209,10
02656,3214,21
02686,3220,17
02599,3220,10
02589,3214,19
02601,3214,9
02665,3209,10
02614,3220,7
02613,3214,40
02672,3221,9
02668,3220,56
02626,3214,14
02563,3220,8
02663,3221,10
02679,3209,5
02542,3220,2
02549,3220,52
02620,3221,16
02637,3220,15
02697,3214,12
02598,3221,54
02570,3220,6
02543,3209,107
02694,3220,25
02628,3221,13
02533,3221,2
02580,3209,41
02640,3220,6
02636,3220,7
02531,3214,2
02639,3220,14
02654,3220,2
02615,3220,13
02666,3214,54
02547,3214,1
02552,3220,6
02590,3209,8
