annee,trimestre,code_zone_d_emploi,effectifs_salaries_brut,effectifs_salaries_cvs,masse_salariale_cvs
2012,1,2702,43882,44430,262600478
2012,4,2702,43781,43782,258729093
2012,3,2703,10086,9974,53245333
2012,1,2711,116662,117430,747287982
2012,2,2711,117978,117023,748912766
2012,4,2711,116191,116251,748366664
2012,4,2712,805,812,4123134
2012,1,2717,24610,24861,152845232
2012,2,2715,22084,21972,122475419
2012,3,2715,22232,22051,123946310
2012,4,2716,12214,12246,79078354
2012,1,2718,30892,31255,174401081
2012,3,2718,30784,30655,174375479
2012,3,0052,27009,26175,149253105
2012,2,0053,72782,71791,440999412
2012,1,0064,5400,5655,29365525
2012,3,0064,5865,5634,29231102
2012,4,0064,5416,5600,29157557
2012,2,9401,27726,26707,161579149
2012,4,9402,27139,27945,165880526
2012,2,9403,5907,5037,28200483
2012,4,9403,4140,5127,28500227
2012,1,9404,2113,2250,12344470
2012,2,9404,2318,2242,12217228
2012,1,9405,2967,3149,16861710
2012,2,9405,3287,3134,16597967
2012,4,9405,3015,3199,17103680
2012,3,9406,10636,8977,51122503
2012,4,9406,7543,9135,51683974
2012,2,7613,17475,17156,87149690
2012,4,7613,16841,17209,88918376
2012,1,7614,231,255,1118366
2012,2,7616,181874,179246,1124150022
2012,3,7617,30804,29952,164729846
2012,4,7617,28801,29706,164985365
2012,3,7618,79562,79307,472694751
2012,4,7618,78549,78736,473171893
2012,2,7620,94204,92466,516458063
2012,4,7620,89521,92163,519481217
2012,1,7623,17634,18268,100473075
2012,3,7623,18548,18025,100511893
2012,4,7623,17417,17913,100256473
2012,3,7625,12,12,24154
2012,4,7625,13,13,32031
2012,1,1106,141603,143365,1023134987
2012,1,1108,43967,44399,295363183
2012,4,1108,44456,44268,297471978
2012,1,1109,3035282,3042852,29188315011
2012,1,2401,49673,50259,310940128
2012,2,2402,49752,49343,301266974
2012,2,2403,53373,53068,347221910
2012,3,2403,52926,52980,347236681
2012,2,2404,10859,10762,60937195
2012,3,2404,10784,10742,60447583
2012,3,2405,49512,49271,282697916
