zone_id,target_year,a10,jobs
BE_philippeville,2013,FZ,777.0
BE_philippeville,2013,GI,2602.0
BE_philippeville,2013,JZ,17.0
BE_philippeville,2013,KZ,162.0
BE_philippeville,2013,LZ,22.0
BE_philippeville,2013,MN,865.0
BE_philippeville,2013,OPQ,6630.0
BE_philippeville,2013,RSU,466.0
BE_philippeville,2014,A,92.0
BE_philippeville,2014,BE,986.0
BE_philippeville,2014,FZ,721.0
BE_philippeville,2014,GI,2595.0
BE_philippeville,2014,JZ,3.0
BE_philippeville,2014,KZ,173.0
BE_philippeville,2014,LZ,21.0
BE_philippeville,2014,MN,822.0
BE_philippeville,2014,OPQ,6503.0
BE_philippeville,2014,RSU,462.0
BE_philippeville,2015,A,98.0
BE_philippeville,2015,BE,1014.0
BE_philippeville,2015,FZ,729.0
BE_philippeville,2015,GI,2631.0
BE_philippeville,2015,JZ,6.0
BE_philippeville,2015,KZ,164.0
BE_philippeville,2015,LZ,22.0
BE_philippeville,2015,MN,823.0
BE_philippeville,2015,OPQ,6574.0
BE_philippeville,2015,RSU,472.0
BE_philippeville,2016,A,103.0
BE_philippeville,2016,BE,1054.0
BE_philippeville,2016,FZ,739.0
BE_philippeville,2016,GI,2621.0
BE_philippeville,2016,JZ,7.0
BE_philippeville,2016,KZ,146.0
BE_philippeville,2016,LZ,24.0
BE_philippeville,2016,MN,906.0
BE_philippeville,2016,OPQ,6677.0
BE_philippeville,2016,RSU,470.0
BE_philippeville,2017,A,109.0
BE_philippeville,2017,BE,1025.0
BE_philippeville,2017,FZ,746.0
BE_philippeville,2017,GI,2667.0
BE_philippeville,2017,JZ,13.0
BE_philippeville,2017,KZ,151.0
BE_philippeville,2017,LZ,25.0
BE_philippeville,2017,MN,975.0
BE_philippeville,2017,OPQ,6664.0
BE_philippeville,2017,RSU,447.0
BE_philippeville,2018,A,127.0
BE_philippeville,2018,BE,966.0
BE_philippeville,2018,FZ,780.0
BE_philippeville,2018,GI,2672.0
BE_philippeville,2018,JZ,14.0
BE_philippeville,2018,KZ,147.0
BE_philippeville,2018,LZ,26.0
BE_philippeville,2018,MN,1012.0
BE_philippeville,2018,OPQ,6750.0
BE_philippeville,2018,RSU,439.0
BE_philippeville,2019,A,150.0
BE_philippeville,2019,BE,1009.0
BE_philippeville,2019,FZ,787.0
BE_philippeville,2019,GI,2643.0
BE_philippeville,2019,JZ,15.0
BE_philippeville,2019,KZ,148.0
BE_philippeville,2019,LZ,25.0
BE_philippeville,2019,MN,1076.0
BE_philippeville,2019,OPQ,6783.0
BE_philippeville,2019,RSU,449.0
BE_philippeville,2020,A,147.0
BE_philippeville,2020,BE,1006.0
BE_philippeville,2020,FZ,803.0
BE_philippeville,2020,GI,2638.0
BE_philippeville,2020,JZ,15.0
BE_philippeville,2020,KZ,145.0
BE_philippeville,2020,LZ,24.0
BE_philippeville,2020,MN,1046.0
BE_philippeville,2020,OPQ,6947.0
BE_philippeville,2020,RSU,443.0
BE_roulers,2008,A,499.0
BE_roulers,2008,BE,16034.0
BE_roulers,2008,FZ,4299.0
BE_roulers,2008,GI,10444.0
BE_roulers,2008,JZ,1415.0
BE_roulers,2008,KZ,1126.0
