country,eval_year,exclude_covid,community_id,region_id,community_size,n_graph_edges,modularity
FR,2017,False,8,63,24,915,0.3836643881447538
FR,2017,False,8,7520,24,915,0.3836643881447538
FR,2017,False,8,7602,24,915,0.3836643881447538
FR,2017,False,8,7621,24,915,0.3836643881447538
FR,2017,False,8,8404,24,915,0.3836643881447538
FR,2017,False,8,8409,24,915,0.3836643881447538
FR,2017,False,8,8411,24,915,0.3836643881447538
FR,2017,False,8,8429,24,915,0.3836643881447538
FR,2017,False,8,8430,24,915,0.3836643881447538
FR,2017,False,8,8435,24,915,0.3836643881447538
FR,2017,False,9,1106,35,915,0.3836643881447538
FR,2017,False,9,1115,35,915,0.3836643881447538
FR,2017,False,9,2702,35,915,0.3836643881447538
FR,2017,False,9,2706,35,915,0.3836643881447538
FR,2017,False,9,2711,35,915,0.3836643881447538
FR,2017,False,9,2812,35,915,0.3836643881447538
FR,2017,False,9,2814,35,915,0.3836643881447538
FR,2017,False,9,2817,35,915,0.3836643881447538
FR,2017,False,9,2818,35,915,0.3836643881447538
FR,2017,False,9,3203,35,915,0.3836643881447538
FR,2017,False,9,3211,35,915,0.3836643881447538
FR,2017,False,9,3220,35,915,0.3836643881447538
FR,2017,False,9,4425,35,915,0.3836643881447538
FR,2017,False,9,5306,35,915,0.3836643881447538
FR,2017,False,9,5311,35,915,0.3836643881447538
FR,2017,False,9,57,35,915,0.3836643881447538
FR,2017,False,9,7514,35,915,0.3836643881447538
FR,2017,False,9,7521,35,915,0.3836643881447538
FR,2017,False,9,7613,35,915,0.3836643881447538
FR,2017,False,9,7614,35,915,0.3836643881447538
FR,2017,False,9,7616,35,915,0.3836643881447538
FR,2017,False,9,7625,35,915,0.3836643881447538
FR,2017,False,9,8401,35,915,0.3836643881447538
FR,2017,False,9,8403,35,915,0.3836643881447538
FR,2017,False,9,8407,35,915,0.3836643881447538
FR,2017,False,9,8410,35,915,0.3836643881447538
FR,2017,False,9,8413,35,915,0.3836643881447538
FR,2017,False,9,8422,35,915,0.3836643881447538
FR,2017,False,9,8423,35,915,0.3836643881447538
FR,2017,False,9,8428,35,915,0.3836643881447538
FR,2017,False,9,8433,35,915,0.3836643881447538
FR,2017,False,9,9303,35,915,0.3836643881447538
FR,2017,False,9,9304,35,915,0.3836643881447538
FR,2017,False,9,9306,35,915,0.3836643881447538
FR,2017,False,9,9308,35,915,0.3836643881447538
FR,2018,False,0,1111,29,901,0.3887526847047281
FR,2018,False,0,2403,29,901,0.3887526847047281
FR,2018,False,0,2405,29,901,0.3887526847047281
FR,2018,False,0,2701,29,901,0.3887526847047281
FR,2018,False,0,2710,29,901,0.3887526847047281
FR,2018,False,0,2715,29,901,0.3887526847047281
FR,2018,False,0,2814,29,901,0.3887526847047281
FR,2018,False,0,2816,29,901,0.3887526847047281
FR,2018,False,0,2817,29,901,0.3887526847047281
FR,2018,False,0,3202,29,901,0.3887526847047281
FR,2018,False,0,3205,29,901,0.3887526847047281
FR,2018,False,0,4409,29,901,0.3887526847047281
FR,2018,False,0,4419,29,901,0.3887526847047281
FR,2018,False,0,5208,29,901,0.3887526847047281
FR,2018,False,0,5213,29,901,0.3887526847047281
FR,2018,False,0,53,29,901,0.3887526847047281
FR,2018,False,0,5307,29,901,0.3887526847047281
FR,2018,False,0,5314,29,901,0.3887526847047281
FR,2018,False,0,5318,29,901,0.3887526847047281
