ZE2020,target_year,node_idx,side_establishment_creations_official,side_enterprise_creations_official,side_lag_1,growth_1y,has_flores_source,has_side_stock_source,has_urssaf_source,feature_forecast_safe,is_covid_year,is_post_covid_rebound,side_stock_total_t_minus_1
37,2020,36,2600.0,2600.0,2440.0,0.0655737704918032,0,0,0,1,0,0,26815.0
38,2020,37,2280.0,2280.0,2105.0,0.0831353919239905,0,0,0,1,0,0,24285.0
39,2020,38,5240.0,5240.0,4795.0,0.0928050052137643,0,0,0,1,0,0,52770.0
40,2020,39,5575.0,5575.0,5585.0,-0.0017905102954341,0,0,0,1,0,0,44020.0
1,2021,0,965.0,965.0,995.0,-0.0301507537688442,0,0,0,1,0,0,11730.0
2,2021,1,320.0,320.0,280.0,0.1428571428571428,0,0,0,1,0,0,3695.0
3,2021,2,4870.0,4870.0,4445.0,0.0956130483689538,0,0,0,1,0,0,42065.0
4,2021,3,3440.0,3440.0,3080.0,0.1168831168831168,0,0,0,1,0,0,33270.0
5,2021,4,1505.0,1505.0,1275.0,0.1803921568627451,0,0,0,1,0,0,17615.0
6,2021,5,1825.0,1825.0,1620.0,0.1265432098765432,0,0,0,1,0,0,20185.0
7,2021,6,1795.0,1795.0,1580.0,0.1360759493670886,0,0,0,1,0,0,19615.0
8,2021,7,1485.0,1485.0,1315.0,0.1292775665399239,0,0,0,1,0,0,16050.0
9,2021,8,1280.0,1280.0,1145.0,0.1179039301310043,0,0,0,1,0,0,14495.0
10,2021,9,4025.0,4025.0,3555.0,0.1322081575246132,0,0,0,1,0,0,40170.0
11,2021,10,1685.0,1685.0,1500.0,0.1233333333333333,0,0,0,1,0,0,16020.0
12,2021,11,6440.0,6440.0,5585.0,0.153088630259624,0,0,0,1,0,0,62535.0
13,2021,12,8275.0,8275.0,7145.0,0.1581525542337298,0,0,0,1,0,0,78480.0
14,2021,13,3905.0,3905.0,3450.0,0.1318840579710145,0,0,0,1,0,0,44295.0
15,2021,14,9375.0,9375.0,8435.0,0.1114404267931239,0,0,0,1,0,0,81770.0
16,2021,15,2870.0,2870.0,2685.0,0.068901303538175,0,0,0,1,0,0,31345.0
17,2021,16,19985.0,19985.0,17745.0,0.126232741617357,0,0,0,1,0,0,175510.0
18,2021,17,4065.0,4065.0,3805.0,0.0683311432325887,0,0,0,1,0,0,42330.0
19,2021,18,2955.0,2955.0,3105.0,-0.0483091787439613,0,0,0,1,0,0,29190.0
20,2021,19,2310.0,2310.0,2200.0,0.05,0,0,0,1,0,0,21125.0
21,2021,20,3670.0,3670.0,3370.0,0.0890207715133531,0,0,0,1,0,0,33090.0
22,2021,21,2460.0,2460.0,2170.0,0.1336405529953917,0,0,0,1,0,0,18610.0
23,2021,22,30645.0,30645.0,27680.0,0.1071170520231213,0,0,0,1,0,0,228695.0
24,2021,23,4090.0,4090.0,3735.0,0.0950468540829986,0,0,0,1,0,0,39595.0
25,2021,24,5175.0,5175.0,4800.0,0.078125,0,0,0,1,0,0,47520.0
26,2021,25,16270.0,16270.0,14520.0,0.1205234159779614,0,0,0,1,0,0,108210.0
27,2021,26,3235.0,3235.0,2945.0,0.098471986417657,0,0,0,1,0,0,27860.0
28,2021,27,3960.0,3960.0,3545.0,0.1170662905500705,0,0,0,1,0,0,38195.0
29,2021,28,22795.0,22795.0,20330.0,0.1212493851451057,0,0,0,1,0,0,160490.0
30,2021,29,4385.0,4385.0,3940.0,0.1129441624365482,0,0,0,1,0,0,38300.0
31,2021,30,975.0,975.0,870.0,0.1206896551724138,0,0,0,1,0,0,10410.0
32,2021,31,2995.0,2995.0,2785.0,0.0754039497307001,0,0,0,1,0,0,30930.0
33,2021,32,8045.0,8045.0,7190.0,0.1189151599443671,0,0,0,1,0,0,71660.0
34,2021,33,6340.0,6340.0,5620.0,0.1281138790035587,0,0,0,1,0,0,53810.0
35,2021,34,8300.0,8300.0,7520.0,0.1037234042553191,0,0,0,1,0,0,80920.0
36,2021,35,9970.0,9970.0,8960.0,0.1127232142857142,0,0,0,1,0,0,89360.0
37,2021,36,2955.0,2955.0,2600.0,0.1365384615384615,0,0,0,1,0,0,27870.0
38,2021,37,2410.0,2410.0,2280.0,0.0570175438596491,0,0,0,1,0,0,25130.0
39,2021,38,5455.0,5455.0,5240.0,0.041030534351145,0,0,0,1,0,0,54285.0
40,2021,39,6270.0,6270.0,5575.0,0.1246636771300448,0,0,0,1,0,0,46955.0
1,2022,0,1010.0,1010.0,965.0,0.0466321243523316,0,0,0,1,0,0,12090.0
2,2022,1,340.0,340.0,320.0,0.0625,0,0,0,1,0,0,3775.0
3,2022,2,4805.0,4805.0,4870.0,-0.0133470225872689,0,0,0,1,0,0,43550.0
4,2022,3,3455.0,3455.0,3440.0,0.004360465116279,0,0,0,1,0,0,34405.0
5,2022,4,1375.0,1375.0,1505.0,-0.0863787375415282,0,0,0,1,0,0,18025.0
6,2022,5,1750.0,1750.0,1825.0,-0.0410958904109589,0,0,0,1,0,0,20640.0
7,2022,6,1725.0,1725.0,1795.0,-0.0389972144846796,0,0,0,1,0,0,19995.0
8,2022,7,1460.0,1460.0,1485.0,-0.0168350168350168,0,0,0,1,0,0,16440.0
9,2022,8,1305.0,1305.0,1280.0,0.01953125,0,0,0,1,0,0,14905.0
10,2022,9,3995.0,3995.0,4025.0,-0.0074534161490683,0,0,0,1,0,0,41485.0
11,2022,10,1780.0,1780.0,1685.0,0.0563798219584569,0,0,0,1,0,0,16575.0
12,2022,11,6250.0,6250.0,6440.0,-0.0295031055900621,0,0,0,1,0,0,64110.0
13,2022,12,8125.0,8125.0,8275.0,-0.0181268882175226,0,0,0,1,0,0,81320.0
14,2022,13,3720.0,3720.0,3905.0,-0.0473751600512163,0,0,0,1,0,0,45495.0
