country,sector,eval_year,n_edges_topk5,density,w_mean,w_std,w_median
NL,OQ,2022,137,0.17564102564102563,0.8517432111025723,0.13132068066405567,0.9012530902190092
NL,OQ,2023,142,0.18205128205128204,0.8194613976871173,0.17662136483449542,0.8799337217068148
NL,OQ,2024,141,0.18076923076923077,0.8472318916503482,0.16049707547183847,0.902954331384894
NL,OQ,2025,140,0.1794871794871795,0.9261401184909358,0.06697314875685845,0.943626632362272
NL,OQ,2026,145,0.1858974358974359,0.9396122306750834,0.0761828725176189,0.9692282237527872
NL,RU,2012,130,0.16666666666666666,0.9686943450627937,0.050692797730606004,0.9881318361782805
NL,RU,2013,139,0.1782051282051282,0.9414593032836999,0.06934362689211886,0.9691869439274338
NL,RU,2014,138,0.17692307692307693,0.9516567575324906,0.05086010839662204,0.9699071639362025
NL,RU,2015,135,0.17307692307692307,0.8840103170164747,0.0984147989751139,0.9139675368564132
NL,RU,2016,125,0.16025641025641027,0.783813088992179,0.16290326027135402,0.8120654174097393
NL,RU,2017,132,0.16923076923076924,0.8089968479652176,0.1684282029217505,0.8493285279235362
NL,RU,2018,126,0.16153846153846155,0.768901277887363,0.1889048757928771,0.8097204639302326
NL,RU,2019,129,0.16538461538461538,0.7693472204873942,0.17505936642664022,0.8174552180352901
NL,RU,2020,128,0.1641025641025641,0.7678641226738402,0.1785085495847757,0.8205778984743113
NL,RU,2021,121,0.15512820512820513,0.7679409764843621,0.1431794462267742,0.8010171204746813
NL,RU,2022,131,0.16794871794871793,0.7559621655768438,0.15395784215071123,0.770134825854404
NL,RU,2023,133,0.17051282051282052,0.8137990091316845,0.12980795372016912,0.8129554783531814
NL,RU,2024,128,0.1641025641025641,0.832782403005444,0.1432598937764479,0.8802536800183436
NL,RU,2025,141,0.18076923076923077,0.865882525546711,0.1223332315701422,0.9051946746694556
NL,RU,2026,139,0.1782051282051282,0.8591301443409121,0.1227450135272023,0.8967479295964897
PT,BE,2013,84,0.28,0.9300349382520787,0.06629857003474056,0.9516015588396595
PT,BE,2014,80,0.26666666666666666,0.9148350658434332,0.07728678142257114,0.9406834585624428
PT,BE,2015,79,0.2633333333333333,0.8744662432570172,0.09218504620932383,0.9082519275811036
PT,BE,2016,83,0.27666666666666667,0.8437427692609809,0.12151946634366005,0.8683064444483972
PT,BE,2017,84,0.28,0.8289432954591711,0.17236218072235526,0.8855672016300302
PT,BE,2018,84,0.28,0.8831210285908151,0.11071050848963145,0.9161381962920638
PT,BE,2019,87,0.29,0.8385817605409912,0.1925558365022861,0.91862485959984
PT,BE,2020,88,0.29333333333333333,0.851810544400572,0.17663116471824444,0.9302928627778758
PT,BE,2021,88,0.29333333333333333,0.859486196402043,0.17063405829300557,0.9309148057910956
PT,BE,2022,77,0.25666666666666665,0.8673249250531923,0.12107018566474731,0.8985076411898626
PT,BE,2023,77,0.25666666666666665,0.863263003557407,0.10128299805506816,0.8995246935243107
PT,BE,2024,82,0.2733333333333333,0.834012581094838,0.13860573126389886,0.8682605735880438
PT,BE,2025,79,0.2633333333333333,0.8292817190656023,0.13789998356841698,0.8602804644822581
PT,FZ,2013,79,0.2633333333333333,0.8536159713312937,0.15285523949096866,0.9022093012824106
PT,FZ,2014,84,0.28,0.9331582906812953,0.06188901619406821,0.9573390591766116
PT,FZ,2015,86,0.2866666666666667,0.8842933652791806,0.11399218761060467,0.9227267346516451
PT,FZ,2016,89,0.2966666666666667,0.8699598233768135,0.1304869348624106,0.9147952324757442
PT,FZ,2017,82,0.2733333333333333,0.8944978506667349,0.09361949828944792,0.9269611800817
PT,FZ,2018,92,0.30666666666666664,0.833840896534888,0.17750565787789996,0.8941240144511199
PT,FZ,2019,83,0.27666666666666667,0.7538920903451524,0.21242228272569932,0.8029158712534944
PT,FZ,2020,77,0.25666666666666665,0.7292642352316179,0.17423282132195161,0.7658144903075926
PT,FZ,2021,84,0.28,0.7829365025510401,0.16348655100942994,0.8384369815151438
PT,FZ,2022,82,0.2733333333333333,0.8240490900528166,0.1148617218391023,0.8355337244219974
