country,sector,eval_year,jaccard_k3_k5,jaccard_k5_k10
PT,OQ,2015,0.5813953488372093,0.5149700598802395
PT,OQ,2016,0.6144578313253012,0.51875
PT,OQ,2017,0.5862068965517241,0.514792899408284
PT,OQ,2018,0.5714285714285714,0.5490196078431373
PT,OQ,2019,0.6024096385542169,0.5570469798657718
PT,OQ,2020,0.6296296296296297,0.5192307692307693
PT,OQ,2021,0.5952380952380952,0.5283018867924528
PT,OQ,2022,0.6071428571428571,0.5217391304347826
PT,OQ,2023,0.6190476190476191,0.5217391304347826
PT,OQ,2024,0.6097560975609756,0.5125
PT,OQ,2025,0.6219512195121951,0.5061728395061729
PT,RU,2013,0.6385542168674698,0.5253164556962026
PT,RU,2014,0.6179775280898876,0.5144508670520231
PT,RU,2015,0.6483516483516484,0.5548780487804879
PT,RU,2016,0.6373626373626373,0.56875
PT,RU,2017,0.6153846153846154,0.5652173913043478
PT,RU,2018,0.620253164556962,0.5302013422818792
PT,RU,2019,0.6233766233766234,0.5620437956204379
PT,RU,2020,0.618421052631579,0.5428571428571428
PT,RU,2021,0.627906976744186,0.5149700598802395
PT,RU,2022,0.6463414634146342,0.5030674846625767
PT,RU,2023,0.5977011494252874,0.5058139534883721
PT,RU,2024,0.6136363636363636,0.5116279069767442
PT,RU,2025,0.5888888888888889,0.5172413793103449
