package,model,split,group_type,group,rows,zones,mae,wmape,median_ape
controlled_hybrid,lags_plus_side_stocks_flores,test,volatility_group,mid_high_vol,68,68,122.02143076832238,4.1185601927113495,2.966183728294796
controlled_hybrid,lags_plus_side_stocks_flores,test,volatility_group,mid_low_vol,70,70,97.10023769846606,3.5755517650949904,2.9656595920314355
controlled_hybrid,lags_plus_side_stocks_flores,test,volatility_group,nan,3,3,151.21090147518484,4.329795785296883,5.1918964192402095
controlled_hybrid,lags_plus_side_stocks_flores,train,size_group,large,207,69,860.2197272668907,7.785855921250386,8.967226638026613
controlled_hybrid,lags_plus_side_stocks_flores,train,size_group,mid_high,204,68,202.14392532365102,9.180198701694529,9.122916913204463
controlled_hybrid,lags_plus_side_stocks_flores,train,size_group,mid_low,210,70,110.64747746299946,8.85162959457149,8.548527846207868
controlled_hybrid,lags_plus_side_stocks_flores,train,size_group,nan,9,3,230.21293427284166,7.617619796520368,9.560665764320598
controlled_hybrid,lags_plus_side_stocks_flores,train,size_group,small,210,70,68.37826964903435,9.678779068682402,8.997423065980408
controlled_hybrid,lags_plus_side_stocks_flores,train,volatility_group,high_vol,210,70,670.3009410467716,8.01473990948162,10.623018652723752
controlled_hybrid,lags_plus_side_stocks_flores,train,volatility_group,low_vol,207,69,123.82985060866197,6.893014977436235,6.556281124677328
controlled_hybrid,lags_plus_side_stocks_flores,train,volatility_group,mid_high_vol,204,68,229.3190117676604,8.896058174962437,9.198652565996277
controlled_hybrid,lags_plus_side_stocks_flores,train,volatility_group,mid_low_vol,210,70,208.19617193990686,8.867155734264461,9.016413405645203
controlled_hybrid,lags_plus_side_stocks_flores,train,volatility_group,nan,9,3,230.21293427284166,7.617619796520368,9.560665764320598
controlled_hybrid,lags_plus_side_stocks_flores,validation,size_group,large,69,69,1440.1784443342635,12.578582687233128,3.244980687838582
controlled_hybrid,lags_plus_side_stocks_flores,validation,size_group,mid_high,68,68,92.34184910409044,3.96908152706515,3.805546783821239
controlled_hybrid,lags_plus_side_stocks_flores,validation,size_group,mid_low,70,70,95.31024637310482,7.169880546487272,6.724215350596085
controlled_hybrid,lags_plus_side_stocks_flores,validation,size_group,nan,3,3,130.57200614360826,4.164533472579468,2.9257198421320156
controlled_hybrid,lags_plus_side_stocks_flores,validation,size_group,small,70,70,79.6311535973116,10.471288020235212,10.703814064574463
controlled_hybrid,lags_plus_side_stocks_flores,validation,volatility_group,high_vol,70,70,1309.1049059256354,15.03594907167789,4.349185435208047
controlled_hybrid,lags_plus_side_stocks_flores,validation,volatility_group,low_vol,69,69,108.74736824309666,5.7640833387927835,6.1142716981373235
controlled_hybrid,lags_plus_side_stocks_flores,validation,volatility_group,mid_high_vol,68,68,132.85138526817784,4.93278049483242,4.590856951753887
controlled_hybrid,lags_plus_side_stocks_flores,validation,volatility_group,mid_low_vol,70,70,138.89500534667454,5.661657024053863,5.6074033960502865
controlled_hybrid,lags_plus_side_stocks_flores,validation,volatility_group,nan,3,3,130.57200614360826,4.164533472579468,2.9257198421320156
controlled_hybrid,persistence,test,size_group,large,69,69,1177.8985507246377,9.328154787113775,9.705808398290168
controlled_hybrid,persistence,test,size_group,mid_high,68,68,252.85294117647058,9.806314732855775,9.538623277279871
controlled_hybrid,persistence,test,size_group,mid_low,70,70,132.57142857142858,9.07526208731028,9.084489112227805
controlled_hybrid,persistence,test,size_group,nan,3,3,357.0,10.222391906079984,10.744115413819285
controlled_hybrid,persistence,test,size_group,small,70,70,94.65714285714286,11.092695829775835,11.027576068636023
controlled_hybrid,persistence,test,volatility_group,high_vol,70,70,902.7571428571429,9.396057976531043,9.825800419058297
