action,source,destination,notes
moved,TD_FLORES2018_NA17_TREF_NBETAB_CSV.zip,data/raw/employment/flores/TD_FLORES2018_NA17_TREF_NBETAB_CSV.zip,organized root raw download
moved,TD_FLORES2018_NA17_TREF_NBSAL.zip,data/raw/employment/flores/TD_FLORES2018_NA17_TREF_NBSAL.zip,organized root raw download
moved,TD_FLORES2018_NA17_TREF_NBSAL_CSV.zip,data/raw/employment/flores/TD_FLORES2018_NA17_TREF_NBSAL_CSV.zip,organized root raw download
moved,TD_FLORES2018_NA38_TREF_NBETAB.zip,data/raw/employment/flores/TD_FLORES2018_NA38_TREF_NBETAB.zip,organized root raw download
moved,TD_FLORES2018_NA38_TREF_NBETAB_CSV.zip,data/raw/employment/flores/TD_FLORES2018_NA38_TREF_NBETAB_CSV.zip,organized root raw download
moved,TD_FLORES2018_NA38_TREF_NBSAL.zip,data/raw/employment/flores/TD_FLORES2018_NA38_TREF_NBSAL.zip,organized root raw download
moved,TD_FLORES2018_NA38_TREF_NBSAL_CSV.zip,data/raw/employment/flores/TD_FLORES2018_NA38_TREF_NBSAL_CSV.zip,organized root raw download
moved,TD_FLORES2018_NA88_NBETAB.zip,data/raw/employment/flores/TD_FLORES2018_NA88_NBETAB.zip,organized root raw download
moved,TD_FLORES2018_NA88_NBETAB_CSV.zip,data/raw/employment/flores/TD_FLORES2018_NA88_NBETAB_CSV.zip,organized root raw download
moved,TD_FLORES2018_NA88_NBSAL.zip,data/raw/employment/flores/TD_FLORES2018_NA88_NBSAL.zip,organized root raw download
moved,TD_FLORES2018_NA88_NBSAL_CSV.zip,data/raw/employment/flores/TD_FLORES2018_NA88_NBSAL_CSV.zip,organized root raw download
moved,TD_FLORES2019_NA05_TREF_NBETAB.zip,data/raw/employment/flores/TD_FLORES2019_NA05_TREF_NBETAB.zip,organized root raw download
moved,TD_FLORES2019_NA05_TREF_NBETAB_CSV.zip.zip,data/raw/employment/flores/TD_FLORES2019_NA05_TREF_NBETAB_CSV.zip.zip,organized root raw download
moved,TD_FLORES2019_NA05_TREF_NBSAL.zip,data/raw/employment/flores/TD_FLORES2019_NA05_TREF_NBSAL.zip,organized root raw download
moved,TD_FLORES2019_NA05_TREF_NBSAL_CSV.zip,data/raw/employment/flores/TD_FLORES2019_NA05_TREF_NBSAL_CSV.zip,organized root raw download
moved,TD_FLORES2019_NA17_TREF_NBETAB.zip,data/raw/employment/flores/TD_FLORES2019_NA17_TREF_NBETAB.zip,organized root raw download
moved,TD_FLORES2019_NA17_TREF_NBETAB_CSV.zip,data/raw/employment/flores/TD_FLORES2019_NA17_TREF_NBETAB_CSV.zip,organized root raw download
moved,TD_FLORES2019_NA17_TREF_NBSAL.zip,data/raw/employment/flores/TD_FLORES2019_NA17_TREF_NBSAL.zip,organized root raw download
moved,TD_FLORES2019_NA17_TREF_NBSAL_CSV.zip,data/raw/employment/flores/TD_FLORES2019_NA17_TREF_NBSAL_CSV.zip,organized root raw download
moved,TD_FLORES2019_NA38_TREF_NBETAB.zip,data/raw/employment/flores/TD_FLORES2019_NA38_TREF_NBETAB.zip,organized root raw download
moved,TD_FLORES2019_NA38_TREF_NBETAB_CSV.zip,data/raw/employment/flores/TD_FLORES2019_NA38_TREF_NBETAB_CSV.zip,organized root raw download
moved,TD_FLORES2019_NA38_TREF_NBSAL.zip,data/raw/employment/flores/TD_FLORES2019_NA38_TREF_NBSAL.zip,organized root raw download
moved,TD_FLORES2019_NA38_TREF_NBSAL_CSV.zip,data/raw/employment/flores/TD_FLORES2019_NA38_TREF_NBSAL_CSV.zip,organized root raw download
moved,TD_FLORES2019_NA88_NBETAB.zip,data/raw/employment/flores/TD_FLORES2019_NA88_NBETAB.zip,organized root raw download
moved,TD_FLORES2019_NA88_NBETAB_CSV.zip,data/raw/employment/flores/TD_FLORES2019_NA88_NBETAB_CSV.zip,organized root raw download
moved,TD_FLORES2019_NA88_NBSAL.zip,data/raw/employment/flores/TD_FLORES2019_NA88_NBSAL.zip,organized root raw download
moved,TD_FLORES2019_NA88_NBSAL_CSV.zip,data/raw/employment/flores/TD_FLORES2019_NA88_NBSAL_CSV.zip,organized root raw download
moved,TD_FLORES2020_NA05_TREF_NBETAB.zip,data/raw/employment/flores/TD_FLORES2020_NA05_TREF_NBETAB.zip,organized root raw download
moved,TD_FLORES2020_NA05_TREF_NBETAB_CSV.zip,data/raw/employment/flores/TD_FLORES2020_NA05_TREF_NBETAB_CSV.zip,organized root raw download
moved,TD_FLORES2020_NA05_TREF_NBSAL.zip,data/raw/employment/flores/TD_FLORES2020_NA05_TREF_NBSAL.zip,organized root raw download
moved,TD_FLORES2020_NA05_TREF_NBSAL_CSV.zip,data/raw/employment/flores/TD_FLORES2020_NA05_TREF_NBSAL_CSV.zip,organized root raw download
moved,TD_FLORES2020_NA17_TREF_NBETAB.zip,data/raw/employment/flores/TD_FLORES2020_NA17_TREF_NBETAB.zip,organized root raw download
moved,TD_FLORES2020_NA17_TREF_NBETAB_CSV.zip,data/raw/employment/flores/TD_FLORES2020_NA17_TREF_NBETAB_CSV.zip,organized root raw download
moved,TD_FLORES2020_NA17_TREF_NBSAL.zip,data/raw/employment/flores/TD_FLORES2020_NA17_TREF_NBSAL.zip,organized root raw download
moved,TD_FLORES2020_NA17_TREF_NBSAL_CSV.zip,data/raw/employment/flores/TD_FLORES2020_NA17_TREF_NBSAL_CSV.zip,organized root raw download
moved,TD_FLORES2020_NA38_TREF_NBETAB.zip,data/raw/employment/flores/TD_FLORES2020_NA38_TREF_NBETAB.zip,organized root raw download
moved,TD_FLORES2020_NA38_TREF_NBETAB_CSV.zip,data/raw/employment/flores/TD_FLORES2020_NA38_TREF_NBETAB_CSV.zip,organized root raw download
moved,TD_FLORES2020_NA38_TREF_NBSAL.zip,data/raw/employment/flores/TD_FLORES2020_NA38_TREF_NBSAL.zip,organized root raw download
moved,TD_FLORES2020_NA38_TREF_NBSAL_CSV.zip,data/raw/employment/flores/TD_FLORES2020_NA38_TREF_NBSAL_CSV.zip,organized root raw download
