zone_id,target_year,cae_section,births_cae,a10
1111603,2018,E,0.0,BE
1111603,2018,F,18.0,F
1111603,2018,G,32.0,G
1111603,2018,H,2.0,G
1111603,2018,I,15.0,G
1111603,2018,J,1.0,J
1111603,2018,L,1.0,L
1111603,2018,M,10.0,MN
1111603,2018,N,17.0,MN
1111603,2018,P,4.0,OPQ
1111603,2018,Q,9.0,OPQ
1111603,2018,R,5.0,RSU
1111603,2018,S,7.0,RSU
1111603,2019,A,44.0,A
1111603,2019,B,0.0,BE
1111603,2019,C,5.0,BE
1111603,2019,D,0.0,BE
1111603,2019,E,0.0,BE
1111603,2019,F,10.0,F
1111603,2019,G,4.0,G
1111603,2019,H,0.0,G
1111603,2019,I,11.0,G
1111603,2019,J,1.0,J
1111603,2019,L,1.0,L
1111603,2019,M,5.0,MN
1111603,2019,N,14.0,MN
1111603,2019,P,3.0,OPQ
1111603,2019,Q,8.0,OPQ
1111603,2019,R,2.0,RSU
1111603,2019,S,2.0,RSU
1111603,2020,A,32.0,A
1111603,2020,B,0.0,BE
1111603,2020,C,2.0,BE
1111603,2020,D,0.0,BE
1111603,2020,E,0.0,BE
1111603,2020,F,9.0,F
1111603,2020,G,5.0,G
1111603,2020,H,1.0,G
1111603,2020,I,2.0,G
1111603,2020,J,1.0,J
1111603,2020,L,1.0,L
1111603,2020,M,4.0,MN
1111603,2020,N,12.0,MN
1111603,2020,P,3.0,OPQ
1111603,2020,Q,11.0,OPQ
1111603,2020,R,2.0,RSU
1111603,2020,S,3.0,RSU
1111603,2021,A,23.0,A
1111603,2021,B,0.0,BE
1111603,2021,C,2.0,BE
1111603,2021,D,0.0,BE
1111603,2021,E,0.0,BE
1111603,2021,F,10.0,F
1111603,2021,G,13.0,G
1111603,2021,H,0.0,G
1111603,2021,I,13.0,G
1111603,2021,J,1.0,J
1111603,2021,L,1.0,L
1111603,2021,M,6.0,MN
1111603,2021,N,21.0,MN
1111603,2021,P,2.0,OPQ
1111603,2021,Q,5.0,OPQ
1111603,2021,R,3.0,RSU
1111603,2021,S,2.0,RSU
1111603,2022,A,22.0,A
1111603,2022,B,0.0,BE
1111603,2022,C,1.0,BE
1111603,2022,D,0.0,BE
1111603,2022,E,0.0,BE
1111603,2022,F,2.0,F
1111603,2022,G,5.0,G
1111603,2022,H,3.0,G
1111603,2022,I,6.0,G
1111603,2022,J,1.0,J
1111603,2022,L,1.0,L
1111603,2022,M,8.0,MN
1111603,2022,N,23.0,MN
1111603,2022,P,4.0,OPQ
1111603,2022,Q,10.0,OPQ
1111603,2022,R,2.0,RSU
1111603,2022,S,4.0,RSU
1111603,2023,A,25.0,A
1111603,2023,B,0.0,BE
1111603,2023,C,3.0,BE
1111603,2023,D,0.0,BE
1111603,2023,E,0.0,BE
1111603,2023,F,6.0,F
1111603,2023,G,7.0,G
1111603,2023,H,1.0,G
1111603,2023,I,13.0,G
1111603,2023,J,0.0,J
1111603,2023,L,3.0,L
1111603,2023,M,8.0,MN
1111603,2023,N,22.0,MN
1111603,2023,P,8.0,OPQ
1111603,2023,Q,6.0,OPQ
1111603,2023,R,6.0,RSU
1111603,2023,S,5.0,RSU
1111603,2024,A,30.0,A
1111603,2024,B,0.0,BE
1111603,2024,C,2.0,BE
1111603,2024,D,1.0,BE
1111603,2024,E,0.0,BE
1111603,2024,F,20.0,F
1111603,2024,G,6.0,G
1111603,2024,H,0.0,G
1111603,2024,I,22.0,G
1111603,2024,J,0.0,J
1111603,2024,L,3.0,L
1111603,2024,M,6.0,MN
1111603,2024,N,21.0,MN
1111603,2024,P,4.0,OPQ
1111603,2024,Q,9.0,OPQ
1111603,2024,R,2.0,RSU
1111603,2024,S,1.0,RSU
1111604,2008,A,4.0,A
