zone_id,target_year,a10,births
PT_16B,2011,GI,1462.0
PT_16B,2011,JZ,69.0
PT_16B,2011,KZ,0.0
PT_16B,2011,LZ,90.0
PT_16B,2011,MN,1405.0
PT_16B,2011,OPQ,488.0
PT_16B,2011,RSU,329.0
PT_16B,2012,A,380.0
PT_16B,2012,BE,193.0
PT_16B,2012,FZ,292.0
PT_16B,2012,GI,1324.0
PT_16B,2012,JZ,65.0
PT_16B,2012,KZ,0.0
PT_16B,2012,LZ,71.0
PT_16B,2012,MN,1370.0
PT_16B,2012,OPQ,468.0
PT_16B,2012,RSU,327.0
PT_16B,2013,A,2300.0
PT_16B,2013,BE,265.0
PT_16B,2013,FZ,441.0
PT_16B,2013,GI,1663.0
PT_16B,2013,JZ,76.0
PT_16B,2013,KZ,0.0
PT_16B,2013,LZ,73.0
PT_16B,2013,MN,1450.0
PT_16B,2013,OPQ,503.0
PT_16B,2013,RSU,390.0
PT_16B,2014,A,876.0
PT_16B,2014,BE,242.0
PT_16B,2014,FZ,343.0
PT_16B,2014,GI,1570.0
PT_16B,2014,JZ,70.0
PT_16B,2014,KZ,0.0
PT_16B,2014,LZ,106.0
PT_16B,2014,MN,1524.0
PT_16B,2014,OPQ,559.0
PT_16B,2014,RSU,381.0
PT_16B,2015,A,664.0
PT_16B,2015,BE,236.0
PT_16B,2015,FZ,428.0
PT_16B,2015,GI,1745.0
PT_16B,2015,JZ,89.0
PT_16B,2015,KZ,0.0
PT_16B,2015,LZ,147.0
PT_16B,2015,MN,1827.0
PT_16B,2015,OPQ,659.0
PT_16B,2015,RSU,426.0
PT_16B,2016,A,551.0
PT_16B,2016,BE,315.0
PT_16B,2016,FZ,436.0
PT_16B,2016,GI,1643.0
PT_16B,2016,JZ,89.0
PT_16B,2016,KZ,0.0
PT_16B,2016,LZ,180.0
PT_16B,2016,MN,1840.0
PT_16B,2016,OPQ,592.0
PT_16B,2016,RSU,418.0
PT_16B,2017,A,586.0
PT_16B,2017,BE,248.0
PT_16B,2017,FZ,434.0
PT_16B,2017,GI,1701.0
PT_16B,2017,JZ,76.0
PT_16B,2017,KZ,0.0
PT_16B,2017,LZ,191.0
PT_16B,2017,MN,2098.0
PT_16B,2017,OPQ,630.0
PT_16B,2017,RSU,469.0
PT_16B,2018,A,562.0
PT_16B,2018,BE,255.0
PT_16B,2018,FZ,530.0
PT_16B,2018,GI,1726.0
PT_16B,2018,JZ,87.0
PT_16B,2018,KZ,0.0
PT_16B,2018,LZ,204.0
PT_16B,2018,MN,2008.0
PT_16B,2018,OPQ,623.0
PT_16B,2018,RSU,507.0
PT_16B,2019,A,439.0
PT_16B,2019,BE,218.0
PT_16B,2019,FZ,533.0
PT_16B,2019,GI,1585.0
PT_16B,2019,JZ,89.0
PT_16B,2019,KZ,0.0
PT_16B,2019,LZ,225.0
PT_16B,2019,MN,2109.0
PT_16B,2019,OPQ,611.0
PT_16B,2019,RSU,468.0
PT_16B,2020,A,332.0
PT_16B,2020,BE,186.0
PT_16B,2020,FZ,460.0
PT_16B,2020,GI,1176.0
PT_16B,2020,JZ,75.0
PT_16B,2020,KZ,0.0
PT_16B,2020,LZ,205.0
PT_16B,2020,MN,1654.0
PT_16B,2020,OPQ,605.0
PT_16B,2020,RSU,372.0
PT_16B,2021,A,350.0
PT_16B,2021,BE,224.0
PT_16B,2021,FZ,568.0
PT_16B,2021,GI,1255.0
PT_16B,2021,JZ,138.0
PT_16B,2021,KZ,0.0
PT_16B,2021,LZ,231.0
PT_16B,2021,MN,2098.0
PT_16B,2021,OPQ,666.0
PT_16B,2021,RSU,399.0
PT_16B,2022,A,333.0
PT_16B,2022,BE,237.0
PT_16B,2022,FZ,578.0
PT_16B,2022,GI,1730.0
PT_16B,2022,JZ,176.0
PT_16B,2022,KZ,0.0
PT_16B,2022,LZ,293.0
PT_16B,2022,MN,2657.0
PT_16B,2022,OPQ,820.0
PT_16B,2022,RSU,569.0
PT_16B,2023,A,297.0
PT_16B,2023,BE,220.0
PT_16B,2023,FZ,670.0
PT_16B,2023,GI,2045.0
PT_16B,2023,JZ,246.0
PT_16B,2023,KZ,0.0
PT_16B,2023,LZ,259.0
PT_16B,2023,MN,2845.0
PT_16B,2023,OPQ,740.0
PT_16B,2023,RSU,635.0
PT_16B,2024,A,349.0
PT_16B,2024,BE,247.0
PT_16B,2024,FZ,704.0
PT_16B,2024,GI,1807.0
PT_16B,2024,JZ,251.0
