country,nuts3_id,year,nace_r2,enterprise_births,active_enterprises,enterprise_deaths,employment
FR,FR105,2022,J,2784.0,14667.0,1750.0,278291.0
FR,FR105,2022,K_L,2401.0,15826.0,1172.0,125061.0
FR,FR105,2022,M_N,8438.0,43752.0,6116.0,504679.0
FR,FR105,2022,P_Q,2739.0,20085.0,2088.0,98367.0
FR,FR105,2022,R_S_X_S94,2236.0,12719.0,1779.0,28834.0
FR,FR105,2023,B-E,592.0,4215.0,478.0,455835.0
FR,FR105,2023,B-S_X_O_S94,24624.0,151570.0,19180.0,2134156.0
FR,FR105,2023,F,1213.0,8591.0,1002.0,184933.0
FR,FR105,2023,G,1775.0,14153.0,1473.0,250871.0
FR,FR105,2023,H,1958.0,9284.0,1737.0,98179.0
FR,FR105,2023,I,526.0,5470.0,410.0,113393.0
FR,FR105,2023,J,2867.0,15460.0,1978.0,261132.0
FR,FR105,2023,K_L,2001.0,15687.0,1653.0,136289.0
FR,FR105,2023,M_N,8444.0,45191.0,6333.0,482907.0
FR,FR105,2023,P_Q,3042.0,20635.0,2583.0,101619.0
FR,FR105,2023,R_S_X_S94,2206.0,12884.0,1533.0,48998.0
FR,FR106,2020,B-E,,,422.0,
FR,FR106,2020,B-S_X_O_S94,,,13567.0,
FR,FR106,2020,F,,,1837.0,
FR,FR106,2020,G,,,1969.0,
FR,FR106,2020,H,,,3246.0,
FR,FR106,2020,I,,,542.0,
FR,FR106,2020,J,,,772.0,
FR,FR106,2020,K_L,,,362.0,
FR,FR106,2020,M_N,,,2535.0,
FR,FR106,2020,P_Q,,,936.0,
FR,FR106,2020,R_S_X_S94,,,946.0,
FR,FR106,2021,B-E,581.0,3511.0,457.0,72326.0
FR,FR106,2021,B-S_X_O_S94,23447.0,107992.0,19020.0,664062.0
FR,FR106,2021,F,3108.0,16091.0,2710.0,51100.0
FR,FR106,2021,G,2778.0,16398.0,2540.0,77674.0
FR,FR106,2021,H,5444.0,18232.0,4841.0,202617.0
FR,FR106,2021,I,708.0,4896.0,627.0,25405.0
FR,FR106,2021,J,1459.0,6306.0,1125.0,24571.0
FR,FR106,2021,K_L,812.0,4221.0,466.0,13614.0
FR,FR106,2021,M_N,5044.0,18825.0,3698.0,153334.0
FR,FR106,2021,P_Q,1872.0,10842.0,1252.0,33869.0
