decision_year,family,src_ZE2020,src_sector,dst_ZE2020,dst_sector,weight
2019,analogy,7602,BE,1105,BE,0.021493359753877065
2019,analogy,7602,BE,4405,BE,0.02142827296084991
2019,analogy,7602,BE,9318,BE,0.021275735550738965
2019,analogy,7609,BE,9310,BE,0.0225990351061061
2019,analogy,7609,BE,9316,BE,0.02249175611231778
2019,analogy,7609,BE,3212,BE,0.022455055985445026
2019,analogy,7609,BE,4402,BE,0.022369674226043478
2019,analogy,7609,BE,4413,BE,0.022303716498209846
2019,analogy,7609,BE,7623,BE,0.022273047884126526
2019,analogy,7609,BE,7502,BE,0.02214133558973279
2019,analogy,7609,BE,5206,BE,0.022009202923279302
2019,analogy,7609,BE,2403,BE,0.021944679221435816
2019,analogy,7609,BE,2715,BE,0.021837219864600035
2019,analogy,7616,BE,8401,BE,0.02192181247664602
2019,analogy,7616,BE,8402,BE,0.02180927965839368
2019,analogy,7616,BE,8407,BE,0.021759172807707863
2019,analogy,7616,BE,52,BE,0.0216219685070219
2019,analogy,7616,BE,56,BE,0.02160423574873513
2019,analogy,7616,BE,2815,BE,0.02159600845974677
2019,analogy,7616,BE,2408,BE,0.0215686365388429
2019,analogy,7616,BE,3216,BE,0.021512186209798015
2019,analogy,7616,BE,4423,BE,0.021472146404936426
2019,analogy,7616,BE,8409,BE,0.021378846965052944
2019,analogy,7623,BE,4413,BE,0.022747491433623503
2019,analogy,7623,BE,3212,BE,0.022715922311545282
2019,analogy,7623,BE,4402,BE,0.022708078668208627
2019,analogy,7623,BE,2403,BE,0.022685231654479148
2019,analogy,7623,BE,9310,BE,0.022396033095469916
2019,analogy,7623,BE,7609,BE,0.022384109350605225
2019,analogy,7623,BE,7502,BE,0.02216689174463282
2019,analogy,7623,BE,5302,BE,0.022154577986389055
2019,analogy,7623,BE,7614,BE,0.02210472112351217
2019,analogy,7623,BE,7521,BE,0.021849567029290997
2019,analogy,8405,BE,8427,BE,0.023076481079383135
2019,analogy,8405,BE,5210,BE,0.022994872112063202
2019,analogy,8405,BE,7607,BE,0.022993754367780984
2019,analogy,8405,BE,7528,BE,0.022982082550981175
2019,analogy,8405,BE,5217,BE,0.022841691017900404
2019,analogy,8405,BE,7613,BE,0.022672396063086193
2019,analogy,8405,BE,4403,BE,0.022626696358011233
2019,analogy,8405,BE,4418,BE,0.022509817807806733
2019,analogy,8405,BE,2702,BE,0.02230808794534131
2019,analogy,8405,BE,3217,BE,0.02225098224035358
2019,analogy,8412,BE,8429,BE,0.03566152683165135
2019,analogy,8412,BE,3220,BE,0.033793226831843826
2019,analogy,8412,BE,5207,BE,0.03298163822701387
2019,analogy,8412,BE,3203,BE,0.031057489957258468
2019,analogy,8412,BE,5307,BE,0.029844240596405603
2019,analogy,8412,BE,2401,BE,0.02974619012371328
2019,analogy,8412,BE,7525,BE,0.02905801868506262
2019,analogy,8412,BE,7531,BE,0.02873470920080503
2019,analogy,8412,BE,2415,BE,0.02834828825704494
2019,analogy,8412,BE,8403,BE,0.0272432512563582
2019,analogy,8419,BE,2704,BE,0.02233932403149421
2019,analogy,8419,BE,2413,BE,0.022208857062619394
2019,analogy,8419,BE,59,BE,0.021977339171115273
2019,analogy,8419,BE,1105,BE,0.02197221775160229
2019,analogy,8419,BE,3208,BE,0.02179084935552948
2019,analogy,8419,BE,4405,BE,0.021723296811606813
2019,analogy,8419,BE,7532,BE,0.021675212933913782
2019,analogy,8419,BE,7505,BE,0.021662133805682368
2019,analogy,8419,BE,1113,BE,0.021610980110096607
2019,analogy,8419,BE,7603,BE,0.021485452292145876
2019,analogy,8426,BE,8416,BE,0.024084452405029898
2019,analogy,8426,BE,7529,BE,0.024010775281444182
2019,analogy,8426,BE,8420,BE,0.0238480807742672
2019,analogy,8426,BE,2806,BE,0.023804865902502824
2019,analogy,8426,BE,7613,BE,0.02349075070479255
2019,analogy,8426,BE,61,BE,0.023156200408170777
2019,analogy,8426,BE,7607,BE,0.02248786179805496
