ZE2020,target_year,node_idx,side_establishment_creations_official,side_enterprise_creations_official,side_lag_1,side_lag_2,side_lag_3,growth_1y,growth_2y,has_flores_source,has_side_stock_source,has_urssaf_source,feature_forecast_safe,is_covid_year,is_post_covid_rebound,side_stock_total_t_minus_1,mask_target,mask_sector_a10,mask_employment,mask_tensor,mask_eu_signals,flag_target_concept,flag_has_national_employment,flag_has_eurostat_bd,eu_employment_rate_lag1,eu_unemployment_rate_lag1,eu_sts_turnover_lag1,eu_esi_lag1,eu_eei_lag1,eu_credit_standards_lag1,eu_gdp_growth_lag1
16,2017,15,2100.0,2100.0,2110.0,2120.0,,-0.0047169811320754,,0,0,0,1,0,0,27280.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
17,2017,16,14780.0,14780.0,14525.0,14625.0,,-0.0068376068376068,,0,0,0,1,0,0,142805.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
18,2017,17,3225.0,3225.0,2985.0,3030.0,,-0.0148514851485148,,0,0,0,1,0,0,36685.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
19,2017,18,2350.0,2350.0,2305.0,2275.0,,0.0131868131868131,,0,0,0,1,0,0,24195.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
20,2017,19,1725.0,1725.0,1705.0,1630.0,,0.0460122699386503,,0,0,0,1,0,0,17480.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
21,2017,20,2960.0,2960.0,3010.0,2945.0,,0.0220713073005093,,0,0,0,1,0,0,27690.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
22,2017,21,1635.0,1635.0,1705.0,1455.0,,0.1718213058419244,,0,0,0,1,0,0,14895.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
23,2017,22,23720.0,23720.0,23355.0,21365.0,,0.093142990872923,,0,0,0,1,0,0,181705.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
24,2017,23,3300.0,3300.0,3165.0,3120.0,,0.0144230769230769,,0,0,0,1,0,0,33780.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
25,2017,24,4010.0,4010.0,3955.0,3850.0,,0.0272727272727272,,0,0,0,1,0,0,39445.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
26,2017,25,11315.0,11315.0,10720.0,9880.0,,0.0850202429149797,,0,0,0,1,0,0,83475.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
27,2017,26,2280.0,2280.0,2280.0,2140.0,,0.0654205607476635,,0,0,0,1,0,0,23515.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
28,2017,27,2935.0,2935.0,2950.0,2885.0,,0.022530329289428,,0,0,0,1,0,0,32095.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
29,2017,28,14900.0,14900.0,14510.0,13805.0,,0.0510684534588917,,0,0,0,1,0,0,129490.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
30,2017,29,3290.0,3290.0,3340.0,3400.0,,-0.0176470588235294,,0,0,0,1,0,0,35935.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
31,2017,30,675.0,675.0,725.0,800.0,,-0.09375,,0,0,0,1,0,0,9445.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
32,2017,31,2180.0,2180.0,2140.0,2135.0,,0.0023419203747072,,0,0,0,1,0,0,26700.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
33,2017,32,5695.0,5695.0,5650.0,5635.0,,0.0026619343389529,,0,0,0,1,0,0,61945.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
34,2017,33,4260.0,4260.0,4305.0,4140.0,,0.0398550724637681,,0,0,0,1,0,0,45830.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
