ze2020,libze2020,reg,population_2022_total,side_stocks_et_2023_total,side_stocks_ul_2023_total,bpe_facilities_2024_total,side_stocks_et_per_1000_pop_2023,bpe_facilities_per_1000_pop_2024
8404,Belley,84,53174.0,4429.0,4098.0,2537.0,83.292587,47.711287
8405,Bourg-en-Bresse,84,265383.0,21559.0,19356.0,10893.0,81.237306,41.046337
8406,Bourgoin-Jallieu,84,245760.0,21375.0,19177.0,10295.0,86.975098,41.890462
8407,Chambéry,84,255533.0,28198.0,25146.0,11630.0,110.34974,45.512713
8408,Clermont-Ferrand,84,494921.0,41296.0,36612.0,19452.0,83.439579,39.303242
8409,Grenoble,84,615127.0,61282.0,54897.0,26691.0,99.624955,43.39104
8410,Issoire,84,85168.0,7254.0,6541.0,4194.0,85.172835,49.243847
8411,La Maurienne,84,38467.0,6005.0,5463.0,2871.0,156.107833,74.635402
8412,La Plaine du Forez,84,90407.0,7735.0,7060.0,4032.0,85.557534,44.598317
8413,La Tarentaise,84,113831.0,22505.0,20009.0,8650.0,197.70537,75.989845
8414,La Vallée de l'Arve,84,91822.0,9448.0,8475.0,4124.0,102.894731,44.912984
8415,Le Chablais,84,117774.0,14069.0,12737.0,5899.0,119.457605,50.087456
8416,Le Genevois Français,84,406202.0,27062.0,24293.0,13028.0,66.622025,32.072713
8417,Le Livradois,84,84289.0,6926.0,6326.0,3922.0,82.169678,46.530389
8418,Le Mont Blanc,84,61326.0,13472.0,12191.0,4858.0,219.67844,79.215993
8419,Le Puy-en-Velay,84,118012.0,10124.0,9259.0,5857.0,85.787886,49.630546
8420,Les Sources de la Loire,84,84792.0,7577.0,6955.0,4065.0,89.359845,47.940843
8421,Lyon,84,1901587.0,218875.0,194016.0,78856.0,115.101229,41.468521
8422,Montélimar,84,104590.0,10763.0,9702.0,5154.0,102.906588,49.278134
8423,Montluçon,84,114938.0,7442.0,6620.0,4558.0,64.747951,39.656162
8424,Moulins,84,96993.0,6383.0,5696.0,3946.0,65.808873,40.683348
8425,Oyonnax,84,57026.0,4713.0,4243.0,2241.0,82.646512,39.297864
8426,Roanne,84,134975.0,11060.0,10030.0,5357.0,81.9411,39.688831
8427,Romans-sur-Isère,84,98474.0,9573.0,8696.0,4421.0,97.213478,44.895099
8428,Saint-Étienne,84,550278.0,45438.0,41189.0,21096.0,82.572809,38.336986
8429,Saint-Flour,84,33947.0,2824.0,2531.0,1897.0,83.1885,55.881227
8430,Tarare,84,58007.0,4528.0,4165.0,2342.0,78.059545,40.374438
8431,Valence,84,296815.0,30074.0,26945.0,13576.0,101.322373,45.738928
8432,Vichy,84,143993.0,11348.0,10134.0,6347.0,78.809387,44.078532
8433,Vienne-Annonay,84,253422.0,21393.0,19460.0,10988.0,84.416507,43.358509
8434,Villefranche-sur-Saône,84,185331.0,18537.0,16776.0,7936.0,100.021043,42.820683
8435,Voiron,84,202251.0,18893.0,17381.0,9093.0,93.41363,44.958987
9301,Aix-en-Provence,93,414016.0,57226.0,51305.0,21045.0,138.221711,50.831369
9302,Briançon,93,33484.0,6902.0,6250.0,3490.0,206.1283,104.228885
9303,Brignoles,93,139160.0,14854.0,13666.0,7057.0,106.740443,50.711411
9304,Cannes,93,437995.0,69531.0,63431.0,28720.0,158.748388,65.571525
9305,Carpentras,93,98399.0,10595.0,9873.0,4713.0,107.673858,47.896828
9306,Cavaillon,93,125253.0,16062.0,14885.0,6887.0,128.236449,54.984711
9307,Digne-les-Bains,93,83162.0,8722.0,7937.0,5250.0,104.879633,63.129795
9308,Draguignan,93,123890.0,13788.0,12656.0,6780.0,111.292275,54.725967
9309,Fréjus,93,121659.0,17650.0,15820.0,7813.0,145.077635,64.220485
