year,ze2020,libze2020,side_enterprise_creations_official,side_establishment_creations_official,communes_count
2013,1104,Évry-Courcouronnes,4525.0,5016.0,68
2013,1105,Fontainebleau-Nemours,1713.0,1846.0,106
2013,1106,Marne-la-Vallée,3937.0,4382.0,69
2013,1107,Meaux,1518.0,1665.0,102
2013,1108,Melun,1506.0,1666.0,71
2013,1109,Paris,90120.0,100390.0,122
2013,1110,Provins,416.0,459.0,81
2013,1111,Rambouillet,665.0,718.0,36
2013,1112,Roissy,7540.0,8216.0,87
2013,1113,Saclay,4006.0,4426.0,62
2013,1114,Seine-Yvelinoise,6571.0,7112.0,121
2013,1115,Versailles-Saint-Quentin,4908.0,5476.0,103
2013,2401,Blois,1139.0,1256.0,104
2013,2402,Bourges,1132.0,1283.0,170
2013,2403,Chartres,1338.0,1422.0,150
2013,2404,Châteaudun,331.0,360.0,63
2013,2405,Châteauroux,1018.0,1176.0,213
2013,2406,Chinon,295.0,299.0,42
2013,2407,Gien,465.0,514.0,67
2013,2408,Loches,334.0,362.0,78
2013,2409,Montargis,967.0,1072.0,96
2013,2410,Orléans,2977.0,3375.0,133
2013,2411,Pithiviers,393.0,446.0,78
2013,2412,Romorantin-Lanthenay,571.0,625.0,70
2013,2413,Tours,3677.0,4002.0,166
2013,2414,Vendôme,363.0,421.0,89
2013,2415,Vierzon,313.0,349.0,28
2013,2701,Autun,253.0,272.0,66
2013,2702,Auxerre,1224.0,1339.0,211
2013,2703,Avallon,375.0,398.0,172
2013,2704,Beaune,604.0,651.0,143
2013,2705,Belfort,1310.0,1437.0,164
2013,2706,Besançon,2249.0,2539.0,408
2013,2707,Chalon-sur-Saône,1054.0,1180.0,133
2013,2708,Charolais,478.0,574.0,132
2013,2709,Châtillon-Montbard,373.0,401.0,233
2013,2710,Creusot-Montceau,495.0,572.0,57
2013,2711,Dijon,2932.0,3312.0,322
2013,2712,Dole,590.0,654.0,123
2013,2713,Lons-le-Saunier,1098.0,1179.0,333
2013,2714,Montbéliard,1152.0,1233.0,146
2013,2715,Pontarlier,746.0,844.0,174
2013,2716,Saint-Claude,360.0,380.0,71
2013,2717,Sens,785.0,845.0,102
2013,2718,Vesoul,730.0,775.0,336
2013,2801,Argentan,205.0,223.0,73
2013,2802,Avranches,451.0,508.0,101
2013,2803,Bernay,438.0,487.0,106
2013,2804,Caen,3842.0,4272.0,378
2013,2805,Cherbourg-en-Cotentin,796.0,934.0,135
2013,2806,Coutances,347.0,367.0,67
2013,2807,Dieppe-Caux maritime,776.0,825.0,196
2013,2808,Évreux,1199.0,1337.0,167
2013,2809,Flers,423.0,476.0,91
2013,2810,Granville,351.0,376.0,45
2013,2811,Honfleur Pont-Audemer,871.0,955.0,119
2013,2812,L'Aigle,288.0,322.0,79
2013,2813,Le Havre,1601.0,1820.0,115
2013,2814,Lisieux,501.0,539.0,93
2013,2815,Rouen,4283.0,4874.0,299
2013,2816,Saint-Lô,517.0,589.0,104
2013,2817,Vernon-Gisors,848.0,922.0,110
2013,2818,Vire Normandie,200.0,223.0,21
2013,2819,Yvetot-Vallée du Commerce,545.0,589.0,99
2013,3201,Abbeville,483.0,526.0,165
2013,3202,Amiens,1985.0,2280.0,455
2013,3203,Arras,1152.0,1279.0,232
2013,3204,Berck,743.0,838.0,201
2013,3205,Béthune,1395.0,1500.0,109
2013,3206,Boulogne-sur-Mer,838.0,951.0,92
2013,3207,Calais,800.0,867.0,51
2013,3208,Cambrai,931.0,1024.0,111
2013,3209,Château-Thierry,439.0,473.0,119
2013,3210,Compiègne,1222.0,1398.0,181
2013,3211,Creil,2082.0,2291.0,134
2013,3212,Douai,1234.0,1381.0,71
2013,3213,Dunkerque,1231.0,1365.0,75
2013,3214,Laon,607.0,669.0,225
2013,3215,Lens,2019.0,2152.0,58
2013,3216,Lille,7386.0,8427.0,133
2013,3217,Maubeuge,1077.0,1172.0,199
2013,3218,Roubaix-Tourcoing,2994.0,3384.0,22
2013,3219,Saint-Omer,792.0,879.0,126
2013,3220,Saint-Quentin,1316.0,1497.0,326
2013,3221,Soissons,1004.0,1070.0,232
2013,3222,Valenciennes,1995.0,2197.0,125
2013,4401,Bar-le-Duc,344.0,386.0,154
2013,4402,Châlons-en-Champagne,624.0,730.0,151
2013,4403,Charleville-Mézières,1053.0,1185.0,180
2013,4404,Chaumont,728.0,812.0,369
2013,4405,Colmar,1451.0,1591.0,100
2013,4406,Épernay,580.0,657.0,113
2013,4407,Épinal,1246.0,1356.0,328
2013,4408,Forbach,678.0,736.0,30
2013,4409,Haguenau,1695.0,1808.0,164
2013,4410,Metz,3218.0,3521.0,246
2013,4411,Mulhouse,3252.0,3505.0,170
2013,4412,Nancy,3718.0,4254.0,445
2013,4413,Reims,2257.0,2645.0,225
2013,4414,Remiremont,719.0,801.0,49
2013,4415,Romilly-sur-Seine,490.0,556.0,170
2013,4416,Saint-Avold,820.0,910.0,131
2013,4417,Saint-Dié-des-Vosges,598.0,616.0,110
2013,4418,Saint-Louis,618.0,652.0,91
2013,4419,Sarrebourg,715.0,755.0,215
2013,4420,Sarreguemines,758.0,816.0,141
2013,4421,Sedan,662.0,701.0,245
2013,4422,Sélestat,772.0,825.0,72
2013,4423,Strasbourg,6366.0,7082.0,213
2013,4424,Thionville,1773.0,1909.0,190
2013,4425,Troyes,1659.0,1914.0,358
2013,4426,Verdun,440.0,478.0,231
2013,4427,Vitry-le-François Saint-Dizier,614.0,694.0,224
2013,5201,Ancenis,657.0,722.0,23
2013,5202,Angers,2716.0,2970.0,67
2013,5203,Challans,1121.0,1271.0,42
2013,5204,Château-Gontier-sur-Mayenne,208.0,251.0,32
2013,5205,Châteaubriant,335.0,372.0,32
2013,5206,Cholet,1029.0,1141.0,35
2013,5207,Fontenay-le-Comte,725.0,880.0,98
2013,5208,La Ferté-Bernard,345.0,373.0,80
2013,5209,La Flèche,306.0,355.0,28
2013,5210,La Roche-sur-Yon,1056.0,1204.0,45
2013,5211,Laval,889.0,1026.0,85
2013,5212,Le Mans,2053.0,2318.0,148
2013,5213,Les Herbiers-Montaigu,681.0,782.0,49
2013,5214,Les Sables-d'Olonne,693.0,755.0,18
2013,5215,Mayenne,350.0,423.0,92
2013,5216,Nantes,7489.0,8342.0,95
2013,5217,Pornic,632.0,610.0,16
2013,5218,Sablé-sur-Sarthe,243.0,283.0,52
2013,5219,Saint-Nazaire,1642.0,1820.0,37
2013,5220,Saumur,575.0,638.0,45
2013,5221,Segré-en-Anjou Bleu,314.0,342.0,30
2013,5301,Auray,828.0,890.0,28
2013,5302,Brest,2265.0,2548.0,92
2013,5303,Carhaix-Plouguer,444.0,459.0,81
2013,5304,Dinan,676.0,715.0,66
2013,5305,Fougères,390.0,427.0,45
2013,5306,Guingamp,297.0,304.0,49
2013,5307,Lamballe-Armor,391.0,411.0,40
2013,5308,Lannion,732.0,772.0,65
