ze2020,libze2020,communes_count,zan_naf09art24_total,zan_art09act24_total,zan_art09hab24_total,zan_art09mix24_total,zan_art09inc24_total,zan_art09rou24_total,zan_art09fer24_total,zan_artcom0924_total,zan_pop15_total,zan_pop21_total,zan_men15_total,zan_men21_total,zan_emp15_total,zan_emp21_total,zan_surfcom2024_total,zan_artif_per_pop21,zan_artif_per_surface
2807,Dieppe-Caux maritime,196,15249882.0,1841635.0,11490351.0,186995.0,830077.0,900663.0,161.0,206.5,147480.0,145183.0,63916.0,65730.0,54270.0,53433.0,1624489382.0,105.039033,0.009387
2808,Évreux,167,10821201.0,1552103.0,8177715.0,163424.0,227903.0,700056.0,0.0,110.29,185919.0,183518.0,78023.0,80395.0,69840.0,67953.0,1875201317.0,58.965339,0.005771
2809,Flers,91,12024183.0,1598443.0,9560931.0,170880.0,200818.0,492272.0,839.0,75.9,97171.0,93946.0,43864.0,43814.0,36906.0,35770.0,1604936033.0,127.990367,0.007492
2810,Granville,45,4755994.0,711120.0,3512254.0,56879.0,132730.0,339476.0,3535.0,56.71,53323.0,53646.0,25299.0,26484.0,17700.0,17999.0,464268952.0,88.655147,0.010244
2811,Honfleur Pont-Audemer,119,21195375.0,3578721.0,16526749.0,258381.0,301054.0,530393.0,77.0,264.46,105041.0,104418.0,46367.0,48485.0,36885.0,37624.0,1084942438.0,202.985836,0.019536
2812,L'Aigle,79,3611132.0,465375.0,2674324.0,87861.0,92029.0,291543.0,0.0,24.91,45877.0,43964.0,20597.0,20636.0,15544.0,14993.0,1236501135.0,82.138386,0.00292
2813,Le Havre,115,12194426.0,2874198.0,7727243.0,87579.0,244541.0,828152.0,432713.0,147.44,327330.0,320973.0,144561.0,148926.0,130244.0,129625.0,895550943.0,37.992062,0.013617
2814,Lisieux,93,10523113.0,1397980.0,8454420.0,116448.0,287079.0,267186.0,0.0,104.34,76197.0,74033.0,33781.0,34354.0,29372.0,29871.0,1060347032.0,142.140843,0.009924
2815,Rouen,298,36113075.0,6834513.0,24510886.0,439461.0,1373146.0,2947823.0,7246.0,428.21,723543.0,733552.0,321360.0,338468.0,293178.0,300830.0,2653101482.0,49.230423,0.013612
2816,Saint-Lô,104,13080910.0,1913972.0,9641060.0,188134.0,447531.0,890213.0,0.0,92.52,107592.0,107411.0,48150.0,49756.0,44087.0,45595.0,1491907885.0,121.783709,0.008768
2817,Vernon-Gisors,110,8798305.0,3091153.0,4730294.0,64577.0,410804.0,492552.0,8925.0,80.71,131160.0,131343.0,53724.0,56048.0,41378.0,41641.0,1183197570.0,66.98724,0.007436
2818,Vire Normandie,21,11544877.0,1278005.0,9786096.0,159172.0,74430.0,238918.0,8256.0,24.04,44942.0,43686.0,19974.0,20766.0,16678.0,16888.0,834497806.0,264.269491,0.013835
2819,Yvetot-Vallée du Commerce,99,11689069.0,2930780.0,7612149.0,105078.0,338562.0,682389.0,20111.0,133.01,117185.0,117612.0,48212.0,50171.0,38891.0,39118.0,928452473.0,99.386704,0.01259
3201,Abbeville,165,5533314.0,1199625.0,3459177.0,110170.0,209337.0,555005.0,0.0,64.77,94719.0,92623.0,40712.0,41678.0,30240.0,30807.0,1495205986.0,59.740173,0.003701
3202,Amiens,455,17216273.0,5767959.0,8946056.0,132935.0,1469723.0,899155.0,445.0,205.97,383748.0,384189.0,166383.0,173490.0,147653.0,150956.0,3600568565.0,44.811988,0.004782
3203,Arras,232,9992485.0,4062786.0,4972028.0,128076.0,359473.0,469529.0,593.0,151.57,179744.0,181722.0,76325.0,79885.0,73710.0,77490.0,1432435732.0,54.987756,0.006976
