year,ze2020,libze2020,side_enterprise_creations_official,side_establishment_creations_official,communes_count,target_proxy_establishment_creations_year,proxy_minus_side_enterprise,proxy_minus_side_establishment,proxy_to_side_enterprise_ratio,proxy_to_side_establishment_ratio
2012,5312,Pontivy-Loudéac,598.0,659.0,64,1377.0,779.0,718.0,2.302675585284281,2.0895295902883158
2012,5313,Quimper,1866.0,2057.0,83,4218.0,2352.0,2161.0,2.260450160771704,2.0505590666018474
2012,5314,Quimperlé,352.0,391.0,18,707.0,355.0,316.0,2.008522727272727,1.8081841432225063
2012,5315,Rennes,4777.0,5660.0,160,10896.0,6119.0,5236.0,2.2809294536319866,1.9250883392226148
2012,5316,Saint-Brieuc,1210.0,1337.0,58,2580.0,1370.0,1243.0,2.1322314049586777,1.9296933433059087
2012,5317,Saint-Malo,1059.0,1162.0,54,2465.0,1406.0,1303.0,2.3276676109537298,2.121342512908778
2012,5318,Vannes,1765.0,1933.0,60,3758.0,1993.0,1825.0,2.1291784702549577,1.9441282979824108
2012,5319,Vitré,488.0,545.0,56,1040.0,552.0,495.0,2.1311475409836067,1.908256880733945
2012,7501,Agen,1009.0,1214.0,99,2159.0,1150.0,945.0,2.1397423191278495,1.7784184514003294
2012,7502,Angoulême,1670.0,1904.0,229,3242.0,1572.0,1338.0,1.941317365269461,1.7027310924369747
2012,7503,Bayonne,3773.0,4226.0,111,7905.0,4132.0,3679.0,2.095149748210973,1.8705631803123521
2012,7504,Bergerac,977.0,1110.0,153,1978.0,1001.0,868.0,2.024564994882293,1.781981981981982
2012,7505,Bordeaux,11591.0,13006.0,164,22381.0,10790.0,9375.0,1.9308946596497283,1.7208211594648624
2012,7506,Bressuire,592.0,688.0,80,1353.0,761.0,665.0,2.285472972972973,1.9665697674418605
2012,7507,Brive-la-Gaillarde,955.0,1122.0,98,2052.0,1097.0,930.0,2.14869109947644,1.8288770053475936
2012,7508,Châtellerault,543.0,617.0,50,1063.0,520.0,446.0,1.9576427255985267,1.7228525121555915
2012,7509,Cognac,904.0,1081.0,191,1937.0,1033.0,856.0,2.142699115044248,1.791859389454209
2012,7510,Dax,1430.0,1663.0,119,3134.0,1704.0,1471.0,2.1916083916083915,1.8845460012026458
2012,7511,Guéret,799.0,998.0,255,1820.0,1021.0,822.0,2.2778473091364204,1.8236472945891784
2012,7512,La Rochelle,2568.0,2921.0,83,5376.0,2808.0,2455.0,2.0934579439252334,1.8404655939746661
2012,7513,La Teste-de-Buch,1729.0,1833.0,33,3487.0,1758.0,1654.0,2.0167727009832275,1.9023458810692853
2012,7514,Langon,1072.0,1148.0,175,1988.0,916.0,840.0,1.8544776119402986,1.7317073170731707
2012,7515,Lesparre-Médoc,730.0,787.0,40,1355.0,625.0,568.0,1.856164383561644,1.721728081321474
2012,7516,Libourne,1388.0,1476.0,140,2587.0,1199.0,1111.0,1.8638328530259367,1.752710027100271
2012,7517,Limoges,1953.0,2254.0,130,4265.0,2312.0,2011.0,2.1838197644649258,1.8921916592724046
2012,7518,Marmande,752.0,874.0,131,1554.0,802.0,680.0,2.0664893617021276,1.7780320366132722
2012,7519,Mont-de-Marsan,862.0,1078.0,166,2021.0,1159.0,943.0,2.3445475638051043,1.8747680890538034
2012,7520,Niort,1225.0,1458.0,158,2746.0,1521.0,1288.0,2.2416326530612243,1.8834019204389574
2012,7521,Oloron-Sainte-Marie,496.0,539.0,163,1081.0,585.0,542.0,2.1794354838709675,2.00556586270872
2012,7522,Pau,2399.0,2741.0,286,5010.0,2611.0,2269.0,2.0883701542309296,1.8278000729660708
2012,7523,Périgueux,1701.0,1916.0,231,3414.0,1713.0,1498.0,2.0070546737213406,1.7818371607515657
2012,7524,Poitiers,1953.0,2360.0,163,4386.0,2433.0,2026.0,2.2457757296466974,1.8584745762711865
