target_year,ze2020,target_proxy_establishment_creations_year
2005,4420,1057
2005,4421,752
2005,4422,874
2005,4423,8155
2005,4424,2235
2005,4425,2711
2005,4426,695
2005,4427,1069
2005,5201,837
2005,5202,3817
2005,5203,2190
2005,5204,400
2005,5205,519
2005,5206,1696
2005,5207,1297
2005,5208,549
2005,5209,547
2005,5210,1610
2005,5211,1604
2005,5212,3265
2005,5213,1119
2005,5214,1344
2005,5215,739
2005,5216,10386
2005,5217,910
2005,5218,438
2005,5219,3101
2005,5220,990
2005,5221,476
2005,5301,1444
2005,5302,3597
2005,5303,969
2005,5304,1164
2005,5305,775
2005,5306,670
2005,5307,844
2005,5308,1619
2005,5309,2708
2005,5310,1320
2005,5311,805
2005,5312,1212
2005,5313,3490
2005,5314,607
2005,5315,7703
2005,5316,2156
2005,5317,2017
2005,5318,2896
2005,5319,798
2005,7501,1729
2005,7502,2433
2005,7503,5440
2005,7504,1541
2005,7505,14225
2005,7506,1082
2005,7507,1555
2005,7508,868
2005,7509,1450
2005,7510,2295
2005,7511,1330
2005,7512,3792
2005,7513,2369
2005,7514,1329
2005,7515,1070
2005,7516,1807
2005,7517,3357
2005,7518,1275
2005,7519,1554
2005,7520,1985
2005,7521,934
2005,7522,3463
2005,7523,2567
2005,7524,3156
2005,7525,890
2005,7526,2349
2005,7527,940
2005,7528,1569
2005,7529,1147
2005,7530,591
2005,7531,889
2005,7532,1264
2005,7601,1789
2005,7602,2813
2005,7603,2768
2005,7604,2213
2005,7605,820
2005,7606,3467
2005,7607,1305
2005,7608,2881
2005,7609,829
2005,7610,1750
2005,7611,1192
