selected_strategy,ze2020,libze2020,actual_sum,persistence_abs_error,model_abs_error,abs_error_reduction_vs_persistence,persistence_wmape,model_wmape,wmape_delta_vs_persistence
fixed_huber_absolute_local_all_lambda_0_5,8435,Voiron,12244.0,1337.0,1097.0383075525892,239.96169244741077,10.919634106501142,8.959803230583056,1.9598308759180867
fixed_huber_absolute_local_all_lambda_0_5,9301,Aix-en-Provence,39376.0,3066.0,3123.648497043667,-57.648497043666794,7.786468915075173,7.932874078229547,-0.14640516315437413
fixed_huber_absolute_local_all_lambda_0_5,9302,Briançon,3081.0,172.0,135.77419771925702,36.22580228074298,5.5826030509574815,4.406822386214119,1.1757806647433622
fixed_huber_absolute_local_all_lambda_0_5,9303,Brignoles,11283.0,1354.0,1136.2858874530066,217.71411254699342,12.000354515643002,10.070778050633756,1.9295764650092462
fixed_huber_absolute_local_all_lambda_0_5,9304,Cannes,49818.0,4168.0,3371.654653366566,796.345346633434,8.36645389216749,6.767944625168747,1.598509266998743
fixed_huber_absolute_local_all_lambda_0_5,9305,Carpentras,7373.0,796.0,849.8069966280825,-53.806996628082516,10.796148107961482,11.525932410526007,-0.729784302564525
fixed_huber_absolute_local_all_lambda_0_5,9306,Cavaillon,10107.0,901.0,958.7052700273903,-57.70527002739027,8.91461363411497,9.48555723782913,-0.5709436037141611
fixed_huber_absolute_local_all_lambda_0_5,9307,Digne-les-Bains,5585.0,495.0,420.1754647519617,74.82453524803827,8.863025962399282,7.523284955272367,1.3397410071269151
fixed_huber_absolute_local_all_lambda_0_5,9308,Draguignan,10084.0,755.0,800.1052489868846,-45.10524898688459,7.487108290360968,7.93440350046494,-0.447295210103972
fixed_huber_absolute_local_all_lambda_0_5,9309,Fréjus,12778.0,1048.0,984.7011631994051,63.29883680059493,8.20159649397402,7.706222908118682,0.4953735858553374
fixed_huber_absolute_local_all_lambda_0_5,9310,Gap,7699.0,1088.0,942.7463923106482,145.25360768935184,14.13170541628783,12.245049906619666,1.886655509668163
fixed_huber_absolute_local_all_lambda_0_5,9311,Manosque,6767.0,505.0,453.401707539738,51.59829246026197,7.462686567164178,6.700187786903178,0.7624987802610006
fixed_huber_absolute_local_all_lambda_0_5,9312,Marseille,121742.0,16189.0,14334.417756388251,1854.5822436117487,13.297793694862905,11.774422759925294,1.5233709349376117
fixed_huber_absolute_local_all_lambda_0_5,9313,Martigues-Salon,21774.0,1852.0,1679.8551779142927,172.14482208570735,8.505557086433361,7.714959024131041,0.7905980623023208
fixed_huber_absolute_local_all_lambda_0_5,9314,Menton,7074.0,546.0,472.2062154035407,73.79378459645932,7.718405428329092,6.675236293519093,1.0431691348099985
fixed_huber_absolute_local_all_lambda_0_5,9315,Nice,67493.0,6251.0,4977.797773620714,1273.202226379286,9.261701213459174,7.375280064037329,1.886421149421845
fixed_huber_absolute_local_all_lambda_0_5,9316,Orange,4844.0,523.0,561.3941487244438,-38.39414872444377,10.796862097440133,11.589474581429474,-0.7926124839893411
fixed_huber_absolute_local_all_lambda_0_5,9317,Sainte-Maxime,8478.0,1025.0,979.5906191946042,45.40938080539581,12.090115593300306,11.554501287975986,0.5356143053243194
fixed_huber_absolute_local_all_lambda_0_5,9318,Toulon,47170.0,3652.0,4114.55182919513,-462.55182919513027,7.742209031163876,8.722814986633729,-0.9806059554698532
fixed_huber_absolute_sitadel_energy_lambda_0_5,0051,Alençon,4974.0,388.0,311.55788041543906,76.44211958456094,7.800562927221552,6.263728999104122,1.5368339281174306
fixed_huber_absolute_sitadel_energy_lambda_0_5,0052,Arles,10789.0,880.0,921.9307146563715,-41.93071465637149,8.156455649272406,8.545098847496261,-0.3886431982238552
fixed_huber_absolute_sitadel_energy_lambda_0_5,0053,Avignon,24075.0,2021.0,1983.367011300371,37.632988699629095,8.39460020768432,8.23828457445637,0.1563156332279494
fixed_huber_absolute_sitadel_energy_lambda_0_5,0054,Beauvais,14089.0,1198.0,957.6130945588116,240.38690544118845,8.503087515082688,6.796884765127487,1.7062027499552013
fixed_huber_absolute_sitadel_energy_lambda_0_5,0055,Bollène-Pierrelatte,4987.0,471.0,405.3946899698043,65.60531003019571,9.444555845197513,8.12902927551242,1.315526569685094
fixed_huber_absolute_sitadel_energy_lambda_0_5,0056,Cosne-Cours-sur-Loire,3135.0,255.0,246.4793888601564,8.520611139843595,8.133971291866029,7.862181462843905,0.2717898290221239
fixed_huber_absolute_sitadel_energy_lambda_0_5,0057,Dreux,7998.0,679.0,513.9131357525907,165.08686424740927,8.4896224056014,6.425520577051646,2.064101828549754
fixed_huber_absolute_sitadel_energy_lambda_0_5,0058,La Vallée de la Bresle-Vimeu,2671.0,270.0,298.8228243801857,-28.822824380185693,10.108573567952078,11.187675940853078,-1.0791023729009996
fixed_huber_absolute_sitadel_energy_lambda_0_5,0059,Mâcon,9887.0,838.0,914.515505361022,-76.51550536102195,8.475776271872155,9.249676396895135,-0.7739001250229798
fixed_huber_absolute_sitadel_energy_lambda_0_5,0060,Nevers,6708.0,610.0,706.1471912114514,-96.1471912114514,9.093619558735838,10.526940834994804,-1.4333212762589653
fixed_huber_absolute_sitadel_energy_lambda_0_5,0061,Nogent-le-Rotrou,2903.0,294.0,327.2722903353945,-33.27229033539447,10.127454357561144,11.27358905736805,-1.1461346998069057
fixed_huber_absolute_sitadel_energy_lambda_0_5,0062,Redon,3945.0,480.0,406.53514926889284,73.46485073110716,12.167300380228136,10.305073492240629,1.8622268879875072
fixed_huber_absolute_sitadel_energy_lambda_0_5,0063,Ussel,3665.0,456.0,399.07978592741074,56.92021407258926,12.442019099590723,10.88894368151189,1.5530754180788335
fixed_huber_absolute_sitadel_energy_lambda_0_5,0064,Valréas,4043.0,428.0,466.05948168787415,-38.059481687874154,10.586198367548851,11.527565710805693,-0.9413673432568412
fixed_huber_absolute_sitadel_energy_lambda_0_5,1101,Cergy-Vexin,49487.0,2554.0,2720.5671814485413,-166.5671814485413,5.160951360963486,5.497539114208866,-0.3365877532453805
fixed_huber_absolute_sitadel_energy_lambda_0_5,1102,Coulommiers,4677.0,350.0,328.4579686396619,21.542031360338115,7.483429548856105,7.022834480215136,0.460595068640969
fixed_huber_absolute_sitadel_energy_lambda_0_5,1103,Étampes,6483.0,402.0,440.9131811801258,-38.913181180125775,6.200832947709394,6.801067116768869,-0.6002341690594752
fixed_huber_absolute_sitadel_energy_lambda_0_5,1104,Évry-Courcouronnes,46246.0,2158.0,2390.0385043334445,-232.0385043334445,4.666349522120832,5.168097790800165,-0.5017482686793331
fixed_huber_absolute_sitadel_energy_lambda_0_5,1105,Fontainebleau-Nemours,12675.0,799.0,636.820489601696,162.17951039830405,6.3037475345167655,5.024224770033104,1.2795227644836613
fixed_huber_absolute_sitadel_energy_lambda_0_5,1106,Marne-la-Vallée,39506.0,2125.0,1865.7679016009297,259.2320983990703,5.3789297828178,4.722745662939628,0.6561841198781719
fixed_huber_absolute_sitadel_energy_lambda_0_5,1107,Meaux,14632.0,831.0,896.7268737445556,-65.72687374455563,5.679332968835429,6.128532488686137,-0.4491995198507075
fixed_huber_absolute_sitadel_energy_lambda_0_5,1108,Melun,14638.0,994.0,1041.5245271324384,-47.52452713243838,6.790545156442136,7.115210596614554,-0.32466544017241716
fixed_huber_absolute_sitadel_energy_lambda_0_5,1109,Paris,832864.0,44991.0,25628.780295914534,19362.219704085466,5.401962385215353,3.077186707063162,2.324775678152191
fixed_huber_absolute_sitadel_energy_lambda_0_5,1110,Provins,3108.0,288.0,211.45425727580027,76.54574272419973,9.266409266409266,6.803547531396405,2.4628617350128605
fixed_huber_absolute_sitadel_energy_lambda_0_5,1111,Rambouillet,5138.0,409.0,465.36504402997184,-56.36504402997184,7.960295834955236,9.057318879524558,-1.0970230445693225
