ze2020,libze2020,reg,population_2022_total,active_15_64_2022_total,unemployed_15_64_2022_total,unemployment_rate_proxy_2022,jobs_lt_2022_total,jobs_lt_per_1000_pop_2022,side_stocks_et_2023_total,side_stocks_ul_2023_total,side_stocks_et_per_1000_pop_2023,bpe_facilities_2024_total,bpe_facilities_per_1000_pop_2024,flores_presential_unit_loc_2024_total,flores_productive_unit_loc_2024_total,filosofi_s_hh_tax_weighted_proxy_2021,filosofi_s_dir_tax_di_weighted_proxy_2021
0061,Nogent-le-Rotrou,24,63647.0,27120.795009999998,0.0,0.0,23132.67542000001,363.452722,4620.0,4223.0,72.587867,2688.0,42.232941,1355.0,790.0,45.990045,-13.306166
0062,Redon,53,85017.0,37829.87833,0.0,0.0,28939.338890000006,340.394732,5885.0,5355.0,69.22145,3001.0,35.298823,1588.0,909.0,45.178703,-12.865639
0063,Ussel,84,79049.0,33112.55842,0.0,0.0,30208.390649999983,382.147663,5934.0,5343.0,75.067363,4381.0,55.421321,2178.0,929.0,44.65273,-13.199662
0064,Valréas,84,62154.0,25498.11958000001,0.0,0.0,22023.863789999992,354.343466,7197.0,6676.0,115.79303,3837.0,61.733758,1997.0,1060.0,43.830381,-14.092225
0101,Côte sous le vent,01,15986.0,6639.27928,0.0,0.0,4109.59291,257.074497,1361.0,1294.0,85.136995,941.0,58.864006,361.0,96.0,,
0102,Est Grande Terre,01,55551.0,23673.888179999998,0.0,0.0,13138.20223,236.507034,5005.0,4731.0,90.097388,3286.0,59.152851,1225.0,607.0,,
0103,Marie-Galante,01,10422.0,4216.40732,0.0,0.0,3179.4159099999997,305.067733,855.0,782.0,82.037997,702.0,67.357513,271.0,107.0,,
0104,Région Pointoise,01,232887.0,104708.34559000001,0.0,0.0,90047.53388,386.657623,26661.0,24747.0,114.480413,13339.0,57.276705,6205.0,3724.0,,
0105,Sud Basse-Terre,01,68723.0,28264.150079999996,0.0,0.0,20710.635290000002,301.363958,4429.0,4100.0,64.447128,3269.0,47.567772,1377.0,609.0,,
0201,Le Centre-Atlantique,02,57691.0,25622.504569999997,0.0,0.0,13489.3878,233.821355,3620.0,3343.0,62.748089,2433.0,42.172956,962.0,453.0,31.302578,-12.110062
0202,Le Centre agglomération,02,150323.0,68011.55888,0.0,0.0,79236.34841,527.107285,33211.0,31737.0,220.930929,7912.0,52.63333,4465.0,2558.0,39.829241,-14.435919
0203,Le Nord-Atlantique,02,15610.0,5947.64221,0.0,0.0,4177.03417,267.58707,701.0,657.0,44.907111,657.0,42.088405,241.0,187.0,20.848888,-9.440079
0204,Le Nord-Caraibe,02,22357.0,9775.01359,0.0,0.0,6085.69403,272.205306,1307.0,1231.0,58.460437,962.0,43.029029,414.0,175.0,35.163959,-13.534446
0205,Le Sud,02,49153.0,21375.10983,0.0,0.0,11576.91109,235.528067,3657.0,3417.0,74.400342,2262.0,46.019572,980.0,421.0,30.877953,-12.944229
0206,Le Sud-Caraibe,02,65885.0,29744.53578,0.0,0.0,18178.26654,275.909031,6628.0,6123.0,100.599529,3201.0,48.584655,1564.0,797.0,39.833422,-13.845998
0301,Est-littoral,03,160925.0,68352.6923,0.0,0.0,51569.165949999995,320.454659,10385.0,9392.0,64.533168,5891.0,36.607115,3246.0,1872.0,,
0302,Ouest-Guyanais,03,98344.0,31560.932149999997,0.0,0.0,19268.120239999997,195.925733,1370.0,1236.0,13.930692,1233.0,12.537623,597.0,192.0,,
0303,Savanes,03,29113.0,12124.888470000002,0.0,0.0,10044.66848,345.023477,1479.0,1325.0,50.802047,1068.0,36.684643,535.0,274.0,,
0401,L'Est,04,128965.0,53693.61527,0.0,0.0,31464.367110000003,243.976018,7563.0,6969.0,58.643818,4859.0,37.676889,2573.0,1058.0,23.861187,-10.844964
0402,L'Ouest,04,218990.0,99725.37812000001,0.0,0.0,73379.52517000001,335.081626,22308.0,20205.0,101.867665,9250.0,42.239372,5085.0,2663.0,34.079524,-13.714363
0403,Le Nord,04,216588.0,97929.68138,0.0,0.0,86888.47618999999,401.169392,18264.0,16389.0,84.326001,8138.0,37.573642,5100.0,2517.0,36.147164,-14.669908
0404,Le Sud,04,316805.0,141402.91322999998,0.0,0.0,95456.11366,301.308735,23402.0,21033.0,73.868784,12272.0,38.736762,6914.0,3153.0,28.624027,-11.983021
0601,Mayotte,06,0.0,0.0,0.0,,0.0,,3924.0,3801.0,,6875.0,,2328.0,894.0,,
1101,Cergy-Vexin,11,647954.0,318873.92533999984,0.0,0.0,194132.94595999995,299.609148,49743.0,45511.0,76.769339,23140.0,35.712412,11849.0,6003.0,63.749011,-17.717548
1102,Coulommiers,11,75538.0,37120.65830000002,0.0,0.0,18154.95169999999,240.34197,5507.0,5151.0,72.903704,2710.0,35.875983,1438.0,644.0,55.469294,-14.676859
1103,Étampes,11,110492.0,54165.46236,0.0,0.0,31131.966900000003,281.757656,7807.0,7206.0,70.656699,3936.0,35.622489,2060.0,864.0,61.118366,-16.474989
1104,Évry-Courcouronnes,11,620425.0,297694.77798,0.0,0.0,204031.99323,328.858433,43211.0,39089.0,69.647419,21299.0,34.329693,11108.0,5213.0,60.08352,-16.4294
1105,Fontainebleau-Nemours,11,201743.0,92242.04902000005,0.0,0.0,59736.44206000001,296.101684,17116.0,15770.0,84.840614,7462.0,36.987653,4058.0,1839.0,58.1428,-17.126369
