year_month,ze2020,target_proxy_establishment_creations_count
2011-03,0063,79
2011-03,0064,99
2011-03,1101,625
2011-03,1102,93
2011-03,1103,114
2011-03,1104,668
2011-03,1105,276
2011-03,1106,567
2011-03,1107,207
2011-03,1108,190
2011-03,1109,6846
2011-03,1110,55
2011-03,1111,110
2011-03,1112,944
2011-03,1113,587
2011-03,1114,932
2011-03,1115,733
2011-03,2401,160
2011-03,2402,208
2011-03,2403,219
2011-03,2404,51
2011-03,2405,196
2011-03,2406,32
2011-03,2407,77
2011-03,2408,66
2011-03,2409,126
2011-03,2410,521
2011-03,2411,51
2011-03,2412,92
2011-03,2413,534
2011-03,2414,63
2011-03,2415,51
2011-03,2701,46
2011-03,2702,164
2011-03,2703,73
2011-03,2704,98
2011-03,2705,194
2011-03,2706,339
2011-03,2707,157
2011-03,2708,100
2011-03,2709,53
2011-03,2710,108
2011-03,2711,459
2011-03,2712,79
2011-03,2713,168
2011-03,2714,153
2011-03,2715,104
2011-03,2716,59
2011-03,2717,106
2011-03,2718,121
2011-03,2801,31
2011-03,2802,96
2011-03,2803,63
2011-03,2804,600
2011-03,2805,156
2011-03,2806,70
2011-03,2807,147
2011-03,2808,198
2011-03,2809,71
2011-03,2810,74
2011-03,2811,129
2011-03,2812,47
2011-03,2813,302
2011-03,2814,72
2011-03,2815,727
2011-03,2816,97
2011-03,2817,130
2011-03,2818,31
2011-03,2819,78
2011-03,3201,94
2011-03,3202,289
2011-03,3203,187
2011-03,3204,132
2011-03,3205,190
2011-03,3206,161
2011-03,3207,144
2011-03,3208,153
2011-03,3209,71
2011-03,3210,209
2011-03,3211,293
2011-03,3212,194
2011-03,3213,228
2011-03,3214,89
2011-03,3215,271
2011-03,3216,1112
2011-03,3217,165
2011-03,3218,447
2011-03,3219,135
2011-03,3220,210
2011-03,3221,172
2011-03,3222,329
2011-03,4401,51
2011-03,4402,115
2011-03,4403,149
2011-03,4404,109
2011-03,4405,271
2011-03,4406,114
2011-03,4407,197
2011-03,4408,107
2011-03,4409,251
2011-03,4410,495
2011-03,4411,496
2011-03,4412,638
2011-03,4413,413
2011-03,4414,97
2011-03,4415,93
2011-03,4416,162
2011-03,4417,114
2011-03,4418,89
2011-03,4419,92
2011-03,4420,115
2011-03,4421,93
2011-03,4422,120
2011-03,4423,915
2011-03,4424,287
2011-03,4425,274
2011-03,4426,69
2011-03,4427,112
2011-03,5201,88
2011-03,5202,450
2011-03,5203,173
2011-03,5204,47
2011-03,5205,35
2011-03,5206,142
2011-03,5207,139
2011-03,5208,56
2011-03,5209,48
2011-03,5210,177
2011-03,5211,150
2011-03,5212,369
2011-03,5213,109
2011-03,5214,89
2011-03,5215,69
2011-03,5216,1132
