ZE2020,graph_source,self_weight,top1_ze,top1_name,top1_weight,top2_ze,top2_name,top2_weight,top3_ze,top3_name,top3_weight,total_outflow,top3_concentration,graph_dependency_high,learned_adj_status,libze2020,opportunity_score,risk_score,risk_graph_component
5315,mobility_prior,0.0,5319,Vitré,0.2110289996407251,5317,Saint-Malo,0.1064181245241535,5305,Fougères,0.1053085453794149,0.9999999999999909,0.4227556695442974,False,pending,Rennes,99.28571428571429,5.0,0.02857142857142857
5316,mobility_prior,0.0,5307,Lamballe-Armor,0.3114611549910679,5306,Guingamp,0.1951209983102144,5312,Pontivy-Loudéac,0.1234492658830823,0.9999999999999949,0.6300314191843678,True,pending,Saint-Brieuc,68.92857142857143,63.57142857142857,0.29642857142857143
5317,mobility_prior,0.0,5315,Rennes,0.47975261301391,5304,Dinan,0.2273580096034194,2802,Avranches,0.0658987371617796,0.9999999999999944,0.7730093597791133,True,pending,Saint-Malo,78.57142857142857,40.0,0.6392857142857142
5318,mobility_prior,0.0,5301,Auray,0.2087815021575173,5311,Ploërmel,0.1400252525717916,5312,Pontivy-Loudéac,0.1352394675476551,0.9999999999999939,0.4840462222769669,False,pending,Vannes,65.35714285714286,22.857142857142858,0.06428571428571428
5319,mobility_prior,0.0,5315,Rennes,0.7076379906200577,5211,Laval,0.1121059949828392,5305,Fougères,0.0716192930667843,0.9999999999999967,0.8913632786696842,True,pending,Vitré,57.85714285714286,48.57142857142857,0.9357142857142857
7501,mobility_prior,0.0,7532,Villeneuve-sur-Lot,0.2438150783693773,7518,Marmande,0.2184560016419255,7609,Castelsarrasin-Moissac,0.1343553815566456,0.9999999999999947,0.5966264615679516,True,pending,Agen,75.89285714285714,39.285714285714285,0.20357142857142857
7502,mobility_prior,0.0,7509,Cognac,0.4490650503414299,7527,Saint-Junien,0.1077346471197657,7523,Périgueux,0.0788042676657098,0.9999999999999937,0.6356039651269094,True,pending,Angoulême,83.21428571428572,10.714285714285714,0.31785714285714284
7503,mobility_prior,0.0,7510,Dax,0.3728829949580302,7522,Pau,0.1404162278491894,7521,Oloron-Sainte-Marie,0.1081886446550981,0.9999999999999932,0.6214878674623219,True,pending,Bayonne,68.57142857142857,8.928571428571429,0.26071428571428573
7504,mobility_prior,0.0,7523,Périgueux,0.2938108466365187,7516,Libourne,0.1988068763947678,7505,Bordeaux,0.1347572359180738,0.9999999999999958,0.6273749589493629,True,pending,Bergerac,53.214285714285715,12.857142857142856,0.2892857142857143
7505,mobility_prior,0.0,7516,Libourne,0.265762788983322,7513,La Teste-de-Buch,0.1236820205807864,7514,Langon,0.111673778090672,0.9999999999999895,0.5011185876547858,True,pending,Bordeaux,67.5,66.07142857142857,0.07857142857142857
7506,mobility_prior,0.0,5206,Cholet,0.2996427011642954,7520,Niort,0.2512756725884552,7530,Thouars,0.1332516493146918,0.9999999999999962,0.6841700230674449,True,pending,Bressuire,20.357142857142858,74.28571428571429,0.41785714285714287
7507,mobility_prior,0.0,7531,Tulle,0.4930035952838653,7619,Nord-du-Lot,0.0970781604622437,7517,Limoges,0.091696511196516,0.9999999999999946,0.6817782669426287,True,pending,Brive-la-Gaillarde,70.71428571428572,14.285714285714285,0.4142857142857143
7508,mobility_prior,0.0,7524,Poitiers,0.7073594761137141,2408,Loches,0.0690996719138588,2413,Tours,0.0669189135498332,0.999999999999996,0.8433780615774094,True,pending,Châtellerault,28.57142857142857,90.0,0.8178571428571428
7509,mobility_prior,0.0,7502,Angoulême,0.3596539773092558,7528,Saintes,0.28154471725607,7505,Bordeaux,0.1520884879216136,0.9999999999999954,0.7932871824869431,True,pending,Cognac,70.0,16.428571428571427,0.6821428571428572
7510,mobility_prior,0.0,7503,Bayonne,0.4534935395299796,7519,Mont-de-Marsan,0.2340411829551311,7522,Pau,0.135906236087698,0.9999999999999953,0.8234409585728126,True,pending,0Dax,61.42857142857143,59.285714285714285,0.7464285714285714
7511,mobility_prior,0.0,7517,Limoges,0.2838637907490081,2405,Châteauroux,0.1800798405293316,8423,Montluçon,0.1504871279107183,0.9999999999999958,0.6144307591890605,True,pending,Guéret,66.42857142857143,1.7857142857142856,0.2357142857142857
7512,mobility_prior,0.0,7525,Rochefort,0.3208446486552541,7520,Niort,0.2468950492937807,5207,Fontenay-le-Comte,0.068422157827424,0.9999999999999947,0.6361618557764622,True,pending,La Rochelle,33.92857142857143,62.857142857142854,0.325
7513,mobility_prior,0.0,7505,Bordeaux,0.8227214832284284,7519,Mont-de-Marsan,0.0376072935219073,7510,Dax,0.0241686820862943,0.9999999999999947,0.8844974588366347,True,pending,La Teste-de-Buch,32.142857142857146,86.78571428571429,0.9178571428571428
7514,mobility_prior,0.0,7505,Bordeaux,0.7814591954232264,7518,Marmande,0.0698728565245912,7516,Libourne,0.0570923594356208,0.9999999999999956,0.9084244113834423,True,pending,Langon,18.21428571428571,89.28571428571429,0.9642857142857143
7515,mobility_prior,0.0,7505,Bordeaux,0.9400970590189692,7513,La Teste-de-Buch,0.0052704809940133,7516,Libourne,0.0043187717490505,0.9999999999999973,0.9496863117620356,True,pending,Lesparre-Médoc,37.5,76.42857142857142,0.9964285714285714
7516,mobility_prior,0.0,7505,Bordeaux,0.7874422523430464,7523,Périgueux,0.048972422565,7504,Bergerac,0.0374270756202859,0.9999999999999948,0.8738417505283369,True,pending,Libourne,84.28571428571429,15.357142857142858,0.8642857142857143
7517,mobility_prior,0.0,7527,Saint-Junien,0.3841716415293384,7511,Guéret,0.1541402336500312,7531,Tulle,0.0962664098986566,0.9999999999999928,0.6345782850780308,True,pending,Limoges,50.357142857142854,64.46428571428572,0.3107142857142857
7518,mobility_prior,0.0,7501,Agen,0.2720416734502005,7514,Langon,0.1943483640857214,7532,Villeneuve-sur-Lot,0.1569794500785042,0.999999999999996,0.6233694876144286,True,pending,Marmande,32.857142857142854,15.0,0.275
7519,mobility_prior,0.0,7510,Dax,0.3121281728480458,7522,Pau,0.1754446112265833,7604,Auch,0.1109730486185878,0.999999999999995,0.5985458326932199,True,pending,Mont-de-Marsan,31.071428571428573,79.64285714285714,0.20714285714285716
7520,mobility_prior,0.0,7506,Bressuire,0.1923462346913616,7512,La Rochelle,0.1839122717506284,7524,Poitiers,0.166904070119034,0.9999999999999943,0.5431625765610271,True,pending,Niort,90.53571428571429,1.0714285714285714,0.1357142857142857
7521,mobility_prior,0.0,7522,Pau,0.7188539866641059,7503,Bayonne,0.1725763122020156,7510,Dax,0.0302333486104418,0.9999999999999981,0.9216636474765652,True,pending,Oloron-Sainte-Marie,17.142857142857142,25.357142857142854,0.975
7522,mobility_prior,0.0,7624,Tarbes-Lourdes,0.3412778725105873,7521,Oloron-Sainte-Marie,0.2178162893014388,7510,Dax,0.0941266685968326,0.9999999999999937,0.6532208304088628,True,pending,0Pau,72.5,32.5,0.3535714285714286
7523,mobility_prior,0.0,7504,Bergerac,0.1985956644704508,7516,Libourne,0.1354264210784727,7502,Angoulême,0.1323876016750636,0.9999999999999941,0.46640968722398984,False,pending,Périgueux,74.28571428571429,11.785714285714285,0.05
