ZE2020,target_year,node_idx,side_establishment_creations_official,side_enterprise_creations_official,side_lag_1,side_lag_2,side_lag_3,growth_1y,growth_2y,has_flores_source,has_side_stock_source,has_urssaf_source,feature_forecast_safe,is_covid_year,is_post_covid_rebound,side_stock_total_t_minus_1
5,2012,4,683.0,683.0,619.0,686.0,643.0,0.1033925686591276,-0.03732503888024885,0,0,0,1,0,0,9632.0
6,2012,5,208.0,208.0,225.0,234.0,184.0,-0.0755555555555555,0.22282608695652173,0,0,0,1,0,0,3761.0
7,2012,6,1680.0,1680.0,1823.0,1676.0,1664.0,-0.0784421283598464,0.09555288461538458,0,0,0,1,0,0,25261.0
8,2012,7,8969.0,8969.0,8849.0,8659.0,7409.0,0.013560854333823,0.1943582129842083,0,0,0,1,0,0,84873.0
9,2012,8,1963.0,1963.0,1847.0,1747.0,1639.0,0.0628045479155387,0.12690665039658322,0,0,0,1,0,0,20128.0
10,2012,9,1750.0,1750.0,1838.0,1721.0,1581.0,-0.0478781284004352,0.1625553447185326,0,0,0,1,0,0,24315.0
11,2012,10,621.0,621.0,517.0,504.0,494.0,0.2011605415860735,0.046558704453441235,0,0,0,1,0,0,7834.0
12,2012,11,349.0,349.0,322.0,291.0,277.0,0.0838509316770186,0.16245487364620947,0,0,0,1,0,0,5022.0
13,2012,12,486.0,486.0,445.0,412.0,404.0,0.0921348314606741,0.10148514851485158,0,0,0,1,0,0,6875.0
14,2012,13,374.0,374.0,379.0,382.0,362.0,-0.0131926121372031,0.046961325966850875,0,0,0,1,0,0,5655.0
15,2012,14,3542.0,3542.0,3568.0,3424.0,3160.0,-0.007286995515695,0.12911392405063293,0,0,0,1,0,0,44651.0
16,2012,15,3123.0,3123.0,3221.0,3066.0,2779.0,-0.0304253337472834,0.15905001799208351,0,0,0,1,0,0,41287.0
17,2012,16,2561.0,2561.0,2670.0,2661.0,2393.0,-0.0408239700374531,0.1157542833263685,0,0,0,1,0,0,30800.0
18,2012,17,548.0,548.0,555.0,525.0,521.0,-0.0126126126126126,0.06525911708253362,0,0,0,1,0,0,7106.0
19,2012,18,3339.0,3339.0,3336.0,3121.0,2955.0,0.0008992805755395,0.12893401015228423,0,0,0,1,0,0,33484.0
20,2012,19,2781.0,2781.0,2850.0,2770.0,2611.0,-0.0242105263157894,0.09153581003446964,0,0,0,1,0,0,34990.0
21,2012,20,1322.0,1322.0,1379.0,1330.0,1274.0,-0.0413343002175489,0.08241758241758235,0,0,0,1,0,0,16925.0
22,2012,21,1849.0,1849.0,1946.0,1853.0,1633.0,-0.0498458376156217,0.1916717697489283,0,0,0,1,0,0,23085.0
23,2012,22,352.0,352.0,309.0,278.0,286.0,0.1391585760517799,0.08041958041958042,0,0,0,1,0,0,4406.0
24,2012,23,1012.0,1012.0,1048.0,930.0,964.0,-0.0343511450381679,0.08713692946058083,0,0,0,1,0,0,11736.0
25,2012,24,1676.0,1676.0,1640.0,1560.0,1347.0,0.0219512195121951,0.21752041573867853,0,0,0,1,0,0,19383.0
26,2012,25,313.0,313.0,356.0,304.0,279.0,-0.1207865168539325,0.2759856630824373,0,0,0,1,0,0,5165.0
27,2012,26,2756.0,2756.0,2780.0,2540.0,2327.0,-0.0086330935251798,0.19467125053717238,0,0,0,1,0,0,33935.0
28,2012,27,777.0,777.0,790.0,796.0,738.0,-0.0164556962025316,0.07046070460704601,0,0,0,1,0,0,10932.0
29,2012,28,316.0,316.0,294.0,302.0,230.0,0.0748299319727891,0.27826086956521734,0,0,0,1,0,0,4251.0
30,2012,29,934.0,934.0,894.0,937.0,815.0,0.0447427293064877,0.09693251533742342,0,0,0,1,0,0,13380.0
31,2012,30,1314.0,1314.0,1405.0,1258.0,1197.0,-0.0647686832740213,0.17376775271512113,0,0,0,1,0,0,16992.0
