ZE2020,target_year,BE,FZ,GI,JZ,KZ,LZ,MN,OQ,RU,total
37,2012,13006.0,4211.0,14159.0,445.0,1385.0,325.0,6292.0,29739.0,2854.0,72416.0
38,2012,36902.0,14305.0,31340.0,1351.0,2335.0,439.0,15335.0,45562.0,4137.0,151706.0
39,2012,13585.0,7646.0,16090.0,579.0,1221.0,307.0,5838.0,30640.0,3143.0,79049.0
40,2012,1873.0,764.0,1599.0,8.0,143.0,29.0,562.0,4942.0,398.0,10318.0
41,2012,1648.0,1444.0,3062.0,38.0,222.0,91.0,1460.0,5750.0,364.0,14079.0
42,2012,8466.0,2552.0,5692.0,267.0,607.0,78.0,2872.0,11438.0,1088.0,33060.0
1,2013,8734.0,4721.0,15326.0,593.0,1181.0,225.0,7257.0,25843.0,1768.0,65648.0
2,2013,51435.0,19773.0,100247.0,10390.0,14522.0,2298.0,64088.0,117451.0,13381.0,393585.0
3,2013,1941.0,408.0,4201.0,79.0,206.0,54.0,1401.0,8531.0,790.0,17611.0
4,2013,2831.0,1605.0,4185.0,43.0,261.0,55.0,1885.0,7859.0,657.0,19381.0
5,2013,7946.0,2923.0,5854.0,116.0,557.0,105.0,3274.0,11408.0,641.0,32824.0
6,2013,1027.0,995.0,2347.0,6.0,178.0,31.0,794.0,4986.0,330.0,10694.0
7,2013,13458.0,4967.0,23361.0,1403.0,1511.0,691.0,10970.0,42464.0,3962.0,102787.0
8,2013,26768.0,15208.0,114168.0,30985.0,59077.0,5741.0,97631.0,237064.0,35142.0,621784.0
9,2013,23150.0,7994.0,27257.0,1910.0,2036.0,891.0,14414.0,47839.0,3426.0,128917.0
10,2013,26065.0,8244.0,22151.0,1633.0,2327.0,441.0,13237.0,34438.0,3161.0,111697.0
11,2013,1775.0,1852.0,4933.0,58.0,304.0,130.0,1403.0,13089.0,1274.0,24818.0
12,2013,1838.0,1272.0,2401.0,44.0,269.0,18.0,1128.0,4174.0,309.0,11453.0
13,2013,4843.0,1682.0,3325.0,82.0,386.0,79.0,2634.0,7664.0,651.0,21346.0
14,2013,1907.0,931.0,4570.0,58.0,314.0,274.0,1474.0,7220.0,742.0,17490.0
15,2013,37958.0,11816.0,41128.0,5805.0,5974.0,1096.0,31666.0,85441.0,6916.0,227800.0
16,2013,20432.0,6865.0,83521.0,13018.0,3964.0,662.0,40284.0,43004.0,4845.0,216595.0
17,2013,30687.0,9849.0,32963.0,3213.0,3072.0,535.0,21554.0,56553.0,5246.0,163672.0
18,2013,4568.0,1835.0,4351.0,270.0,288.0,130.0,2994.0,11352.0,836.0,26624.0
19,2013,25259.0,11253.0,41182.0,3606.0,4644.0,1302.0,21953.0,80052.0,7558.0,196809.0
20,2013,13846.0,4651.0,28141.0,4270.0,4745.0,498.0,21231.0,67709.0,5058.0,150149.0
21,2013,15798.0,4776.0,12464.0,210.0,1004.0,158.0,6309.0,21232.0,1536.0,63487.0
22,2013,24948.0,5470.0,28484.0,4736.0,1636.0,374.0,14615.0,35432.0,4515.0,120210.0
23,2013,1715.0,1413.0,3509.0,116.0,259.0,100.0,1503.0,8293.0,643.0,17551.0
24,2013,6949.0,3143.0,12084.0,1282.0,1014.0,473.0,6456.0,34021.0,2656.0,68078.0
25,2013,9832.0,5024.0,16877.0,1665.0,2546.0,474.0,11188.0,44489.0,4272.0,96367.0
26,2013,1636.0,2877.0,3311.0,323.0,226.0,52.0,1400.0,8601.0,579.0,19005.0
27,2013,20331.0,5721.0,27347.0,3343.0,3827.0,668.0,16539.0,40123.0,4086.0,121985.0
28,2013,4453.0,2453.0,11138.0,173.0,548.0,562.0,3750.0,15494.0,1445.0,40016.0
29,2013,1138.0,777.0,2602.0,17.0,162.0,22.0,865.0,6711.0,466.0,12760.0
30,2013,14193.0,4024.0,10257.0,1080.0,1081.0,229.0,7390.0,18534.0,1277.0,58065.0
31,2013,12943.0,7595.0,19192.0,753.0,1124.0,305.0,8426.0,23339.0,2491.0,76168.0
32,2013,5384.0,2590.0,8397.0,316.0,589.0,181.0,5075.0,18632.0,1287.0,42451.0
33,2013,10712.0,5076.0,8327.0,301.0,941.0,161.0,5061.0,16490.0,1103.0,48172.0
34,2013,2023.0,2923.0,5105.0,24.0,446.0,96.0,1474.0,14821.0,1000.0,27912.0
35,2013,12719.0,3050.0,4148.0,318.0,651.0,100.0,2966.0,6572.0,514.0,31038.0
