zone_id,target_year,a10,jobs,jobs_suppressed
CR03,2023,KZ,3.7,0
CR03,2023,LZ,1.9,0
CR03,2023,MN,36.6,0
CR03,2023,OPQ,93.6,0
CR03,2023,RSU,5.2,0
CR03,2024,A,1.5,0
CR03,2024,BE,16.0,0
CR03,2024,FZ,7.5,0
CR03,2024,GI,44.3,0
CR03,2024,JZ,7.8,0
CR03,2024,KZ,3.5,0
CR03,2024,LZ,1.9,0
CR03,2024,MN,35.5,0
CR03,2024,OPQ,96.1,0
CR03,2024,RSU,5.4,0
CR04,2010,A,1.7,0
CR04,2010,BE,14.9,0
CR04,2010,FZ,6.0,0
CR04,2010,GI,27.6,0
CR04,2010,JZ,2.2,0
CR04,2010,KZ,7.1,0
CR04,2010,LZ,1.0,0
CR04,2010,MN,16.1,0
CR04,2010,OPQ,51.2,0
CR04,2010,RSU,3.6,0
CR04,2011,A,1.6,0
CR04,2011,BE,14.7,0
CR04,2011,FZ,5.6,0
CR04,2011,GI,27.8,0
CR04,2011,JZ,2.3,0
CR04,2011,KZ,7.7,0
CR04,2011,LZ,0.9,0
CR04,2011,MN,16.2,0
CR04,2011,OPQ,51.1,0
CR04,2011,RSU,3.6,0
CR04,2012,A,1.7,0
CR04,2012,BE,13.6,0
CR04,2012,FZ,5.0,0
CR04,2012,GI,28.0,0
CR04,2012,JZ,2.1,0
CR04,2012,KZ,6.1,0
CR04,2012,LZ,0.9,0
CR04,2012,MN,16.6,0
CR04,2012,OPQ,49.5,0
CR04,2012,RSU,3.4,0
CR04,2013,A,1.6,0
CR04,2013,BE,12.5,0
CR04,2013,FZ,4.5,0
CR04,2013,GI,26.9,0
CR04,2013,JZ,2.0,0
CR04,2013,KZ,5.5,0
CR04,2013,LZ,0.8,0
CR04,2013,MN,15.7,0
CR04,2013,OPQ,47.4,0
CR04,2013,RSU,3.4,0
CR04,2014,A,1.3,0
CR04,2014,BE,13.0,0
CR04,2014,FZ,4.2,0
CR04,2014,GI,26.9,0
CR04,2014,JZ,2.0,0
