ID,BedrijfstakkenBranchesSBI2008,RegioS,Perioden,BanenVanWerknemersInDecember_1
579,T001081,CR18  ,2019JJ00,149.8
580,T001081,CR18  ,2020JJ00,147.9
581,T001081,CR18  ,2021JJ00,151.2
582,T001081,CR18  ,2022JJ00,152.6
583,T001081,CR18  ,2023JJ00,155.6
584,T001081,CR18  ,2024JJ00,156.2
585,T001081,CR19  ,2010JJ00,98.0
586,T001081,CR19  ,2011JJ00,100.2
587,T001081,CR19  ,2012JJ00,98.6
588,T001081,CR19  ,2013JJ00,94.5
589,T001081,CR19  ,2014JJ00,94.4
590,T001081,CR19  ,2015JJ00,96.4
591,T001081,CR19  ,2016JJ00,97.5
592,T001081,CR19  ,2017JJ00,98.9
593,T001081,CR19  ,2018JJ00,99.4
594,T001081,CR19  ,2019JJ00,101.8
595,T001081,CR19  ,2020JJ00,101.5
596,T001081,CR19  ,2021JJ00,103.9
597,T001081,CR19  ,2022JJ00,106.4
598,T001081,CR19  ,2023JJ00,107.8
599,T001081,CR19  ,2024JJ00,109.5
600,T001081,CR20  ,2010JJ00,73.4
601,T001081,CR20  ,2011JJ00,73.9
602,T001081,CR20  ,2012JJ00,73.0
603,T001081,CR20  ,2013JJ00,71.8
604,T001081,CR20  ,2014JJ00,71.6
605,T001081,CR20  ,2015JJ00,71.2
606,T001081,CR20  ,2016JJ00,70.6
607,T001081,CR20  ,2017JJ00,70.7
608,T001081,CR20  ,2018JJ00,73.0
609,T001081,CR20  ,2019JJ00,73.3
610,T001081,CR20  ,2020JJ00,72.0
611,T001081,CR20  ,2021JJ00,73.5
612,T001081,CR20  ,2022JJ00,75.9
613,T001081,CR20  ,2023JJ00,75.3
614,T001081,CR20  ,2024JJ00,75.6
615,T001081,CR21  ,2010JJ00,86.6
616,T001081,CR21  ,2011JJ00,85.3
617,T001081,CR21  ,2012JJ00,84.1
618,T001081,CR21  ,2013JJ00,82.2
619,T001081,CR21  ,2014JJ00,81.8
620,T001081,CR21  ,2015JJ00,81.0
621,T001081,CR21  ,2016JJ00,83.8
622,T001081,CR21  ,2017JJ00,84.5
623,T001081,CR21  ,2018JJ00,86.7
624,T001081,CR21  ,2019JJ00,85.4
625,T001081,CR21  ,2020JJ00,83.6
626,T001081,CR21  ,2021JJ00,86.0
627,T001081,CR21  ,2022JJ00,87.4
628,T001081,CR21  ,2023JJ00,87.0
629,T001081,CR21  ,2024JJ00,86.7
630,T001081,CR22  ,2010JJ00,58.9
631,T001081,CR22  ,2011JJ00,57.7
632,T001081,CR22  ,2012JJ00,57.6
633,T001081,CR22  ,2013JJ00,57.5
634,T001081,CR22  ,2014JJ00,57.0
635,T001081,CR22  ,2015JJ00,57.5
636,T001081,CR22  ,2016JJ00,56.3
