country,sector,source_region,target_region,bootstrap_frequency,promoted_stable_edge
FR,RU,5202,5216,0.010050251256281407,0
FR,FZ,4423,8402,0.010050251256281407,0
FR,MN,3211,8421,0.010050251256281407,0
FR,KZ,4406,8426,0.010050251256281407,0
FR,OQ,2401,4402,0.010050251256281407,0
FR,MN,3213,5315,0.010050251256281407,0
FR,BE,3216,7612,0.010050251256281407,0
FR,BE,5306,7603,0.010050251256281407,0
FR,MN,3219,4427,0.010050251256281407,0
FR,OQ,5310,5319,0.010050251256281407,0
FR,OQ,1111,9306,0.010050251256281407,0
FR,RU,5313,7616,0.010050251256281407,0
FR,GI,3211,62,0.010050251256281407,0
FR,KZ,3217,5213,0.010050251256281407,0
FR,MN,3202,7618,0.010050251256281407,0
FR,LZ,2413,7623,0.010050251256281407,0
FR,OQ,5212,7608,0.010050251256281407,0
FR,KZ,2701,2717,0.010050251256281407,0
FR,FZ,1113,8407,0.010050251256281407,0
FR,KZ,2806,7509,0.010050251256281407,0
FR,FZ,2413,9318,0.010050251256281407,0
FR,GI,2714,4418,0.010050251256281407,0
FR,JZ,8428,9303,0.010050251256281407,0
FR,MN,7504,8430,0.010050251256281407,0
FR,BE,4425,5301,0.010050251256281407,0
FR,KZ,3208,9317,0.010050251256281407,0
FR,BE,1109,7616,0.010050251256281407,0
FR,JZ,2409,8412,0.010050251256281407,0
FR,MN,2811,5318,0.010050251256281407,0
FR,MN,1106,1113,0.010050251256281407,0
FR,RU,9312,9315,0.010050251256281407,0
FR,RU,5316,7512,0.010050251256281407,0
FR,BE,3205,7625,0.010050251256281407,0
FR,GI,5205,7608,0.010050251256281407,0
FR,GI,4418,7528,0.010050251256281407,0
FR,JZ,4411,7602,0.010050251256281407,0
FR,KZ,3205,4408,0.010050251256281407,0
FR,LZ,2812,4403,0.010050251256281407,0
FR,MN,4411,5201,0.010050251256281407,0
FR,OQ,8407,8410,0.010050251256281407,0
FR,OQ,2401,8402,0.010050251256281407,0
FR,OQ,2709,2717,0.010050251256281407,0
FR,RU,2709,4402,0.010050251256281407,0
FR,RU,3205,9309,0.010050251256281407,0
FR,GI,2703,2805,0.010050251256281407,0
FR,LZ,3210,7617,0.010050251256281407,0
FR,BE,3218,7602,0.010050251256281407,0
FR,GI,2816,5216,0.010050251256281407,0
FR,OQ,2413,3222,0.010050251256281407,0
FR,KZ,2816,8422,0.010050251256281407,0
FR,FZ,4423,8431,0.010050251256281407,0
FR,OQ,5301,9315,0.010050251256281407,0
FR,LZ,1109,9318,0.010050251256281407,0
FR,OQ,3204,63,0.010050251256281407,0
FR,OQ,4409,8433,0.010050251256281407,0
FR,BE,2807,7522,0.005025125628140704,0
FR,FZ,1112,8409,0.005025125628140704,0
FR,KZ,1106,1114,0.005025125628140704,0
FR,KZ,5219,7609,0.005025125628140704,0
FR,LZ,2415,5308,0.005025125628140704,0
FR,RU,7603,9304,0.005025125628140704,0
FR,MN,4427,8434,0.005025125628140704,0
FR,JZ,5315,8422,0.005025125628140704,0
FR,MN,3211,7505,0.005025125628140704,0
FR,KZ,2407,7523,0.005025125628140704,0
FR,LZ,3202,8419,0.005025125628140704,0
FR,LZ,1115,2706,0.005025125628140704,0
FR,OQ,4420,8433,0.005025125628140704,0
FR,FZ,3214,8434,0.005025125628140704,0
FR,JZ,3214,8423,0.005025125628140704,0
