ZE2020,target_year,node_idx,side_establishment_creations_official,side_enterprise_creations_official,side_lag_1,growth_1y,has_flores_source,has_side_stock_source,has_urssaf_source,feature_forecast_safe,is_covid_year,is_post_covid_rebound,side_stock_total_t_minus_1
16,2018,15,3000.0,3000.0,3364.0,-0.1082045184304399,0,0,0,1,0,0,23938.0
17,2018,16,3145.0,3145.0,2677.0,0.174822562570041,0,0,0,1,0,0,24352.0
18,2018,17,66141.0,66141.0,63889.0,0.0352486343502011,0,0,0,1,0,0,354406.0
19,2018,18,1950.0,1950.0,1860.0,0.0483870967741935,0,0,0,1,0,0,12414.0
20,2018,19,2223.0,2223.0,2043.0,0.0881057268722467,0,0,0,1,0,0,14951.0
21,2018,20,3445.0,3445.0,3372.0,0.0216488730723606,0,0,0,1,0,0,24581.0
22,2018,21,1633.0,1633.0,1655.0,-0.0132930513595166,0,0,0,1,0,0,12507.0
23,2018,22,2848.0,2848.0,2762.0,0.0311368573497465,0,0,0,1,0,0,19686.0
24,2018,23,4232.0,4232.0,3790.0,0.1166226912928759,0,0,0,1,0,0,27174.0
25,2018,24,4502.0,4502.0,4272.0,0.0538389513108614,0,0,0,1,0,0,26400.0
1,2019,0,3410.0,3410.0,4010.0,-0.1496259351620947,0,0,0,1,0,0,30089.0
2,2019,1,6884.0,6884.0,6723.0,0.023947642421538,0,0,0,1,0,0,47762.0
3,2019,2,5319.0,5319.0,5293.0,0.0049121481201587,0,0,0,1,0,0,42118.0
4,2019,3,35412.0,35412.0,30674.0,0.1544630631805437,0,0,0,1,0,0,205419.0
5,2019,4,1397.0,1397.0,1787.0,-0.2182428651371012,0,0,0,1,0,0,13256.0
6,2019,5,5162.0,5162.0,5331.0,-0.0317013693490902,0,0,0,1,0,0,40071.0
7,2019,6,2867.0,2867.0,4017.0,-0.2862832959920338,0,0,0,1,0,0,31592.0
8,2019,7,2136.0,2136.0,3230.0,-0.3386996904024767,0,0,0,1,0,0,20741.0
