ze2020,year,sector_code,sector_share_lag_1,mask_sector_share_lag_1_available,sector_growth_lag_1,mask_sector_growth_lag_1_available,sector_growth_lag_2,mask_sector_growth_lag_2_available,dominant_sector_lag_1,dominant_sector_share_lag_1,sector_diversity_lag_1,sector_concentration_hhi_lag_1,commerce_share_lag_1,construction_share_lag_1,mask_ze_sector_distribution_lag_1_available,national_sector_share_lag_1,mask_national_sector_share_lag_1_available,national_sector_growth_lag_1,mask_national_sector_growth_lag_1_available
7514,2017,MN,0.1643717728055077,1,-0.054455445544554455,1,0.1348314606741573,1,GI,0.3253012048192771,0.8581773654338873,0.18603304291668754,0.3253012048192771,0.1480206540447504,1,0.20841828609062413,1,0.09201657636738902,1
7514,2017,OQ,0.1179001721170395,1,0.014814814814814815,1,0.07142857142857142,1,GI,0.3253012048192771,0.8581773654338873,0.18603304291668754,0.3253012048192771,0.1480206540447504,1,0.1210224798460002,1,0.045072219195556595,1
7514,2017,RU,0.1101549053356282,1,-0.08571428571428572,1,-0.18604651162790697,1,GI,0.3253012048192771,0.8581773654338873,0.18603304291668754,0.3253012048192771,0.1480206540447504,1,0.09351855983726001,1,0.008696951087948657,1
7514,2018,BE,0.0568793235972329,1,0.12121212121212122,1,-0.26666666666666666,1,GI,0.3405073020753266,0.8437714716958538,0.19483327730516514,0.3405073020753266,0.1306687163720215,1,0.04672080518955599,1,0.0040679002905643635,1
7514,2018,FZ,0.1306687163720215,1,-0.011627906976744186,1,-0.044444444444444446,1,GI,0.3405073020753266,0.8437714716958538,0.19483327730516514,0.3405073020753266,0.1306687163720215,1,0.09694552844834212,1,0.022531786180704616,1
7514,2018,GI,0.3405073020753266,1,0.17195767195767195,1,0.1317365269461078,1,GI,0.3405073020753266,0.8437714716958538,0.19483327730516514,0.3405073020753266,0.1306687163720215,1,0.3153554726304434,1,0.0920480027599122,1
7514,2018,JZ,0.0169100691775557,1,-0.15384615384615385,1,-0.037037037037037035,1,GI,0.3405073020753266,0.8437714716958538,0.19483327730516514,0.3405073020753266,0.1306687163720215,1,0.04465716538436359,1,0.08781417923383605,1
7514,2018,KZ,0.0222905457340507,1,-0.03333333333333333,1,-0.2857142857142857,1,GI,0.3405073020753266,0.8437714716958538,0.19483327730516514,0.3405073020753266,0.1306687163720215,1,0.03238064334326727,1,0.0628795664766888,1
7514,2018,LZ,0.0307455803228285,1,0.17647058823529413,1,-0.08108108108108109,1,GI,0.3405073020753266,0.8437714716958538,0.19483327730516514,0.3405073020753266,0.1306687163720215,1,0.03791831402051116,1,0.18234667613384214,1
7514,2018,MN,0.1783243658724058,1,0.21465968586387435,1,-0.054455445544554455,1,GI,0.3405073020753266,0.8437714716958538,0.19483327730516514,0.3405073020753266,0.1306687163720215,1,0.21658824835406937,1,0.12358521909262055,1
7514,2018,OQ,0.1076095311299,1,0.021897810218978103,1,0.014814814814814815,1,GI,0.3405073020753266,0.8437714716958538,0.19483327730516514,0.3405073020753266,0.1306687163720215,1,0.11558944668835623,1,0.03266411524622059,1
7514,2018,RU,0.1160645657186779,1,0.1796875,1,-0.08571428571428572,1,GI,0.3405073020753266,0.8437714716958538,0.19483327730516514,0.3405073020753266,0.1306687163720215,1,0.09384437594109091,1,0.08496914849856019,1
7514,2019,BE,0.0712727272727272,1,0.32432432432432434,1,0.12121212121212122,1,GI,0.328,0.8630301828758064,0.18399894214876028,0.328,0.1141818181818181,1,0.04411063813733566,1,0.06850859022785416,1
7514,2019,FZ,0.1141818181818181,1,-0.07647058823529412,1,-0.011627906976744186,1,GI,0.328,0.8630301828758064,0.18399894214876028,0.328,0.1141818181818181,1,0.09084449921718299,1,0.06051263983088173,1
7514,2019,GI,0.328,1,0.01805869074492099,1,0.17195767195767195,1,GI,0.328,0.8630301828758064,0.18399894214876028,0.328,0.1141818181818181,1,0.32770920705981477,1,0.1760702584144922,1
7514,2019,JZ,0.013090909090909,1,-0.18181818181818182,1,-0.15384615384615385,1,GI,0.328,0.8630301828758064,0.18399894214876028,0.328,0.1141818181818181,1,0.04551279229884118,1,0.15341959334565614,1
7514,2019,KZ,0.0334545454545454,1,0.5862068965517241,1,-0.03333333333333333,1,GI,0.328,0.8630301828758064,0.18399894214876028,0.328,0.1141818181818181,1,0.0307052898309241,1,0.07318037974683533,1
7514,2019,LZ,0.0349090909090909,1,0.2,1,0.17647058823529413,1,GI,0.328,0.8630301828758064,0.18399894214876028,0.328,0.1141818181818181,1,0.03864789582560472,1,0.15351124122658866,1
7514,2019,MN,0.1592727272727272,1,-0.05603448275862069,1,0.21465968586387435,1,GI,0.328,0.8630301828758064,0.18399894214876028,0.328,0.1141818181818181,1,0.2191598392867248,1,0.14517294853598273,1
7514,2019,OQ,0.1127272727272727,1,0.10714285714285714,1,0.021897810218978103,1,GI,0.328,0.8630301828758064,0.18399894214876028,0.328,0.1141818181818181,1,0.10795958274910243,1,0.05703169248196205,1
7514,2019,RU,0.1330909090909091,1,0.2119205298013245,1,0.1796875,1,GI,0.328,0.8630301828758064,0.18399894214876028,0.328,0.1141818181818181,1,0.09535025559446936,1,0.14989611610731135,1
7514,2020,BE,0.0751014884979702,1,0.1326530612244898,1,0.32432432432432434,1,GI,0.2828146143437077,0.8792412542657815,0.16976549153026518,0.2828146143437077,0.1380243572395128,1,0.05116705604925872,1,0.3361461926618583,1
7514,2020,FZ,0.1380243572395128,1,0.29936305732484075,1,-0.07647058823529412,1,GI,0.2828146143437077,0.8792412542657815,0.16976549153026518,0.2828146143437077,0.1380243572395128,1,0.09209153038275945,1,0.16769102990033224,1
7514,2020,GI,0.2828146143437077,1,-0.07317073170731707,1,0.01805869074492099,1,GI,0.2828146143437077,0.8792412542657815,0.16976549153026518,0.2828146143437077,0.1380243572395128,1,0.31350247822004845,1,0.1019432378087155,1
7514,2020,JZ,0.0182679296346414,1,0.5,1,-0.18181818181818182,1,GI,0.2828146143437077,0.8792412542657815,0.16976549153026518,0.2828146143437077,0.1380243572395128,1,0.04695517369374877,1,0.1883841732979663,1
7514,2020,KZ,0.0297699594046008,1,-0.043478260869565216,1,0.5862068965517241,1,GI,0.2828146143437077,0.8792412542657815,0.16976549153026518,0.2828146143437077,0.1380243572395128,1,0.030535601214000306,1,0.14551337183110125,1
7514,2020,LZ,0.0317997293640054,1,-0.020833333333333332,1,0.2,1,GI,0.2828146143437077,0.8792412542657815,0.16976549153026518,0.2828146143437077,0.1380243572395128,1,0.0397093823009236,1,0.18351609019620607,1
7514,2020,MN,0.179296346414073,1,0.2100456621004566,1,-0.05603448275862069,1,GI,0.2828146143437077,0.8792412542657815,0.16976549153026518,0.2828146143437077,0.1380243572395128,1,0.225699251075351,1,0.18624947640824674,1
7514,2020,OQ,0.1035182679296346,1,-0.012903225806451613,1,0.10714285714285714,1,GI,0.2828146143437077,0.8792412542657815,0.16976549153026518,0.2828146143437077,0.1380243572395128,1,0.10233957073298544,1,0.09191613278974953,1
7514,2020,RU,0.1414073071718538,1,0.14207650273224043,1,0.2119205298013245,1,GI,0.2828146143437077,0.8792412542657815,0.16976549153026518,0.2828146143437077,0.1380243572395128,1,0.09799995633092426,1,0.1838887936378144,1
7514,2021,BE,0.0858854860186418,1,0.16216216216216217,1,0.1326530612244898,1,GI,0.3062583222370173,0.8706588081681748,0.17742699037767662,0.3062583222370173,0.1198402130492676,1,0.05247596060058692,1,0.0618118972433217,1
7514,2021,FZ,0.1198402130492676,1,-0.11764705882352941,1,0.29936305732484075,1,GI,0.3062583222370173,0.8706588081681748,0.17742699037767662,0.3062583222370173,0.1198402130492676,1,0.08968206516867913,1,0.008239087654408728,1
