task,scenario,model,metric,left,right,groups,mean_left,mean_right,left_wins_share,ties_share
top3,target_shuffle,logit_entry_classifier,mean_growth_selected,base_formula_features,shuffled_relation_features,5600,0.2644477277711548,0.263627825543523,0.05803571428571429,0.8876785714285714
top3,target_shuffle,logit_entry_classifier,mean_growth_selected,no_relation_features,shuffled_relation_features,5600,0.2634154607895205,0.263627825543523,0.054642857142857146,0.8892857142857142
top3,target_shuffle,mlp_entry_classifier,recall_at_3,base_formula_features,no_relation_features,5525,0.48256410256410254,0.5007390648567119,0.19656108597285069,0.5780995475113122
top3,target_shuffle,mlp_entry_classifier,recall_at_3,base_formula_features,shuffled_relation_features,5525,0.48256410256410254,0.4743891402714932,0.15457013574660633,0.709683257918552
top3,target_shuffle,mlp_entry_classifier,recall_at_3,no_relation_features,shuffled_relation_features,5525,0.5007390648567119,0.4743891402714932,0.23131221719457012,0.5824434389140272
top3,target_shuffle,mlp_entry_classifier,mean_growth_selected,base_formula_features,no_relation_features,5600,0.2668323957980779,0.2666023492710695,0.3767857142857143,0.2319642857142857
top3,target_shuffle,mlp_entry_classifier,mean_growth_selected,base_formula_features,shuffled_relation_features,5600,0.2668323957980779,0.2660157554656396,0.28214285714285714,0.4375
top3,target_shuffle,mlp_entry_classifier,mean_growth_selected,no_relation_features,shuffled_relation_features,5600,0.2666023492710695,0.2660157554656396,0.39517857142857143,0.21392857142857144
top3,temporal_shuffle,logit_entry_classifier,recall_at_3,base_formula_features,no_relation_features,5264,0.7430661094224924,0.7415780141843972,0.01006838905775076,0.981193009118541
top3,temporal_shuffle,logit_entry_classifier,recall_at_3,base_formula_features,shuffled_relation_features,5264,0.7430661094224924,0.7435093718338399,0.014817629179331307,0.9694148936170213
top3,temporal_shuffle,logit_entry_classifier,recall_at_3,no_relation_features,shuffled_relation_features,5264,0.7415780141843972,0.7435093718338399,0.012727963525835866,0.9722644376899696
top3,temporal_shuffle,logit_entry_classifier,mean_growth_selected,base_formula_features,no_relation_features,5600,0.35391650660305685,0.3538693750800441,0.02035714285714286,0.9601785714285714
top3,temporal_shuffle,logit_entry_classifier,mean_growth_selected,base_formula_features,shuffled_relation_features,5600,0.35391650660305685,0.3542574921495218,0.030357142857142857,0.9355357142857142
top3,temporal_shuffle,logit_entry_classifier,mean_growth_selected,no_relation_features,shuffled_relation_features,5600,0.3538693750800441,0.3542574921495218,0.026607142857142857,0.9414285714285714
top3,temporal_shuffle,mlp_entry_classifier,recall_at_3,base_formula_features,no_relation_features,5264,0.7562689969604863,0.7275835866261399,0.1354483282674772,0.7729863221884499
top3,temporal_shuffle,mlp_entry_classifier,recall_at_3,base_formula_features,shuffled_relation_features,5264,0.7562689969604863,0.7510448328267477,0.06382978723404255,0.8799392097264438
top3,temporal_shuffle,mlp_entry_classifier,recall_at_3,no_relation_features,shuffled_relation_features,5264,0.7275835866261399,0.7510448328267477,0.09213525835866261,0.7796352583586627
top3,temporal_shuffle,mlp_entry_classifier,mean_growth_selected,base_formula_features,no_relation_features,5600,0.35249397478408284,0.3462100078936852,0.2594642857142857,0.5360714285714285
top3,temporal_shuffle,mlp_entry_classifier,mean_growth_selected,base_formula_features,shuffled_relation_features,5600,0.35249397478408284,0.3494157350912421,0.13035714285714287,0.7632142857142857
top3,temporal_shuffle,mlp_entry_classifier,mean_growth_selected,no_relation_features,shuffled_relation_features,5600,0.3462100078936852,0.3494157350912421,0.20017857142857143,0.5682142857142857
