relation_family,decision_year,source_sector,target_sector,source_label,target_label,weight,p_value,n_zones,bh_rejected,sign_stability,r2_stable
precedence_intra,2020,OQ,GI,"Public administration, education, health","Trade, transport, hospitality",-0.040056,0.50552907,280,False,,
precedence_intra,2020,OQ,JZ,"Public administration, education, health",Information and communication,-0.032665,0.58722347,280,False,,
precedence_intra,2020,OQ,KZ,"Public administration, education, health",Finance and insurance,0.02018,0.7373946,280,False,,
precedence_intra,2020,OQ,LZ,"Public administration, education, health",Real estate,-0.023501,0.6961613,280,False,,
precedence_intra,2020,OQ,MN,"Public administration, education, health",Professional and administrative services,0.10774,0.07235494,280,False,,
precedence_intra,2020,OQ,RU,"Public administration, education, health",Other services,-0.037445,0.53369554,280,False,,
precedence_intra,2020,RU,BE,Other services,Industry,0.030139,0.6164684,280,False,,
precedence_intra,2020,RU,FZ,Other services,Construction,0.049095,0.41433679,280,False,,
precedence_intra,2020,RU,GI,Other services,"Trade, transport, hospitality",-0.054555,0.36427904,280,False,,
precedence_intra,2020,RU,JZ,Other services,Information and communication,0.003101,0.95890878,280,False,,
precedence_intra,2020,RU,KZ,Other services,Finance and insurance,-0.030187,0.61590923,280,False,,
precedence_intra,2020,RU,LZ,Other services,Real estate,0.037991,0.52774021,280,False,,
precedence_intra,2020,RU,MN,Other services,Professional and administrative services,-0.137475,0.02153569,280,False,,
precedence_intra,2020,RU,OQ,Other services,"Public administration, education, health",-0.04383,0.46623175,280,False,,
precedence_intra,2021,BE,FZ,Industry,Construction,-0.022351,0.71035523,280,False,,
precedence_intra,2021,BE,GI,Industry,"Trade, transport, hospitality",-0.021071,0.72625221,280,False,,
precedence_intra,2021,BE,JZ,Industry,Information and communication,-0.000464,0.99385526,280,False,,
precedence_intra,2021,BE,KZ,Industry,Finance and insurance,0.029698,0.62163845,280,False,,
precedence_intra,2021,BE,LZ,Industry,Real estate,-0.028027,0.6414002,280,False,,
precedence_intra,2021,BE,MN,Industry,Professional and administrative services,-0.076933,0.20032206,280,False,,
precedence_intra,2021,BE,OQ,Industry,"Public administration, education, health",-0.106388,0.07603648,280,False,,
precedence_intra,2021,BE,RU,Industry,Other services,-0.000319,0.99577582,280,False,,
precedence_intra,2021,FZ,BE,Construction,Industry,0.037861,0.5291532,280,False,,
precedence_intra,2021,FZ,GI,Construction,"Trade, transport, hospitality",0.077753,0.19554911,280,False,,
precedence_intra,2021,FZ,JZ,Construction,Information and communication,0.040004,0.50607804,280,False,,
precedence_intra,2021,FZ,KZ,Construction,Finance and insurance,-0.027181,0.65150732,280,False,,
precedence_intra,2021,FZ,LZ,Construction,Real estate,0.073499,0.22123174,280,False,,
precedence_intra,2021,FZ,MN,Construction,Professional and administrative services,0.000919,0.98782373,280,False,,
precedence_intra,2021,FZ,OQ,Construction,"Public administration, education, health",0.049572,0.4098083,280,False,,
precedence_intra,2021,FZ,RU,Construction,Other services,0.031662,0.5987627,280,False,,
precedence_intra,2021,GI,BE,"Trade, transport, hospitality",Industry,-0.036417,0.54499835,280,False,,
precedence_intra,2021,GI,FZ,"Trade, transport, hospitality",Construction,-0.018077,0.76390582,280,False,,
precedence_intra,2021,GI,JZ,"Trade, transport, hospitality",Information and communication,-0.067024,0.26478575,280,False,,
precedence_intra,2021,GI,KZ,"Trade, transport, hospitality",Finance and insurance,0.028956,0.63038133,280,False,,
precedence_intra,2021,GI,LZ,"Trade, transport, hospitality",Real estate,-0.046519,0.43928916,280,False,,
precedence_intra,2021,GI,MN,"Trade, transport, hospitality",Professional and administrative services,-0.074912,0.21244784,280,False,,
precedence_intra,2021,GI,OQ,"Trade, transport, hospitality","Public administration, education, health",0.084778,0.15800134,280,False,,
precedence_intra,2021,GI,RU,"Trade, transport, hospitality",Other services,0.037498,0.53311807,280,False,,
precedence_intra,2021,JZ,BE,Information and communication,Industry,0.099014,0.09886996,280,False,,
precedence_intra,2021,JZ,FZ,Information and communication,Construction,0.050952,0.39687718,280,False,,
precedence_intra,2021,JZ,GI,Information and communication,"Trade, transport, hospitality",0.109432,0.06795001,280,False,,
precedence_intra,2021,JZ,KZ,Information and communication,Finance and insurance,0.054874,0.36147437,280,False,,
precedence_intra,2021,JZ,LZ,Information and communication,Real estate,0.064776,0.2811915,280,False,,
precedence_intra,2021,JZ,MN,Information and communication,Professional and administrative services,-0.035753,0.5523569,280,False,,
precedence_intra,2021,JZ,OQ,Information and communication,"Public administration, education, health",-0.088866,0.13880418,280,False,,
precedence_intra,2021,JZ,RU,Information and communication,Other services,-0.00292,0.96130541,280,False,,
precedence_intra,2021,KZ,BE,Finance and insurance,Industry,0.035352,0.55682835,280,False,,
precedence_intra,2021,KZ,FZ,Finance and insurance,Construction,0.007979,0.89454556,280,False,,
