ze2020,ze2020_label,year,sector_code,sector_label,sector_establishment_creations,total_establishment_creations,sector_share,sector_rank_in_ze_year,mask_sector_available
0052,Arles,2020,BE,Industry and energy,189.0,2104,0.08982889733840305,5,1
0052,Arles,2020,FZ,Construction,234.0,2104,0.1112167300380228,4,1
0052,Arles,2020,GI,"Trade, transport and hospitality",656.0,2104,0.311787072243346,1,1
0052,Arles,2020,JZ,Information and communication,59.0,2104,0.028041825095057035,9,1
0052,Arles,2020,KZ,Financial and insurance activities,75.0,2104,0.03564638783269962,7,1
0052,Arles,2020,LZ,Real estate activities,65.0,2104,0.030893536121673004,8,1
0052,Arles,2020,MN,Professional and administrative services,424.0,2104,0.20152091254752852,2,1
0052,Arles,2020,OQ,"Public administration, education and health",164.0,2104,0.0779467680608365,6,1
0052,Arles,2020,RU,Arts and other services,238.0,2104,0.11311787072243346,3,1
0052,Arles,2021,BE,Industry and energy,250.0,2615,0.09560229445506692,5,1
0052,Arles,2021,FZ,Construction,268.0,2615,0.10248565965583174,4,1
0052,Arles,2021,GI,"Trade, transport and hospitality",805.0,2615,0.3078393881453155,1,1
0052,Arles,2021,JZ,Information and communication,79.0,2615,0.030210325047801148,9,1
0052,Arles,2021,KZ,Financial and insurance activities,87.0,2615,0.03326959847036329,8,1
0052,Arles,2021,LZ,Real estate activities,98.0,2615,0.03747609942638623,7,1
0052,Arles,2021,MN,Professional and administrative services,544.0,2615,0.2080305927342256,2,1
0052,Arles,2021,OQ,"Public administration, education and health",204.0,2615,0.07801147227533461,6,1
0052,Arles,2021,RU,Arts and other services,280.0,2615,0.10707456978967496,3,1
0052,Arles,2022,BE,Industry and energy,223.0,2667,0.08361454818147732,5,1
0052,Arles,2022,FZ,Construction,275.0,2667,0.10311211098612673,4,1
0052,Arles,2022,GI,"Trade, transport and hospitality",711.0,2667,0.26659167604049494,1,1
0052,Arles,2022,JZ,Information and communication,84.0,2667,0.031496062992125984,8,1
0052,Arles,2022,KZ,Financial and insurance activities,83.0,2667,0.031121109861267343,9,1
0052,Arles,2022,LZ,Real estate activities,109.0,2667,0.04086989126359205,7,1
0052,Arles,2022,MN,Professional and administrative services,609.0,2667,0.2283464566929134,2,1
0052,Arles,2022,OQ,"Public administration, education and health",211.0,2667,0.0791151106111736,6,1
0052,Arles,2022,RU,Arts and other services,362.0,2667,0.13573303337082865,3,1
0052,Arles,2023,BE,Industry and energy,190.0,2619,0.07254677357770141,6,1
0052,Arles,2023,FZ,Construction,234.0,2619,0.08934707903780069,5,1
0052,Arles,2023,GI,"Trade, transport and hospitality",702.0,2619,0.26804123711340205,1,1
0052,Arles,2023,JZ,Information and communication,73.0,2619,0.02787323405880107,9,1
0052,Arles,2023,KZ,Financial and insurance activities,84.0,2619,0.032073310423825885,8,1
0052,Arles,2023,LZ,Real estate activities,106.0,2619,0.040473463153875525,7,1
0052,Arles,2023,MN,Professional and administrative services,608.0,2619,0.2321496754486445,2,1
0052,Arles,2023,OQ,"Public administration, education and health",261.0,2619,0.09965635738831616,4,1
0052,Arles,2023,RU,Arts and other services,361.0,2619,0.13783886979763268,3,1
0052,Arles,2024,BE,Industry and energy,215.0,2837,0.07578427916813535,5,1
0052,Arles,2024,FZ,Construction,250.0,2837,0.08812125484666902,4,1
0052,Arles,2024,GI,"Trade, transport and hospitality",875.0,2837,0.30842439196334154,1,1
0052,Arles,2024,JZ,Information and communication,93.0,2837,0.032781106802960876,8,1
0052,Arles,2024,KZ,Financial and insurance activities,66.0,2837,0.02326401127952062,9,1
0052,Arles,2024,LZ,Real estate activities,136.0,2837,0.04793796263658794,7,1
0052,Arles,2024,MN,Professional and administrative services,660.0,2837,0.23264011279520622,2,1
0052,Arles,2024,OQ,"Public administration, education and health",212.0,2837,0.07472682410997533,6,1
0052,Arles,2024,RU,Arts and other services,330.0,2837,0.11632005639760311,3,1
0052,Arles,2025,BE,Industry and energy,207.0,2892,0.07157676348547717,6,1
0052,Arles,2025,FZ,Construction,247.0,2892,0.08540802213001383,4,1
0052,Arles,2025,GI,"Trade, transport and hospitality",836.0,2892,0.28907330567081607,1,1
0052,Arles,2025,JZ,Information and communication,116.0,2892,0.040110650069156296,7,1
0052,Arles,2025,KZ,Financial and insurance activities,71.0,2892,0.02455048409405256,9,1
0052,Arles,2025,LZ,Real estate activities,110.0,2892,0.03803596127247579,8,1
0052,Arles,2025,MN,Professional and administrative services,730.0,2892,0.2524204702627939,2,1
0052,Arles,2025,OQ,"Public administration, education and health",243.0,2892,0.08402489626556017,5,1
0052,Arles,2025,RU,Arts and other services,332.0,2892,0.11479944674965421,3,1
0053,Avignon,2012,BE,Industry and energy,231.0,3762,0.06140350877192982,6,1
0053,Avignon,2012,FZ,Construction,633.0,3762,0.1682615629984051,2,1
0053,Avignon,2012,GI,"Trade, transport and hospitality",1125.0,3762,0.29904306220095694,1,1
0053,Avignon,2012,JZ,Information and communication,120.0,3762,0.03189792663476874,7,1
0053,Avignon,2012,KZ,Financial and insurance activities,91.0,3762,0.024189261031366295,9,1
0053,Avignon,2012,LZ,Real estate activities,109.0,3762,0.028973950026581607,8,1
0053,Avignon,2012,MN,Professional and administrative services,614.0,3762,0.16321105794790006,3,1
0053,Avignon,2012,OQ,"Public administration, education and health",379.0,3762,0.10074428495481128,5,1
0053,Avignon,2012,RU,Arts and other services,460.0,3762,0.12227538543328018,4,1
0053,Avignon,2013,BE,Industry and energy,176.0,3434,0.0512521840419336,6,1
0053,Avignon,2013,FZ,Construction,558.0,3434,0.16249271986022132,3,1
0053,Avignon,2013,GI,"Trade, transport and hospitality",1091.0,3434,0.3177052999417589,1,1
0053,Avignon,2013,JZ,Information and communication,99.0,3434,0.028829353523587654,8,1
0053,Avignon,2013,KZ,Financial and insurance activities,110.0,3434,0.0320326150262085,7,1
0053,Avignon,2013,LZ,Real estate activities,84.0,3434,0.0244612696563774,9,1
0053,Avignon,2013,MN,Professional and administrative services,596.0,3434,0.17355853232382062,2,1
0053,Avignon,2013,OQ,"Public administration, education and health",354.0,3434,0.10308677926616192,5,1
0053,Avignon,2013,RU,Arts and other services,366.0,3434,0.1065812463599301,4,1
0053,Avignon,2014,BE,Industry and energy,212.0,3563,0.059500420993544766,6,1
0053,Avignon,2014,FZ,Construction,574.0,3563,0.16110019646365423,3,1
0053,Avignon,2014,GI,"Trade, transport and hospitality",1093.0,3563,0.3067639629525681,1,1
0053,Avignon,2014,JZ,Information and communication,81.0,3563,0.022733651417344933,9,1
0053,Avignon,2014,KZ,Financial and insurance activities,95.0,3563,0.026662924501824305,7,1
0053,Avignon,2014,LZ,Real estate activities,83.0,3563,0.02329497614369913,8,1
0053,Avignon,2014,MN,Professional and administrative services,651.0,3563,0.18271119842829076,2,1
0053,Avignon,2014,OQ,"Public administration, education and health",374.0,3563,0.10496772382823463,5,1
0053,Avignon,2014,RU,Arts and other services,400.0,3563,0.11226494527083918,4,1
0053,Avignon,2015,BE,Industry and energy,184.0,3435,0.05356622998544396,6,1
0053,Avignon,2015,FZ,Construction,471.0,3435,0.137117903930131,3,1
0053,Avignon,2015,GI,"Trade, transport and hospitality",1109.0,3435,0.32285298398835516,1,1
0053,Avignon,2015,JZ,Information and communication,89.0,3435,0.02590975254730713,8,1
0053,Avignon,2015,KZ,Financial and insurance activities,118.0,3435,0.03435225618631732,7,1
0053,Avignon,2015,LZ,Real estate activities,67.0,3435,0.01950509461426492,9,1
0053,Avignon,2015,MN,Professional and administrative services,617.0,3435,0.17962154294032023,2,1
0053,Avignon,2015,OQ,"Public administration, education and health",417.0,3435,0.12139737991266375,4,1
0053,Avignon,2015,RU,Arts and other services,363.0,3435,0.1056768558951965,5,1
0053,Avignon,2016,BE,Industry and energy,198.0,3432,0.057692307692307696,6,1
0053,Avignon,2016,FZ,Construction,457.0,3432,0.13315850815850816,3,1
0053,Avignon,2016,GI,"Trade, transport and hospitality",1104.0,3432,0.32167832167832167,1,1
0053,Avignon,2016,JZ,Information and communication,102.0,3432,0.02972027972027972,8,1
0053,Avignon,2016,KZ,Financial and insurance activities,111.0,3432,0.032342657342657344,7,1
0053,Avignon,2016,LZ,Real estate activities,87.0,3432,0.025349650349650348,9,1
0053,Avignon,2016,MN,Professional and administrative services,588.0,3432,0.17132867132867133,2,1
