ze2020,ze2020_label,year,observed_value,target_variable,lag_1,lag_2,lag_3,growth_1y_safe,growth_2y_safe,mask_observed_available,mask_lag_1_available,mask_lag_2_available,mask_lag_3_available,node_id,similar_ze_lag_1_mean,similar_ze_lag_1_weighted_mean,similar_ze_growth_1y_safe_mean,similar_ze_count,relational_feature_available,dominant_sector_lag_1,dominant_sector_share_lag_1,sector_diversity_lag_1,sector_concentration_hhi_lag_1,commerce_share_lag_1,construction_share_lag_1,mask_ze_sector_distribution_lag_1_available,top_sector_signal_lag_1
5310,Morlaix,2022,1294.0,establishment_creations,1345.0,1041.0,1043.0,0.2920268972142171,0.2895493767976989,1,1,1,1,160,4722.6,4988.127036267639,0.196171685841981,5,1,GI,0.2877323420074349,0.9030692700222482,0.1644991086358673,0.2877323420074349,0.0921933085501858,1,0.1981424148606811
5310,Morlaix,2023,1332.0,establishment_creations,1294.0,1345.0,1041.0,-0.0379182156133829,0.2430355427473583,1,1,1,1,160,4509.6,4660.7817239403685,-0.0366957397631577,5,1,GI,0.2557959814528593,0.9165681867442672,0.1534916831697358,0.2557959814528593,0.0873261205564142,1,-0.1447028423772609
5310,Morlaix,2024,1475.0,establishment_creations,1332.0,1294.0,1345.0,0.0293663060278207,-0.0096654275092936,1,1,1,1,160,4466.6,4539.208927212534,0.0180733001386381,5,1,GI,0.2304804804804804,0.9157499237966056,0.1530336642949254,0.2304804804804804,0.0743243243243243,1,-0.0725075528700906
5311,Ploërmel,2012,521.0,establishment_creations,,,,,,1,0,0,0,161,,,,0,0,,,,,,,0,
5311,Ploërmel,2013,504.0,establishment_creations,521.0,,,,,1,1,0,0,161,,,,0,0,GI,0.272552783109405,0.904502092063178,0.1576585703707251,0.272552783109405,0.1113243761996161,1,
5311,Ploërmel,2014,474.0,establishment_creations,504.0,521.0,,-0.0326295585412667,,1,1,1,0,161,,,,0,0,GI,0.3214285714285714,0.8903747583338256,0.1736977198286721,0.3214285714285714,0.0892857142857142,1,0.1408450704225352
5311,Ploërmel,2015,469.0,establishment_creations,474.0,504.0,521.0,-0.0595238095238095,-0.0902111324376199,1,1,1,1,161,,,,0,0,GI,0.3354430379746835,0.8763205610054399,0.1812387615944737,0.3354430379746835,0.1223628691983122,1,-0.0185185185185185
5311,Ploërmel,2016,501.0,establishment_creations,469.0,474.0,504.0,-0.010548523206751,-0.0694444444444444,1,1,1,1,161,,,,0,0,GI,0.2814498933901919,0.8926136049829738,0.1662158291697164,0.2814498933901919,0.1044776119402985,1,-0.1698113207547169
5311,Ploërmel,2017,532.0,establishment_creations,501.0,469.0,474.0,0.068230277185501,0.0569620253164556,1,1,1,1,161,533.4,534.0573032099877,-0.0031922816250931,5,1,GI,0.3073852295409182,0.8948764130007043,0.1693738271959075,0.3073852295409182,0.0758483033932135,1,0.1666666666666666
5311,Ploërmel,2018,578.0,establishment_creations,532.0,501.0,469.0,0.06187624750499,0.1343283582089552,1,1,1,1,161,1499.8,1497.8583500426766,0.0334761913050247,5,1,GI,0.3233082706766917,0.8696919106936613,0.1805288597433432,0.3233082706766917,0.0808270676691729,1,0.1168831168831168
5311,Ploërmel,2019,630.0,establishment_creations,578.0,532.0,501.0,0.0864661654135338,0.1536926147704591,1,1,1,1,161,1413.4,1402.515243976681,0.0526294119865843,5,1,GI,0.314878892733564,0.8740194308911755,0.1778534739766046,0.314878892733564,0.0778546712802768,1,0.0581395348837209
5311,Ploërmel,2020,648.0,establishment_creations,630.0,578.0,532.0,0.0899653979238754,0.1842105263157894,1,1,1,1,161,2111.4,2110.755295583872,0.1842280681003575,5,1,GI,0.2857142857142857,0.897921183867909,0.1636533131771226,0.2857142857142857,0.1031746031746031,1,-0.0109890109890109
